operation_index,probe_index,operation_type,M,F,q_read_v,q_read_late_v,q_state,expected_q_state,active_ck_edge_count,recovery_guard_s,recovery_ok,status
1,0,coarse_probe_a,0,0,0.9499996982,0.9499996988,stable_high,stable_high,1,2.7e-09,True,PASS
2,1,coarse_probe_b,0,0,0.9499996984,0.949999699,stable_high,stable_high,1,2.7e-09,True,PASS
4,2,coarse_probe_a,1,0,0.9499997013,0.9499997,stable_high,stable_high,1,2.7e-09,True,PASS
5,3,coarse_probe_b,1,0,0.9499996997,0.9499996987,stable_high,stable_high,1,2.7e-09,True,PASS
7,4,coarse_probe_a,2,0,0.9499996937,0.9499996952,stable_high,stable_high,1,2.7e-09,True,PASS
8,5,coarse_probe_b,2,0,0.9499997037,0.9499997045,stable_high,stable_high,1,2.7e-09,True,PASS
10,6,coarse_probe_a,3,0,0.9499997014,0.9499996831,stable_high,stable_high,1,2.7e-09,True,PASS
11,7,coarse_probe_b,3,0,0.9499996996,0.9499997101,stable_high,stable_high,1,2.7e-09,True,PASS
13,8,coarse_probe_a,4,0,0.9499996838,0.9499996799,stable_high,stable_high,1,2.7e-09,True,PASS
14,9,coarse_probe_b,4,0,0.9499997032,0.949999693,stable_high,stable_high,1,2.7e-09,True,PASS
16,10,coarse_probe_a,5,0,0.9499997014,0.9499996892,stable_high,stable_high,1,2.7e-09,True,PASS
17,11,coarse_probe_b,5,0,0.9499995991,0.9499997402,stable_high,stable_high,1,2.7e-09,True,PASS
19,12,coarse_probe_a,6,0,-1.166897021e-06,-1.179143611e-06,stable_low,stable_low,1,2.7e-09,True,PASS
20,13,coarse_probe_b,6,0,-8.812654372e-08,-8.082116418e-08,stable_low,stable_low,1,2.7e-09,True,PASS
23,14,fine_probe,4,0,0.9499996932,0.9499996385,stable_high,stable_high,1,2.7e-09,True,PASS
25,15,fine_probe,4,1,0.9499993601,0.9499996526,stable_high,stable_high,1,2.7e-09,True,PASS
27,16,fine_probe,4,2,0.9499996889,0.9499996519,stable_high,stable_high,1,2.7e-09,True,PASS
29,17,fine_probe,4,3,0.9499997053,0.9499996399,stable_high,stable_high,1,2.7e-09,True,PASS
31,18,fine_probe,4,4,0.949999696,0.9499997102,stable_high,stable_high,1,2.7e-09,True,PASS
33,19,fine_probe,4,5,-3.323135222e-07,-3.505432444e-07,stable_low,stable_low,1,2.7e-09,True,PASS
35,20,guard_probe,4,6,-6.43189246e-08,-2.983960973e-07,stable_low,stable_low,1,2.7e-09,True,PASS
36,21,lock_hold_probe,4,6,1.441621244e-07,1.387585407e-07,stable_low,stable_low,1,2.7e-09,True,PASS
