scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,margin_level,candidate_id,sweep_stage
m0_probe__b0p95__v0p86__m05__f06__1a53f444aa83272a2f36,0.95,0.86,5,6,2.154407914e-09,2.718912799e-09,2.649633316e-09,5.700967293e-09,564.5048850000001,495.2254019999998,69.27948300000025,0.8599996965,0.8599996721,1,stable_high,1,1.799522053488372e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p86__m05__f06__1a53f444aa83272a2f36,535e44f8dd041f269e2bb03ad9c14a869c6a487299740b2642e132006c731afa,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,fine
m0_probe__b0p95__v0p85__m05__f06__6a852672576381d8af6c,0.95,0.85,5,6,2.173918459e-09,2.767634179e-09,2.682640002e-09,5.736654098e-09,593.7157200000003,508.72154300000017,84.9941770000001,0.8499996722,0.8499995892,1,stable_high,1,3.176029285882353e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m05__f06__6a852672576381d8af6c,dde0effb0ddaa045e9fc2a891021c83d0856a6ad06bccff662b103fbc9e73a83,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,coarse
m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,0.95,0.95,5,9,2.02223944e-09,2.403659815e-09,2.448830271e-09,5.484321565e-09,381.42037500000026,426.5908310000002,-45.170455999999945,-4.75975775e-07,3.883881569e-08,0,stable_low,1,2.085702907368421e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,fec0d4952b5b6396feb5bdbfcbe35433aa65af78f29783abf8714eb4eb20a62a,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,coarse
m0_probe__b0p95__v0p90__m05__f09__a22db7466e4c25938603,0.95,0.9,5,9,2.087537894e-09,2.555765979e-09,2.561782963e-09,5.605095165e-09,468.2280849999998,474.2450689999997,-6.016983999999923,-2.998313858e-07,-3.008088749e-07,0,stable_low,1,2.2897167299999998e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m05__f09__a22db7466e4c25938603,1baa4d10bec906615bd2d69206f2c57d9da8e092e03f01f532a8bbbbe24be8f6,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,coarse
m0_probe__b0p95__v0p85__m05__f09__9ac31309765fff265663,0.95,0.85,5,9,2.173918459e-09,2.76767222e-09,2.709732765e-09,5.76263502e-09,593.7537610000003,535.8143060000002,57.939455000000066,-1.634349351e-07,-1.625329013e-07,0,stable_low,1,5.117532165882354e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m05__f09__9ac31309765fff265663,5da796aa235bcfc9f30918ba442d4f596fd8256acda25668a7bccc0274fdef4c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,coarse
m0_probe__b0p95__v0p84__m05__f09__4e000ff26812028993ab,0.95,0.84,5,9,2.194536173e-09,2.819912543e-09,2.74515995e-09,5.800291087e-09,625.37637,550.6237770000001,74.75259299999982,7.574244465e-07,-1.140530393e-06,0,stable_low,1,3.2832130511904763e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p84__m05__f09__4e000ff26812028993ab,f8dcd474ea312b160aac577381cc22f6517826a508e60b368d888e3ff12cc0c4,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,fine
m0_probe__b0p95__v0p83__m05__f09__465e7023e62be9d08de5,0.95,0.83,5,9,2.216507764e-09,2.876857986e-09,2.782583975e-09,5.840831138e-09,660.3502220000001,566.0762110000002,94.27401099999997,0.8299995833,0.8299995853,1,stable_high,1,2.86184328313253e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p83__m05__f09__465e7023e62be9d08de5,ef3d72d3bbde71e6941fd39e54bfadca11bfa1fec3347d5a64620ba6dc6304dd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,fine
m0_probe__b0p95__v0p80__m05__f09__16de1897d4ff8f072522,0.95,0.8,5,9,2.291693145e-09,3.076047358e-09,2.910720675e-09,5.977213784e-09,784.3542130000001,619.0275300000001,165.326683,0.7999711961,0.7999986955,1,stable_high,1,0.00023289245025,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p80__m05__f09__16de1897d4ff8f072522,86d1809dfa6f3ce370c6552fb26346e798fb34b12e09df5c8a56b161dcef79bf,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,coarse
m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,1.1,1.1,2,10,1.896564865e-09,2.13602518e-09,2.138980399e-09,5.161868858e-09,239.46031500000018,242.415534,-2.955218999999829,1.109787209e-07,1.3438539e-07,0,stable_low,1,2.915727718181818e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,6eec423619479ffa8a0df1ad4db5f9d0254149b3f2b32917562462f819d2fa9b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,coarse
m0_probe__b1p10__v1p05__m02__f10__c0d7d39b5a9fba1090a8,1.1,1.05,2,10,1.929998514e-09,2.204353528e-09,2.188759212e-09,5.214943613e-09,274.3550139999999,258.760698,15.594315999999935,1.505964616e-07,1.518405608e-07,0,stable_low,1,2.082555959047619e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p05__m02__f10__c0d7d39b5a9fba1090a8,20fa63977b61596a011434da5297fdb0a02d4437ace25749658efbc9a0b9f835,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,coarse
