scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,correction_point,expected_static_q
t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__18bff04cf166d49b8806,0.95,L2,5,6,80.0,0.87,1.0,4488.999,1.0,-1489.999,0.87,2.136470261e-09,2.674671562e-09,2.619008359e-09,5.459733172e-09,538.2013010000002,482.5380980000002,55.66320299999995,6.182773034e-08,6.255659141e-08,0,stable_low,1,4.2568932103448275e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r64/scenarios/t0__b0p95__L2__dv80p0__h4488p999__pm1489p999__18bff04cf166d49b8806,fdf642d4e836723cdaf83fa22e25b3be43af2d9cd770ebacec200ae0058768b3,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,0p95_L2_last_q0,0
t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__86004c1761bc8a7b4940,0.95,L2,5,6,90.0,0.86,1.0,4488.999,1.0,-1489.999,0.86,2.1548114e-09,2.718960458e-09,2.649850008e-09,5.459904859e-09,564.149058,495.0386079999999,69.11045000000007,0.8599998854,0.8599995585,1,stable_high,1,1.110534905232558e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r65/scenarios/t0__b0p95__L2__dv90p0__h4488p999__pm1489p999__86004c1761bc8a7b4940,1f90dbf90f1bfefd615eb430cec29a44a1d7f0694a61f2d4561aa9110bb5a2fb,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,0p95_L2_first_q1,1
t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__5d915b25429df1faa0c1,1.1,L2,3,8,130.0,0.97,1.0,4488.999,1.0,-1489.999,0.97,2.000913905e-09,2.354859618e-09,2.319926811e-09,5.180187818e-09,353.9457129999997,319.0129059999999,34.932806999999855,1.624564632e-07,9.004494628e-08,0,stable_low,1,1.8756230907216496e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r66/scenarios/t0__b1p1__L2__dv130p0__h4488p999__pm1489p999__5d915b25429df1faa0c1,a1900c657c2c232b07924b8bbccfaff4fab9661d34d8ac8855bc2b3d3a1b7057,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,1p10_L2_last_q0,0
t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__454a881ff64f6cdb173a,1.1,L2,3,8,140.0,0.96,1.0,4488.999,1.0,-1489.999,0.96,2.010779426e-09,2.379114383e-09,2.335370064e-09,5.179832092e-09,368.33495700000026,324.59063800000007,43.74431900000019,0.9599997096,0.9599996806,1,stable_high,1,1.3212646375e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r67/scenarios/t0__b1p1__L2__dv140p0__h4488p999__pm1489p999__454a881ff64f6cdb173a,4ff20f47d7a9778acfbe7ae3bd400c9bb85a4f60c5b6b4701f43322434b96d41,2a68f2bb3bcaeb08741820cde9be97acb2cd5251c6c8e7a0a4e5c71589feb0b4,1p10_L2_first_q1,1
