seed,mc_random_signature,M_REF_RISE,D_M_D04,H_D_D04,D04_detected,D_M_D02,H_D_D02,D02_detected,HEADROOM_CHANGE_D04_MINUS_D02
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,198,27,5,1,47,25,1,-20
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,198,27,5,1,47,25,1,-20
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,159,45,23,1,66,44,1,-21
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,187,38,16,1,58,36,1,-20
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,204,41,19,1,60,38,1,-19
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,182,43,21,1,63,41,1,-20
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,204,21,-1,0,60,38,1,-39
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,182,43,21,1,63,41,1,-20
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,187,38,16,1,58,36,1,-20
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,182,43,21,1,63,41,1,-20
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,176,28,6,1,69,47,1,-41
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,204,21,-1,0,60,38,1,-39
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,235,29,7,1,47,25,1,-18
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,182,43,21,1,63,41,1,-20
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,204,21,-1,0,60,38,1,-39
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,182,22,0,0,63,41,1,-41
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,198,27,5,1,47,25,1,-20
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,219,26,4,1,45,23,1,-19
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,187,38,16,1,58,36,1,-20
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,159,23,1,1,66,44,1,-43
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,182,43,21,1,63,41,1,-20
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,204,21,-1,0,41,19,1,-20
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,209,36,14,1,55,33,1,-19
41024,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,164,40,18,1,61,39,1,-21
41025,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,225,20,-2,0,57,35,1,-37
41026,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,164,40,18,1,61,39,1,-21
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,153,29,7,1,72,50,1,-43
41028,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,204,41,19,1,60,38,1,-19
41029,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,159,45,23,1,66,44,1,-21
41030,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,198,27,5,1,66,44,1,-39
