seed,voltage_v,mc_random_signature,M_REF_FALL,M_DROOP_FALL,D_M_FALL,signed_DeltaM_FALL,q_ff_droop_fall,q_ff_rail_resolved
41001,0.92,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,180,185,5,-5,000000111111111100000000000000,True
41002,0.92,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,273,247,26,26,000011111111111110000000000000,True
41003,0.92,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,242,205,37,37,000011111111110000000000000000,True
41004,0.92,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,315,301,14,14,011111111111111000000000000000,True
41005,0.92,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,273,234,39,39,000011111111111100000000000000,True
41006,0.92,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,148,140,8,8,000000001111111100000000000000,True
41007,0.92,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,246,234,12,12,000011111111111100000000000000,True
41008,0.92,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,246,209,37,37,000001111111111100000000000000,True
41009,0.92,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,286,260,26,26,000111111111111100000000000000,True
41010,0.92,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,286,260,26,26,000111111111111100000000000000,True
41011,0.92,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,258,260,2,-2,000111111111111100000000000000,True
41012,0.92,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,246,209,37,37,000001111111111100000000000000,True
41013,0.92,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,209,187,22,22,000000011111111111000000000000,True
