margin,rule,normal_count,normal_alarm_count,fpr,droop_count,droop_alarm_count,tpr,fnr
95,D_M > margin,30,0,0.0,30,0,0.0,1.0
96,D_M > margin,30,0,0.0,30,0,0.0,1.0
97,D_M > margin,30,0,0.0,30,0,0.0,1.0
98,D_M > margin,30,0,0.0,30,0,0.0,1.0
99,D_M > margin,30,0,0.0,30,0,0.0,1.0
100,D_M > margin,30,0,0.0,30,0,0.0,1.0
101,D_M > margin,30,0,0.0,30,0,0.0,1.0
102,D_M > margin,30,0,0.0,30,0,0.0,1.0
103,D_M > margin,30,0,0.0,30,0,0.0,1.0
104,D_M > margin,30,0,0.0,30,0,0.0,1.0
105,D_M > margin,30,0,0.0,30,0,0.0,1.0
106,D_M > margin,30,0,0.0,30,0,0.0,1.0
107,D_M > margin,30,0,0.0,30,0,0.0,1.0
108,D_M > margin,30,0,0.0,30,0,0.0,1.0
109,D_M > margin,30,0,0.0,30,0,0.0,1.0
110,D_M > margin,30,0,0.0,30,0,0.0,1.0
111,D_M > margin,30,0,0.0,30,0,0.0,1.0
112,D_M > margin,30,0,0.0,30,0,0.0,1.0
113,D_M > margin,30,0,0.0,30,0,0.0,1.0
114,D_M > margin,30,0,0.0,30,0,0.0,1.0
115,D_M > margin,30,0,0.0,30,0,0.0,1.0
116,D_M > margin,30,0,0.0,30,0,0.0,1.0
117,D_M > margin,30,0,0.0,30,0,0.0,1.0
118,D_M > margin,30,0,0.0,30,0,0.0,1.0
119,D_M > margin,30,0,0.0,30,0,0.0,1.0
120,D_M > margin,30,0,0.0,30,0,0.0,1.0
121,D_M > margin,30,0,0.0,30,0,0.0,1.0
122,D_M > margin,30,0,0.0,30,0,0.0,1.0
123,D_M > margin,30,0,0.0,30,0,0.0,1.0
124,D_M > margin,30,0,0.0,30,0,0.0,1.0
125,D_M > margin,30,0,0.0,30,0,0.0,1.0
126,D_M > margin,30,0,0.0,30,0,0.0,1.0
127,D_M > margin,30,0,0.0,30,0,0.0,1.0
128,D_M > margin,30,0,0.0,30,0,0.0,1.0
129,D_M > margin,30,0,0.0,30,0,0.0,1.0
130,D_M > margin,30,0,0.0,30,0,0.0,1.0
131,D_M > margin,30,0,0.0,30,0,0.0,1.0
132,D_M > margin,30,0,0.0,30,0,0.0,1.0
133,D_M > margin,30,0,0.0,30,0,0.0,1.0
134,D_M > margin,30,0,0.0,30,0,0.0,1.0
135,D_M > margin,30,0,0.0,30,0,0.0,1.0
136,D_M > margin,30,0,0.0,30,0,0.0,1.0
137,D_M > margin,30,0,0.0,30,0,0.0,1.0
138,D_M > margin,30,0,0.0,30,0,0.0,1.0
139,D_M > margin,30,0,0.0,30,0,0.0,1.0
140,D_M > margin,30,0,0.0,30,0,0.0,1.0
141,D_M > margin,30,0,0.0,30,0,0.0,1.0
142,D_M > margin,30,0,0.0,30,0,0.0,1.0
143,D_M > margin,30,0,0.0,30,0,0.0,1.0
144,D_M > margin,30,0,0.0,30,0,0.0,1.0
145,D_M > margin,30,0,0.0,30,0,0.0,1.0
146,D_M > margin,30,0,0.0,30,0,0.0,1.0
147,D_M > margin,30,0,0.0,30,0,0.0,1.0
148,D_M > margin,30,0,0.0,30,0,0.0,1.0
149,D_M > margin,30,0,0.0,30,0,0.0,1.0
150,D_M > margin,30,0,0.0,30,0,0.0,1.0
151,D_M > margin,30,0,0.0,30,0,0.0,1.0
152,D_M > margin,30,0,0.0,30,0,0.0,1.0
153,D_M > margin,30,0,0.0,30,0,0.0,1.0
154,D_M > margin,30,0,0.0,30,0,0.0,1.0
155,D_M > margin,30,0,0.0,30,0,0.0,1.0
156,D_M > margin,30,0,0.0,30,0,0.0,1.0
157,D_M > margin,30,0,0.0,30,0,0.0,1.0
158,D_M > margin,30,0,0.0,30,0,0.0,1.0
159,D_M > margin,30,0,0.0,30,0,0.0,1.0
160,D_M > margin,30,0,0.0,30,0,0.0,1.0
161,D_M > margin,30,0,0.0,30,0,0.0,1.0
162,D_M > margin,30,0,0.0,30,0,0.0,1.0
163,D_M > margin,30,0,0.0,30,0,0.0,1.0
164,D_M > margin,30,0,0.0,30,0,0.0,1.0
165,D_M > margin,30,0,0.0,30,0,0.0,1.0
166,D_M > margin,30,0,0.0,30,0,0.0,1.0
167,D_M > margin,30,0,0.0,30,0,0.0,1.0
168,D_M > margin,30,0,0.0,30,0,0.0,1.0
169,D_M > margin,30,0,0.0,30,0,0.0,1.0
170,D_M > margin,30,0,0.0,30,0,0.0,1.0
171,D_M > margin,30,0,0.0,30,0,0.0,1.0
172,D_M > margin,30,0,0.0,30,0,0.0,1.0
173,D_M > margin,30,0,0.0,30,0,0.0,1.0
174,D_M > margin,30,0,0.0,30,0,0.0,1.0
175,D_M > margin,30,0,0.0,30,0,0.0,1.0
176,D_M > margin,30,0,0.0,30,0,0.0,1.0
177,D_M > margin,30,0,0.0,30,0,0.0,1.0
178,D_M > margin,30,0,0.0,30,0,0.0,1.0
179,D_M > margin,30,0,0.0,30,0,0.0,1.0
180,D_M > margin,30,0,0.0,30,0,0.0,1.0
181,D_M > margin,30,0,0.0,30,0,0.0,1.0
182,D_M > margin,30,0,0.0,30,0,0.0,1.0
183,D_M > margin,30,0,0.0,30,0,0.0,1.0
184,D_M > margin,30,0,0.0,30,0,0.0,1.0
185,D_M > margin,30,0,0.0,30,0,0.0,1.0
186,D_M > margin,30,0,0.0,30,0,0.0,1.0
