mode,point_kind,vdd_v,droop_mv,raw_thermometer_word,normalized_raw_word,corrected_thermometer_word,sensor_code,raw_bubble_count,bubble_count,code_valid,reset_failure_count,rvt_031_cross_s,lvt_031_cross_s,rvt_lvt_diff_031_s,final_taps_arrived,residual_code,measurement_file
rvt_lvt,grid,7.900000000000e-01,3.100000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.617644043000e-09,2.618985263000e-09,1.341219401000e-12,1,1,scenarios/v0p790000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,7.950000000000e-01,3.050000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.578941579000e-09,2.580623252000e-09,1.681673184000e-12,1,1,scenarios/v0p795000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.000000000000e-01,3.000000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.541798307000e-09,2.544126975000e-09,2.328667596000e-12,1,1,scenarios/v0p800000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.050000000000e-01,2.950000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.506350778000e-09,2.509676403000e-09,3.325625649000e-12,1,1,scenarios/v0p805000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.100000000000e-01,2.900000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.471672822000e-09,2.475541808000e-09,3.868985611000e-12,1,1,scenarios/v0p810000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.150000000000e-01,2.850000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.439003198000e-09,2.444080688000e-09,5.077490010000e-12,1,1,scenarios/v0p815000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.200000000000e-01,2.800000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.407356226000e-09,2.412855930000e-09,5.499703930000e-12,1,1,scenarios/v0p820000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.250000000000e-01,2.750000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.375806765000e-09,2.383655981000e-09,7.849216157000e-12,1,1,scenarios/v0p825000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.300000000000e-01,2.700000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.347573940000e-09,2.354883135000e-09,7.309195079000e-12,1,1,scenarios/v0p830000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.350000000000e-01,2.650000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.319533527000e-09,2.326929501000e-09,7.395974627000e-12,1,1,scenarios/v0p835000000000/phase3_voltage_code.mt0.csv
