probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996986,0.9499997005,1.674921305e-09,7.710671646e-09,True,6.0100000000000005e-09,7.000000000000001e-09,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,0.9499996999,0.9499997006,1.167448119e-08,1.771066803e-08,True,1.6010000000000002e-08,1.7e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,0.9499997012,0.9499997006,2.371873598e-08,2.975450723e-08,True,2.8010000000000004e-08,2.9e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,0.9499997008,0.9499996994,3.371861644e-08,3.975439819e-08,True,3.801e-08,3.9000000000000005e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,0.9499996952,0.9499996957,4.57625882e-08,5.179842901e-08,True,5.001e-08,5.1e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,0.9499997042,0.9499996899,5.576244794e-08,6.179860839e-08,True,6.001e-08,6.1e-08,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,0.9499997088,0.9499997127,6.780638605e-08,7.38422096e-08,True,7.201000000000001e-08,7.3e-08,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,0.9499996738,0.9499998275,7.780653323e-08,8.384221091e-08,True,8.201e-08,8.3e-08,True,True,True,PASS
8,4,0,STABLE_HIGH,STABLE_HIGH,0.9499997012,0.9499996889,8.985018604e-08,9.588605166e-08,True,9.401e-08,9.5e-08,True,True,True,PASS
9,4,0,STABLE_HIGH,STABLE_HIGH,0.9499996946,0.949999706,9.985004793e-08,1.058856904e-07,True,1.0401e-07,1.05e-07,True,True,True,PASS
10,5,0,STABLE_HIGH,STABLE_HIGH,0.9499996963,0.9499996986,1.118938081e-07,1.179293778e-07,True,1.1601e-07,1.17e-07,True,True,True,PASS
11,5,0,STABLE_HIGH,STABLE_HIGH,0.9499997405,0.9499997026,1.218940253e-07,1.279298904e-07,True,1.2601000000000003e-07,1.27e-07,True,True,True,PASS
12,6,0,STABLE_LOW,STABLE_LOW,1.424614773e-06,-1.023967136e-06,1.339381933e-07,1.399734207e-07,True,1.3801000000000003e-07,1.3900000000000001e-07,True,True,True,PASS
13,6,0,STABLE_LOW,STABLE_LOW,9.368208672e-08,1.214308858e-07,1.439377323e-07,1.499734921e-07,True,1.4801e-07,1.49e-07,True,True,True,PASS
14,4,0,STABLE_HIGH,STABLE_HIGH,0.9499996857,0.9499999761,1.578500452e-07,1.638856885e-07,True,1.6201000000000003e-07,1.6300000000000002e-07,True,True,True,PASS
15,4,1,STABLE_HIGH,STABLE_HIGH,0.949999861,0.9499996003,1.69856033e-07,1.758917105e-07,True,1.7401000000000003e-07,1.7500000000000002e-07,True,True,True,PASS
16,4,2,STABLE_HIGH,STABLE_HIGH,0.9499997737,0.9499997022,1.818619303e-07,1.878976913e-07,True,1.8601000000000004e-07,1.8700000000000002e-07,True,True,True,PASS
17,4,3,STABLE_HIGH,STABLE_HIGH,0.9499997722,0.9499996955,1.938682262e-07,1.999044017e-07,True,1.9801e-07,1.9900000000000002e-07,True,True,True,PASS
18,4,4,STABLE_HIGH,STABLE_HIGH,0.949999709,0.9499997145,2.058755652e-07,2.119115401e-07,True,2.1001e-07,2.1100000000000002e-07,True,True,True,PASS
19,4,5,STABLE_LOW,STABLE_LOW,1.685610666e-07,3.125713276e-08,2.17882762e-07,2.239186288e-07,True,2.2201000000000001e-07,2.2300000000000002e-07,True,True,True,PASS
20,4,6,STABLE_LOW,STABLE_LOW,1.459604331e-07,2.671346695e-07,2.298904555e-07,2.359262776e-07,True,2.3401000000000002e-07,2.3500000000000003e-07,True,True,True,PASS
21,4,6,STABLE_LOW,STABLE_LOW,-8.073467878e-07,4.419319506e-07,2.398904014e-07,2.459263764e-07,True,2.4401e-07,2.4500000000000004e-07,True,True,True,PASS
