policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,-83,360,30/30,30/30,30/30,85,106,85,18,18,0
A_TRACK_SOURCE,18,-82,360,30/30,30/30,30/30,84,105,84,18,18,0
A_TRACK_SOURCE,18,-81,360,30/30,30/30,30/30,83,104,83,18,18,0
A_TRACK_SOURCE,18,-80,360,30/30,30/30,30/30,82,103,82,18,18,0
A_TRACK_SOURCE,18,-79,360,30/30,30/30,30/30,81,102,81,18,18,0
A_TRACK_SOURCE,18,-78,360,30/30,30/30,30/30,80,101,80,18,18,0
A_TRACK_SOURCE,18,-77,360,30/30,30/30,30/30,79,100,79,18,18,0
A_TRACK_SOURCE,18,-76,360,30/30,30/30,30/30,78,99,78,18,18,0
A_TRACK_SOURCE,18,-75,360,30/30,30/30,30/30,77,98,77,18,18,0
A_TRACK_SOURCE,18,-74,360,30/30,30/30,30/30,76,97,76,18,18,0
A_TRACK_SOURCE,18,-73,360,30/30,30/30,30/30,75,96,75,18,18,0
A_TRACK_SOURCE,18,-72,360,30/30,30/30,30/30,74,95,74,18,18,0
A_TRACK_SOURCE,18,-71,360,30/30,30/30,30/30,73,94,73,18,18,0
A_TRACK_SOURCE,18,-70,360,30/30,30/30,30/30,72,93,72,18,18,0
A_TRACK_SOURCE,18,-69,360,30/30,30/30,30/30,71,92,71,18,18,0
A_TRACK_SOURCE,18,-68,360,30/30,30/30,30/30,70,91,70,18,18,0
A_TRACK_SOURCE,18,-67,360,30/30,30/30,30/30,69,90,69,18,18,0
A_TRACK_SOURCE,18,-66,360,30/30,30/30,30/30,68,89,68,18,18,0
A_TRACK_SOURCE,18,-65,360,30/30,30/30,30/30,67,88,67,18,18,0
A_TRACK_SOURCE,18,-64,360,30/30,30/30,30/30,66,87,66,18,18,0
A_TRACK_SOURCE,18,-63,360,30/30,30/30,30/30,65,86,65,18,18,0
A_TRACK_SOURCE,18,-62,360,30/30,30/30,30/30,64,85,64,18,18,0
A_TRACK_SOURCE,18,-61,360,30/30,30/30,30/30,63,84,63,18,18,0
A_TRACK_SOURCE,18,-60,360,30/30,30/30,30/30,62,83,62,18,18,0
A_TRACK_SOURCE,18,-59,360,30/30,30/30,30/30,61,82,61,18,18,0
A_TRACK_SOURCE,18,-58,360,30/30,30/30,30/30,60,81,60,18,18,0
A_TRACK_SOURCE,18,-57,360,30/30,30/30,30/30,59,80,59,18,18,0
A_TRACK_SOURCE,18,-56,360,30/30,30/30,30/30,58,79,58,18,18,0
A_TRACK_SOURCE,18,-55,360,30/30,30/30,30/30,57,78,57,18,18,0
A_TRACK_SOURCE,18,-54,360,30/30,30/30,30/30,56,77,56,18,18,0
A_TRACK_SOURCE,18,-53,360,30/30,30/30,30/30,55,76,55,18,18,0
A_TRACK_SOURCE,18,-52,360,30/30,30/30,30/30,54,75,54,18,18,0
A_TRACK_SOURCE,18,-51,360,30/30,30/30,30/30,53,74,53,18,18,0
A_TRACK_SOURCE,18,-50,360,30/30,30/30,30/30,52,73,52,18,18,0
A_TRACK_SOURCE,18,-49,360,30/30,30/30,30/30,51,72,51,18,18,0
A_TRACK_SOURCE,18,-48,360,30/30,30/30,30/30,50,71,50,18,18,0
A_TRACK_SOURCE,18,-47,360,30/30,30/30,30/30,49,70,49,18,18,0
A_TRACK_SOURCE,18,-46,360,30/30,30/30,30/30,48,69,48,18,18,0
A_TRACK_SOURCE,18,-45,360,30/30,30/30,30/30,47,68,47,18,18,0
