anchor_vdd,samples_used,vV_C,vV_W,r2_C,r2_W,endpoint_dC,endpoint_dW,fit_endpoint_cosine,quantized_direction_disagreement
1.1,"[1.1, 1.09, 1.08, 1.07, 1.06, 1.05]",-60,-14.2857142857,0.921951219512,0.238095238095,-3,-1,0.996129850025,False
0.9,"[0.93, 0.92, 0.91, 0.9, 0.89, 0.88, 0.87]",-67.8571428571,-3.57142857143,0.960106382979,0.025,-4,0,0.998617829333,False
0.75,"[0.8, 0.79, 0.78, 0.77, 0.76, 0.75]",-68.5714285714,-22.8571428571,0.881632653061,0.685714285714,-3,-1,1,False
