scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,c,w
scenarios/010_fine_v1p000000000000,capture,1.0,4,0,3e-10,1.3e-09,"[1.084660275e-09,1.108516787e-09,1.132458804e-09,1.156349708e-09,1.180287342e-09,1.204271646e-09,1.228216928e-09,1.252088232e-09,1.276006458e-09,1.299949202e-09,1.323967073e-09,1.347881304e-09,1.37186917e-09,1.395801697e-09,1.419743226e-09,1.443706922e-09,1.467753962e-09,1.491648187e-09,1.515625377e-09,1.539566871e-09,1.563489287e-09,1.587447213e-09,1.611423583e-09,1.635341319e-09,1.659209361e-09,1.683191712e-09,1.70713827e-09,1.731116997e-09,1.755015621e-09,1.777246189e-09]","[1.012040152e-09,1.027044444e-09,1.042112193e-09,1.057192331e-09,1.072175549e-09,1.08726375e-09,1.102244142e-09,1.117253479e-09,1.132328949e-09,1.147320032e-09,1.162379614e-09,1.177393831e-09,1.192359897e-09,1.20729755e-09,1.222289442e-09,1.237360467e-09,1.25233087e-09,1.267335499e-09,1.28243142e-09,1.297371897e-09,1.312362929e-09,1.327436244e-09,1.342427134e-09,1.357472776e-09,1.37252097e-09,1.387508372e-09,1.402589974e-09,1.417552859e-09,1.43254277e-09,1.446209456e-09]",1.0,000000000111111111000000000000,000000011111111000000000000000,000000011111111000000000000000,000000011111111000000000000000,0,7,14,8,1,1,0,0,0,21,8
scenarios/011_fine_v0p990000000000,capture,0.99,4,0,3e-10,1.3e-09,"[1.086409204e-09,1.110830167e-09,1.135384378e-09,1.159924879e-09,1.184472246e-09,1.209052269e-09,1.233569432e-09,1.258042137e-09,1.282629095e-09,1.307122577e-09,1.331706681e-09,1.356327842e-09,1.380795424e-09,1.405372041e-09,1.429936297e-09,1.454473517e-09,1.479070927e-09,1.503660517e-09,1.528284122e-09,1.552832297e-09,1.577424834e-09,1.601955536e-09,1.626504548e-09,1.651078464e-09,1.675719138e-09,1.700038577e-09,1.724542101e-09,1.749115963e-09,1.773671692e-09,1.796808945e-09]","[1.012020543e-09,1.027351647e-09,1.042683296e-09,1.058007155e-09,1.073276553e-09,1.088661151e-09,1.103908912e-09,1.119201495e-09,1.134576215e-09,1.149856577e-09,1.165195996e-09,1.180493143e-09,1.195758784e-09,1.211132038e-09,1.22639511e-09,1.241693119e-09,1.256933907e-09,1.272224039e-09,1.287574777e-09,1.302785429e-09,1.318160753e-09,1.333531756e-09,1.34878448e-09,1.364125232e-09,1.37944834e-09,1.394732268e-09,1.41008025e-09,1.425298466e-09,1.440503316e-09,1.454369683e-09]",0.99,000000000111111110000000000000,000000011111111000000000000000,000000011111111000000000000000,000000011111111000000000000000,0,7,14,8,1,1,0,0,0,21,8
scenarios/012_fine_v0p980000000000,capture,0.98,4,0,3e-10,1.3e-09,"[1.088647954e-09,1.113798172e-09,1.138880125e-09,1.164063937e-09,1.189302361e-09,1.214494387e-09,1.239625737e-09,1.264792343e-09,1.289941811e-09,1.315139367e-09,1.340356819e-09,1.365466049e-09,1.390684163e-09,1.415824308e-09,1.441085536e-09,1.466179584e-09,1.491424742e-09,1.516626444e-09,1.541762504e-09,1.566959221e-09,1.592222922e-09,1.617299185e-09,1.642523964e-09,1.66751226e-09,1.692607964e-09,1.717806884e-09,1.743018071e-09,1.768259511e-09,1.793426934e-09,1.817024631e-09]","[1.012218509e-09,1.027851136e-09,1.043496624e-09,1.059108095e-09,1.074716209e-09,1.090373826e-09,1.105919385e-09,1.121511408e-09,1.13717579e-09,1.152758036e-09,1.168406359e-09,1.183996576e-09,1.199574829e-09,1.215236851e-09,1.230800641e-09,1.246413208e-09,1.261920574e-09,1.277549045e-09,1.29315322e-09,1.308689084e-09,1.324309615e-09,1.33998407e-09,1.35556977e-09,1.37112839e-09,1.386748427e-09,1.402359775e-09,1.417914236e-09,1.43342967e-09,1.449019757e-09,1.463206614e-09]",0.98,000000001111111110000000000000,000000111111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,20,7
scenarios/013_fine_v0p970000000000,capture,0.97,4,0,3e-10,1.3e-09,"[1.091108053e-09,1.116872388e-09,1.142683536e-09,1.168570673e-09,1.194442341e-09,1.220233548e-09,1.246115829e-09,1.271975095e-09,1.297793292e-09,1.323738609e-09,1.349588416e-09,1.375472784e-09,1.401365083e-09,1.427245944e-09,1.453054002e-09,1.478894463e-09,1.50473493e-09,1.53070998e-09,1.556476429e-09,1.582335149e-09,1.608271804e-09,1.63404974e-09,1.659863518e-09,1.685783534e-09,1.711669521e-09,1.737470257e-09,1.763386153e-09,1.789338697e-09,1.814904227e-09,1.839213247e-09]","[1.012581821e-09,1.028509687e-09,1.044473611e-09,1.06041503e-09,1.076300363e-09,1.09228255e-09,1.108151318e-09,1.124103114e-09,1.139992073e-09,1.155924099e-09,1.171838492e-09,1.187711581e-09,1.203670521e-09,1.219508817e-09,1.235383228e-09,1.251362956e-09,1.267220967e-09,1.283046067e-09,1.298972755e-09,1.314898461e-09,1.330823856e-09,1.34677883e-09,1.362676098e-09,1.378650664e-09,1.39452638e-09,1.41042668e-09,1.426407115e-09,1.442197702e-09,1.458021404e-09,1.472461808e-09]",0.97,000000001111111100000000000000,000000111111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,20,7
scenarios/014_fine_v0p960000000000,capture,0.96,4,0,3e-10,1.3e-09,"[1.093448124e-09,1.119877683e-09,1.146443635e-09,1.172981357e-09,1.199594471e-09,1.226145687e-09,1.25274829e-09,1.27927254e-09,1.305846559e-09,1.332474929e-09,1.359046444e-09,1.385658369e-09,1.412277689e-09,1.438771e-09,1.465316399e-09,1.4919278e-09,1.518490959e-09,1.545100734e-09,1.571602902e-09,1.598179088e-09,1.624814858e-09,1.651329215e-09,1.677856325e-09,1.704459684e-09,1.731043483e-09,1.757583203e-09,1.784129184e-09,1.810810254e-09,1.837155087e-09,1.862049858e-09]","[1.01274023e-09,1.028986856e-09,1.045278347e-09,1.061548611e-09,1.077744435e-09,1.094054705e-09,1.110256609e-09,1.126541475e-09,1.142721434e-09,1.159036922e-09,1.175214731e-09,1.191471163e-09,1.207696554e-09,1.223995942e-09,1.240230785e-09,1.256436644e-09,1.272758671e-09,1.288979637e-09,1.305120862e-09,1.321445673e-09,1.337719453e-09,1.35394985e-09,1.370169625e-09,1.386280512e-09,1.402558705e-09,1.418795677e-09,1.435014972e-09,1.451255517e-09,1.467477588e-09,1.482076938e-09]",0.96,000000001111111100000000000000,000000111111100000000000000000,000000111111110000000000000000,000000111111110000000000000000,0,6,13,8,1,1,0,0,0,19,8
scenarios/015_fine_v0p950000000000,capture,0.95,4,0,3e-10,1.3e-09,"[1.095891858e-09,1.123069275e-09,1.150357289e-09,1.177683904e-09,1.205068462e-09,1.232319447e-09,1.259646822e-09,1.286963307e-09,1.314334239e-09,1.341698213e-09,1.369010705e-09,1.396267455e-09,1.423572795e-09,1.450907006e-09,1.478211794e-09,1.505484775e-09,1.532885158e-09,1.560180064e-09,1.587574068e-09,1.614746586e-09,1.642019776e-09,1.669374638e-09,1.69677374e-09,1.724124287e-09,1.751452689e-09,1.778753953e-09,1.806053256e-09,1.833498168e-09,1.860573768e-09,1.886246094e-09]","[1.012927351e-09,1.02949334e-09,1.04613312e-09,1.062772055e-09,1.07928958e-09,1.095930244e-09,1.112457602e-09,1.129084503e-09,1.145662485e-09,1.162261038e-09,1.178845723e-09,1.195429711e-09,1.211999758e-09,1.22861214e-09,1.245181608e-09,1.261782358e-09,1.278317122e-09,1.29491382e-09,1.311486418e-09,1.328076632e-09,1.344737087e-09,1.361233732e-09,1.377917291e-09,1.394471371e-09,1.411004276e-09,1.427578292e-09,1.444179168e-09,1.460726806e-09,1.477386381e-09,1.492458455e-09]",0.95,000000011111111100000000000000,000001111111100000000000000000,000000111111100000000000000000,000000111111100000000000000000,0,6,12,7,1,1,0,0,0,18,7
scenarios/016_fine_v0p940000000000,capture,0.94,4,0,3e-10,1.3e-09,"[1.098668294e-09,1.126646768e-09,1.154774371e-09,1.182851611e-09,1.210972424e-09,1.239133183e-09,1.267238052e-09,1.29537996e-09,1.3235594e-09,1.351723495e-09,1.379825142e-09,1.407973313e-09,1.436080187e-09,1.464220757e-09,1.492316889e-09,1.520489556e-09,1.548698978e-09,1.576739757e-09,1.604847338e-09,1.633025045e-09,1.66126482e-09,1.689246297e-09,1.7171762e-09,1.745282625e-09,1.773438975e-09,1.80163577e-09,1.829794442e-09,1.857899243e-09,1.886029629e-09,1.912467492e-09]","[1.013223175e-09,1.030173876e-09,1.047174656e-09,1.064069243e-09,1.081028819e-09,1.098041406e-09,1.114921449e-09,1.131896726e-09,1.148861383e-09,1.16578612e-09,1.182747326e-09,1.199715508e-09,1.216631706e-09,1.233609357e-09,1.250529396e-09,1.267506747e-09,1.284357227e-09,1.301262224e-09,1.318347242e-09,1.335256178e-09,1.352255471e-09,1.369161898e-09,1.386147277e-09,1.403063248e-09,1.419896727e-09,1.436847159e-09,1.453819566e-09,1.47075667e-09,1.487667736e-09,1.503049239e-09]",0.94,000000011111111000000000000000,000001111111100000000000000000,000000111111100000000000000000,000000111111100000000000000000,0,6,12,7,1,1,0,0,0,18,7
scenarios/017_fine_v0p930000000000,capture,0.93,4,0,3e-10,1.3e-09,"[1.101542029e-09,1.130377733e-09,1.159414676e-09,1.188286641e-09,1.217307991e-09,1.246330504e-09,1.275204609e-09,1.304198372e-09,1.333300114e-09,1.362218015e-09,1.391192954e-09,1.420187563e-09,1.449196188e-09,1.478224666e-09,1.507169997e-09,1.536182067e-09,1.565142983e-09,1.594149013e-09,1.623098226e-09,1.652157283e-09,1.680981083e-09,1.709979996e-09,1.739044988e-09,1.768056526e-09,1.797060978e-09,1.826011905e-09,1.854995065e-09,1.883941805e-09,1.913039572e-09,1.940107123e-09]","[1.013490409e-09,1.030833478e-09,1.048209708e-09,1.065484138e-09,1.082826199e-09,1.100225493e-09,1.117494813e-09,1.134817854e-09,1.152127333e-09,1.169478678e-09,1.186815902e-09,1.204127583e-09,1.221479076e-09,1.238785207e-09,1.256128545e-09,1.273464126e-09,1.290731111e-09,1.307997107e-09,1.325346313e-09,1.34274687e-09,1.359979818e-09,1.377372445e-09,1.394644916e-09,1.41199037e-09,1.429294161e-09,1.446558689e-09,1.463805208e-09,1.481119986e-09,1.498425732e-09,1.514111278e-09]",0.93,000000011111111000000000000000,000001111111000000000000000000,000001111111000000000000000000,000001111111000000000000000000,0,5,11,7,1,1,0,0,0,16,7
scenarios/018_fine_v0p920000000000,capture,0.92,4,0,3e-10,1.3e-09,"[1.104579496e-09,1.134338733e-09,1.164327389e-09,1.194103798e-09,1.22397856e-09,1.253875946e-09,1.283739713e-09,1.313597883e-09,1.34349034e-09,1.373408298e-09,1.403301354e-09,1.433169635e-09,1.463022628e-09,1.492943106e-09,1.522825148e-09,1.552820423e-09,1.58268285e-09,1.612535218e-09,1.642483317e-09,1.672339681e-09,1.702206885e-09,1.732205045e-09,1.762000859e-09,1.791725838e-09,1.821423356e-09,1.851329424e-09,1.881296722e-09,1.911186317e-09,1.940998698e-09,1.969020454e-09]","[1.013823531e-09,1.031561614e-09,1.049349614e-09,1.067045524e-09,1.084764966e-09,1.102539717e-09,1.120233749e-09,1.137901857e-09,1.15563734e-09,1.17332645e-09,1.191085014e-09,1.208780363e-09,1.226516773e-09,1.244225094e-09,1.261900564e-09,1.279546501e-09,1.297288698e-09,1.315026419e-09,1.332761774e-09,1.350513374e-09,1.36820063e-09,1.38594598e-09,1.403649605e-09,1.421295951e-09,1.439012766e-09,1.456847628e-09,1.474518327e-09,1.492213334e-09,1.509915194e-09,1.526163168e-09]",0.92,000000111111110000000000000000,000001111111000000000000000000,000001111111000000000000000000,000001111111000000000000000000,0,5,11,7,1,1,0,0,0,16,7
scenarios/019_fine_v0p910000000000,capture,0.91,4,0,3e-10,1.3e-09,"[1.107940169e-09,1.138653718e-09,1.169546061e-09,1.200378732e-09,1.231231466e-09,1.26201977e-09,1.292953695e-09,1.323789411e-09,1.354588175e-09,1.385512352e-09,1.416330556e-09,1.447149829e-09,1.478032882e-09,1.50884236e-09,1.539695793e-09,1.570599598e-09,1.601503058e-09,1.632289245e-09,1.663094561e-09,1.694024938e-09,1.724794749e-09,1.75567829e-09,1.786563063e-09,1.817444254e-09,1.848200644e-09,1.879052145e-09,1.910027881e-09,1.940670229e-09,1.971571889e-09,2.000543302e-09]","[1.014017855e-09,1.032156594e-09,1.05035407e-09,1.068516589e-09,1.086555483e-09,1.10477384e-09,1.122866006e-09,1.141044664e-09,1.159134952e-09,1.177313156e-09,1.195440226e-09,1.213584578e-09,1.23171258e-09,1.24972179e-09,1.267919812e-09,1.286053529e-09,1.30403522e-09,1.322358076e-09,1.340432915e-09,1.358564436e-09,1.376677868e-09,1.394772875e-09,1.412971555e-09,1.431050565e-09,1.449109833e-09,1.467214384e-09,1.48535541e-09,1.503431247e-09,1.521655722e-09,1.538222045e-09]",0.91,000000111111110000000000000000,000011111110000000000000000000,000001111110000000000000000000,000001111110000000000000000000,0,5,10,6,1,1,0,0,0,15,6
