scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,c,w
scenarios/020_fine_v0p900000000000,capture,0.9,4,0,3e-10,1.3e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270618807e-09,1.302479088e-09,1.334448235e-09,1.366291953e-09,1.398200974e-09,1.430151131e-09,1.461928536e-09,1.493841887e-09,1.525672718e-09,1.557520696e-09,1.589565473e-09,1.621398266e-09,1.653389994e-09,1.685070149e-09,1.716960359e-09,1.748717149e-09,1.780523489e-09,1.812435911e-09,1.844346078e-09,1.876248311e-09,1.908060339e-09,1.939972436e-09,1.971812916e-09,2.003802194e-09,2.033784808e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.255880044e-09,1.274362147e-09,1.292894121e-09,1.311495925e-09,1.330130766e-09,1.348687798e-09,1.36722909e-09,1.385909349e-09,1.40449943e-09,1.423000248e-09,1.44166453e-09,1.460309009e-09,1.478797453e-09,1.497500873e-09,1.515886453e-09,1.534519788e-09,1.55141782e-09]",0.9,000000111111110000000000000000,000011111110000000000000000000,000011111110000000000000000000,000011111110000000000000000000,0,4,10,7,1,1,0,0,0,14,7
scenarios/021_fine_v0p890000000000,capture,0.89,4,0,3e-10,1.3e-09,"[1.115128202e-09,1.147986393e-09,1.180916975e-09,1.213996717e-09,1.246885154e-09,1.27987088e-09,1.312787671e-09,1.345787422e-09,1.378795124e-09,1.411781689e-09,1.444777259e-09,1.477725869e-09,1.510655428e-09,1.543633359e-09,1.576677851e-09,1.609523741e-09,1.642412559e-09,1.675318671e-09,1.708381616e-09,1.74129778e-09,1.774230889e-09,1.807355164e-09,1.840043282e-09,1.872903049e-09,1.905842041e-09,1.938560043e-09,1.971734326e-09,2.004688882e-09,2.037598382e-09,2.068782607e-09]","[1.014668562e-09,1.033738322e-09,1.052815404e-09,1.071869598e-09,1.090905965e-09,1.109955439e-09,1.12905823e-09,1.148058285e-09,1.167128744e-09,1.186207396e-09,1.205190313e-09,1.224232274e-09,1.243268367e-09,1.262246978e-09,1.281262599e-09,1.300235083e-09,1.319361554e-09,1.338429416e-09,1.357519201e-09,1.376516562e-09,1.395419334e-09,1.414564052e-09,1.433545077e-09,1.452514301e-09,1.471645328e-09,1.490662618e-09,1.509605513e-09,1.528741511e-09,1.54769736e-09,1.565120739e-09]",0.89,000001111111100000000000000000,000011111100000000000000000000,000011111110000000000000000000,000011111110000000000000000000,0,4,10,7,1,1,0,0,0,14,7
scenarios/022_fine_v0p880000000000,capture,0.88,4,0,3e-10,1.3e-09,"[1.119024817e-09,1.153103469e-09,1.18725113e-09,1.221433788e-09,1.255538151e-09,1.28970944e-09,1.323788148e-09,1.358026026e-09,1.392138151e-09,1.426271707e-09,1.460474552e-09,1.494537099e-09,1.52872121e-09,1.562898701e-09,1.597070855e-09,1.631230062e-09,1.665309996e-09,1.699449793e-09,1.733433833e-09,1.767541347e-09,1.801724084e-09,1.835901263e-09,1.87007558e-09,1.904127422e-09,1.938331902e-09,1.972488477e-09,2.006681192e-09,2.040777733e-09,2.074915312e-09,2.106911271e-09]","[1.014947399e-09,1.034464892e-09,1.054066473e-09,1.073593128e-09,1.093124027e-09,1.1126526e-09,1.132272239e-09,1.151775236e-09,1.171309219e-09,1.190911261e-09,1.210353281e-09,1.229861089e-09,1.249429419e-09,1.268933776e-09,1.28855674e-09,1.307871191e-09,1.327458414e-09,1.347019954e-09,1.366548972e-09,1.386090744e-09,1.405578021e-09,1.425113935e-09,1.444590205e-09,1.464215599e-09,1.483692489e-09,1.50309456e-09,1.522771916e-09,1.542267991e-09,1.561884302e-09,1.579738333e-09]",0.88,000001111111100000000000000000,000111111100000000000000000000,000011111100000000000000000000,000011111100000000000000000000,0,4,9,6,1,1,0,0,0,13,6
scenarios/023_fine_v0p870000000000,capture,0.87,4,0,3e-10,1.3e-09,"[1.123244853e-09,1.158463075e-09,1.193875956e-09,1.229320989e-09,1.264776236e-09,1.300026802e-09,1.335549743e-09,1.370977581e-09,1.406507456e-09,1.441771653e-09,1.477201156e-09,1.512491254e-09,1.547975598e-09,1.583377807e-09,1.618790376e-09,1.654269066e-09,1.689696874e-09,1.725146029e-09,1.76050061e-09,1.79584089e-09,1.83120861e-09,1.866742899e-09,1.902182729e-09,1.937629961e-09,1.973066642e-09,2.008494584e-09,2.04380775e-09,2.079272855e-09,2.1146777e-09,2.148235542e-09]","[1.015219192e-09,1.035308755e-09,1.055361337e-09,1.075441291e-09,1.095573953e-09,1.115613132e-09,1.135661328e-09,1.155710581e-09,1.175736449e-09,1.195865699e-09,1.215835578e-09,1.235933159e-09,1.255923539e-09,1.276054077e-09,1.295938491e-09,1.315983809e-09,1.336063731e-09,1.356170711e-09,1.376145024e-09,1.396240962e-09,1.416253947e-09,1.43635426e-09,1.456280698e-09,1.476278069e-09,1.496399133e-09,1.516290353e-09,1.536369099e-09,1.556408021e-09,1.576474976e-09,1.59486061e-09]",0.87,000001111111000000000000000000,000111111000000000000000000000,000111111100000000000000000000,000111111100000000000000000000,0,3,9,7,1,1,0,0,0,12,7
scenarios/024_fine_v0p860000000000,capture,0.86,4,0,3e-10,1.3e-09,"[1.127973929e-09,1.164560144e-09,1.201373992e-09,1.23805024e-09,1.274783156e-09,1.31150929e-09,1.348261369e-09,1.385123902e-09,1.421847331e-09,1.458683726e-09,1.495421245e-09,1.532174311e-09,1.568938881e-09,1.605750205e-09,1.642563623e-09,1.67951297e-09,1.716330732e-09,1.753083932e-09,1.7897636e-09,1.826610873e-09,1.863249434e-09,1.899778948e-09,1.936440892e-09,1.973190348e-09,2.009700422e-09,2.046634016e-09,2.083452538e-09,2.120206096e-09,2.156949462e-09,2.191721366e-09]","[1.015627594e-09,1.036303186e-09,1.056941404e-09,1.077462403e-09,1.098157265e-09,1.11869418e-09,1.139353498e-09,1.159864759e-09,1.180528187e-09,1.201189537e-09,1.221705476e-09,1.242385426e-09,1.262890142e-09,1.283527934e-09,1.303958483e-09,1.324750196e-09,1.345334084e-09,1.366016882e-09,1.386579765e-09,1.407194493e-09,1.427716471e-09,1.448295448e-09,1.468993684e-09,1.489459631e-09,1.510007181e-09,1.530705223e-09,1.551332017e-09,1.57187878e-09,1.592493567e-09,1.611371283e-09]",0.86,000001111111000000000000000000,000111111000000000000000000000,000111111000000000000000000000,000111111000000000000000000000,0,3,8,6,1,1,0,0,0,11,6
scenarios/025_fine_v0p850000000000,capture,0.85,4,0,3e-10,1.3e-09,"[1.132526868e-09,1.170572635e-09,1.208741281e-09,1.247031898e-09,1.285195151e-09,1.323516489e-09,1.361667534e-09,1.399849953e-09,1.43812321e-09,1.476341117e-09,1.51457616e-09,1.552726958e-09,1.590950534e-09,1.629257596e-09,1.667626474e-09,1.705739361e-09,1.744033759e-09,1.782184845e-09,1.820656896e-09,1.858709126e-09,1.89683495e-09,1.935023474e-09,1.973472746e-09,2.011704865e-09,2.049909391e-09,2.088121782e-09,2.126337392e-09,2.16455508e-09,2.202772638e-09,2.238942897e-09]","[1.015839442e-09,1.037023701e-09,1.058226633e-09,1.079433525e-09,1.100714365e-09,1.121896818e-09,1.143038213e-09,1.16431447e-09,1.185421857e-09,1.206696968e-09,1.227791375e-09,1.249030324e-09,1.270095723e-09,1.291452679e-09,1.312616088e-09,1.333824137e-09,1.355090776e-09,1.376181849e-09,1.39747433e-09,1.418535005e-09,1.439740038e-09,1.460862235e-09,1.482022461e-09,1.503098804e-09,1.524431425e-09,1.545528349e-09,1.566802032e-09,1.587869684e-09,1.609124703e-09,1.62840287e-09]",0.85,000011111110000000000000000000,001111110000000000000000000000,000111111000000000000000000000,000111111000000000000000000000,0,3,8,6,1,1,0,0,0,11,6
scenarios/026_fine_v0p840000000000,capture,0.84,4,0,3e-10,1.3e-09,"[1.137833271e-09,1.177383296e-09,1.217168049e-09,1.256983936e-09,1.296880923e-09,1.336670834e-09,1.376515236e-09,1.416230122e-09,1.456007631e-09,1.495788269e-09,1.535580199e-09,1.575408368e-09,1.615263576e-09,1.654992668e-09,1.694894406e-09,1.734719297e-09,1.774534444e-09,1.814337124e-09,1.854111393e-09,1.893921644e-09,1.933784206e-09,1.973385904e-09,2.013068217e-09,2.052894595e-09,2.09241283e-09,2.132334201e-09,2.172287919e-09,2.212098392e-09,2.251894275e-09,2.289507691e-09]","[1.016221337e-09,1.038060358e-09,1.059904967e-09,1.081695896e-09,1.103598615e-09,1.125407081e-09,1.147175936e-09,1.169015768e-09,1.190876606e-09,1.212593469e-09,1.234351821e-09,1.256166016e-09,1.277844226e-09,1.299603754e-09,1.321478824e-09,1.343352035e-09,1.365048604e-09,1.386958099e-09,1.408653641e-09,1.430549968e-09,1.452175974e-09,1.474093805e-09,1.495819456e-09,1.517578944e-09,1.539454316e-09,1.561245971e-09,1.583009243e-09,1.604900325e-09,1.626611324e-09,1.646600187e-09]",0.84,000011111110000000000000000000,001111110000000000000000000000,001111110000000000000000000000,001111110000000000000000000000,0,2,7,6,1,1,0,0,0,9,6
scenarios/027_fine_v0p830000000000,capture,0.83,4,0,3e-10,1.3e-09,"[1.143419269e-09,1.184896519e-09,1.226244858e-09,1.267685021e-09,1.309099473e-09,1.35071674e-09,1.392216009e-09,1.433774015e-09,1.47516459e-09,1.516579538e-09,1.55804483e-09,1.599628723e-09,1.641068318e-09,1.682584594e-09,1.724213187e-09,1.765734672e-09,1.807486704e-09,1.849017903e-09,1.890521998e-09,1.931902924e-09,1.973524002e-09,2.014921926e-09,2.056179865e-09,2.097549762e-09,2.138959466e-09,2.180413244e-09,2.221871532e-09,2.263354781e-09,2.305097007e-09,2.344332075e-09]","[1.016611014e-09,1.039167821e-09,1.061615079e-09,1.0840394e-09,1.106594124e-09,1.129059321e-09,1.151449747e-09,1.173999556e-09,1.196386191e-09,1.218891088e-09,1.241289318e-09,1.26377678e-09,1.286101972e-09,1.308493926e-09,1.331078506e-09,1.353447559e-09,1.375993823e-09,1.398351686e-09,1.420893875e-09,1.443310665e-09,1.465729776e-09,1.488240551e-09,1.510577122e-09,1.533151952e-09,1.555688153e-09,1.578017035e-09,1.600568243e-09,1.623043144e-09,1.6454464e-09,1.665982294e-09]",0.83,000011111110000000000000000000,001111100000000000000000000000,001111110000000000000000000000,001111110000000000000000000000,0,2,7,6,1,1,0,0,0,9,6
scenarios/028_fine_v0p820000000000,capture,0.82,4,0,3e-10,1.3e-09,"[1.149746943e-09,1.192966833e-09,1.236276275e-09,1.27953775e-09,1.322904667e-09,1.366185257e-09,1.409588924e-09,1.452845596e-09,1.496216891e-09,1.539588878e-09,1.582859005e-09,1.626096954e-09,1.669439349e-09,1.712770288e-09,1.75610261e-09,1.799302222e-09,1.842391616e-09,1.885562124e-09,1.928915892e-09,1.972156256e-09,2.015763077e-09,2.059101645e-09,2.102436118e-09,2.145772237e-09,2.189109915e-09,2.232448518e-09,2.275787736e-09,2.319127401e-09,2.362467442e-09,2.403497341e-09]","[1.017204279e-09,1.040413434e-09,1.063624964e-09,1.086748472e-09,1.10988706e-09,1.133136888e-09,1.156387348e-09,1.179415028e-09,1.202685724e-09,1.225786067e-09,1.248961415e-09,1.272217219e-09,1.295281342e-09,1.318452583e-09,1.341585656e-09,1.364842847e-09,1.388032059e-09,1.411123528e-09,1.434351671e-09,1.457403081e-09,1.480662002e-09,1.503635053e-09,1.526948801e-09,1.550057244e-09,1.57332481e-09,1.59641234e-09,1.619657744e-09,1.642751584e-09,1.665876218e-09,1.687221759e-09]",0.82,000111111100000000000000000000,011111100000000000000000000000,001111100000000000000000000000,001111100000000000000000000000,0,2,6,5,1,1,0,0,0,8,5
scenarios/029_fine_v0p810000000000,capture,0.81,4,0,3e-10,1.3e-09,"[1.156383354e-09,1.201518383e-09,1.246787608e-09,1.292159562e-09,1.337329204e-09,1.38263338e-09,1.427895262e-09,1.473206945e-09,1.518473276e-09,1.563783275e-09,1.609165698e-09,1.654483528e-09,1.699747042e-09,1.74512948e-09,1.790344156e-09,1.835553187e-09,1.880833704e-09,1.926302372e-09,1.971469178e-09,2.016905296e-09,2.062257123e-09,2.107581993e-09,2.152918655e-09,2.198265065e-09,2.243614744e-09,2.28896508e-09,2.334315527e-09,2.379593645e-09,2.424947344e-09,2.467950748e-09]","[1.01757803e-09,1.041617953e-09,1.065490927e-09,1.089321832e-09,1.113274129e-09,1.137246282e-09,1.161237959e-09,1.185023114e-09,1.209038001e-09,1.232840398e-09,1.256819917e-09,1.280644792e-09,1.304425713e-09,1.328496806e-09,1.352356194e-09,1.376257441e-09,1.400259863e-09,1.424062566e-09,1.448009027e-09,1.47200514e-09,1.495903072e-09,1.519615384e-09,1.543560779e-09,1.567565316e-09,1.591542788e-09,1.615313575e-09,1.639335572e-09,1.663288358e-09,1.687040922e-09,1.709021421e-09]",0.81,000111111100000000000000000000,011111000000000000000000000000,011111100000000000000000000000,011111100000000000000000000000,0,1,6,6,1,1,0,0,0,7,6
scenarios/030_fine_v0p800000000000,capture,0.8,4,0,3e-10,1.3e-09,"[1.163718349e-09,1.210954986e-09,1.258398913e-09,1.305815425e-09,1.353365013e-09,1.400842738e-09,1.448231361e-09,1.495628378e-09,1.543107595e-09,1.590563557e-09,1.638012653e-09,1.685535035e-09,1.73302675e-09,1.780629174e-09,1.828040398e-09,1.875551508e-09,1.923032256e-09,1.970375477e-09,2.017848568e-09,2.065245257e-09,2.112614154e-09,2.160141909e-09,2.207886697e-09,2.255481214e-09,2.303002208e-09,2.350528247e-09,2.397965559e-09,2.445489688e-09,2.492894691e-09,2.538012685e-09]","[1.01807628e-09,1.042782507e-09,1.067585437e-09,1.092388241e-09,1.117050189e-09,1.141865749e-09,1.166521305e-09,1.191340826e-09,1.215879905e-09,1.240705935e-09,1.265488519e-09,1.290039328e-09,1.314888935e-09,1.339662757e-09,1.36444302e-09,1.389243794e-09,1.41382135e-09,1.438659802e-09,1.46321348e-09,1.487972397e-09,1.512819318e-09,1.537611048e-09,1.562329066e-09,1.587134969e-09,1.611812801e-09,1.636487047e-09,1.661291364e-09,1.685885286e-09,1.710702641e-09,1.733378048e-09]",0.8,000111111000000000000000000000,011111000000000000000000000000,011111000000000000000000000000,011111000000000000000000000000,0,1,5,5,1,1,0,0,0,6,5
scenarios/031_fine_v0p790000000000,capture,0.79,4,0,3e-10,1.3e-09,"[1.171610805e-09,1.221243756e-09,1.271038352e-09,1.320817986e-09,1.370659531e-09,1.420476971e-09,1.470289249e-09,1.520087369e-09,1.569892013e-09,1.619768368e-09,1.669546692e-09,1.719237453e-09,1.769074373e-09,1.819065015e-09,1.868840039e-09,1.918535898e-09,1.968540582e-09,2.018409545e-09,2.068175779e-09,2.117801908e-09,2.16766453e-09,2.217263487e-09,2.267154326e-09,2.317010168e-09,2.366993933e-09,2.417035656e-09,2.46688444e-09,2.516777015e-09,2.566618665e-09,2.613779405e-09]","[1.018628612e-09,1.044197603e-09,1.06986175e-09,1.095528525e-09,1.1210926e-09,1.146821888e-09,1.172147743e-09,1.197821122e-09,1.223397369e-09,1.248878627e-09,1.274542839e-09,1.299937261e-09,1.325640794e-09,1.351206949e-09,1.376681855e-09,1.402348573e-09,1.427862945e-09,1.453397717e-09,1.478937678e-09,1.504380625e-09,1.530193583e-09,1.555738577e-09,1.581422766e-09,1.607085056e-09,1.63258537e-09,1.658264233e-09,1.683643611e-09,1.709333804e-09,1.734891113e-09,1.75811086e-09]",0.79,001111111000000000000000000000,111110000000000000000000000000,011111000000000000000000000000,011111000000000000000000000000,0,1,5,5,1,1,0,0,0,6,5
scenarios/032_fine_v0p780000000000,capture,0.78,4,0,3e-10,1.3e-09,"[1.180082649e-09,1.232229867e-09,1.284600325e-09,1.336942511e-09,1.389389516e-09,1.441704558e-09,1.494181345e-09,1.546501549e-09,1.598886346e-09,1.651274071e-09,1.70359635e-09,1.755949952e-09,1.808366315e-09,1.860903424e-09,1.913357944e-09,1.9658442e-09,2.018286597e-09,2.070671011e-09,2.123004953e-09,2.17529806e-09,2.227624755e-09,2.279885858e-09,2.332413524e-09,2.384953362e-09,2.437287113e-09,2.489701482e-09,2.541950568e-09,2.594290674e-09,2.646714805e-09,2.696374386e-09]","[1.019122285e-09,1.045643683e-09,1.072202196e-09,1.098806117e-09,1.125376459e-09,1.151947761e-09,1.178393815e-09,1.204808304e-09,1.231404395e-09,1.257955794e-09,1.284329197e-09,1.310608623e-09,1.337246423e-09,1.363790936e-09,1.390392516e-09,1.416965262e-09,1.443402175e-09,1.469751817e-09,1.4963531e-09,1.522726577e-09,1.549309154e-09,1.575636055e-09,1.602185828e-09,1.628761184e-09,1.655156973e-09,1.681637412e-09,1.708159158e-09,1.73480482e-09,1.761080617e-09,1.7854603e-09]",0.78,001111110000000000000000000000,111110000000000000000000000000,111110000000000000000000000000,111110000000000000000000000000,0,0,4,5,1,1,0,1,0,4,5
scenarios/033_fine_v0p770000000000,capture,0.77,4,0,3e-10,1.3e-09,"[1.189408329e-09,1.244321949e-09,1.299462176e-09,1.354631333e-09,1.409855933e-09,1.464967005e-09,1.520055908e-09,1.575234642e-09,1.630321361e-09,1.685519622e-09,1.740658624e-09,1.795828132e-09,1.851089267e-09,1.906306685e-09,1.961443309e-09,2.016534355e-09,2.071574325e-09,2.126894538e-09,2.182046171e-09,2.237372426e-09,2.292605054e-09,2.347904974e-09,2.403153957e-09,2.458444734e-09,2.51370188e-09,2.568986686e-09,2.624248809e-09,2.679272902e-09,2.734427418e-09,2.786912386e-09]","[1.019714426e-09,1.047291858e-09,1.074832429e-09,1.10237444e-09,1.129958047e-09,1.157515519e-09,1.185078905e-09,1.212352735e-09,1.239908771e-09,1.267473955e-09,1.295036457e-09,1.32222819e-09,1.349785561e-09,1.377338818e-09,1.404865015e-09,1.432174141e-09,1.459739165e-09,1.487247915e-09,1.514549973e-09,1.542146829e-09,1.569478388e-09,1.597042239e-09,1.624589849e-09,1.65217161e-09,1.679458979e-09,1.707059044e-09,1.734480209e-09,1.761852331e-09,1.789424998e-09,1.814883072e-09]",0.77,001111110000000000000000000000,111100000000000000000000000000,111110000000000000000000000000,111110000000000000000000000000,0,0,4,5,1,1,0,1,0,4,5
scenarios/034_fine_v0p760000000000,capture,0.76,4,0,3e-10,1.3e-09,"[1.199641053e-09,1.25762768e-09,1.315648326e-09,1.373886672e-09,1.432112665e-09,1.490342477e-09,1.54856244e-09,1.606606216e-09,1.664839084e-09,1.723077882e-09,1.781291381e-09,1.839561255e-09,1.897903685e-09,1.956273735e-09,2.014742302e-09,2.073097543e-09,2.131325609e-09,2.189605572e-09,2.247859578e-09,2.30625595e-09,2.364620044e-09,2.422971345e-09,2.481330396e-09,2.539680709e-09,2.598040785e-09,2.656147281e-09,2.714545004e-09,2.772740402e-09,2.831013371e-09,2.886417657e-09]","[1.02033662e-09,1.049062068e-09,1.077670786e-09,1.106126239e-09,1.134771955e-09,1.163416036e-09,1.192045434e-09,1.220661314e-09,1.249280944e-09,1.277635308e-09,1.306133425e-09,1.334813291e-09,1.363463652e-09,1.392125482e-09,1.420781574e-09,1.449422982e-09,1.478051348e-09,1.506511464e-09,1.535178042e-09,1.563806197e-09,1.592168491e-09,1.620744281e-09,1.649399107e-09,1.678036813e-09,1.70656342e-09,1.735119674e-09,1.763799625e-09,1.792247731e-09,1.820627151e-09,1.847161802e-09]",0.76,001111110000000000000000000000,111100000000000000000000000000,111100000000000000000000000000,111100000000000000000000000000,0,0,3,4,1,1,0,1,0,3,4
scenarios/035_fine_v0p750000000000,capture,0.75,4,0,3e-10,1.3e-09,"[1.211003633e-09,1.272329312e-09,1.333999721e-09,1.395583561e-09,1.457140224e-09,1.518651923e-09,1.580235317e-09,1.641873364e-09,1.703484631e-09,1.765000963e-09,1.826626486e-09,1.888242855e-09,1.949971667e-09,2.011814892e-09,2.073692978e-09,2.135535547e-09,2.196999093e-09,2.258763808e-09,2.32040087e-09,2.382004689e-09,2.443784368e-09,2.505536894e-09,2.567284919e-09,2.629032183e-09,2.690779315e-09,2.752526425e-09,2.813990258e-09,2.875752399e-09,2.937384468e-09,2.996056207e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259187472e-09,1.289004799e-09,1.31884331e-09,1.348644519e-09,1.378330508e-09,1.407849493e-09,1.437642254e-09,1.467422457e-09,1.497205357e-09,1.527022026e-09,1.556796069e-09,1.586465032e-09,1.616249822e-09,1.646072188e-09,1.67589987e-09,1.705725312e-09,1.73554735e-09,1.765366331e-09,1.795194859e-09,1.824948512e-09,1.854762182e-09,1.882094345e-09]",0.75,011111100000000000000000000000,111000000000000000000000000000,111100000000000000000000000000,111100000000000000000000000000,0,0,3,4,1,1,0,1,0,3,4
