vdd_v,tap_index,rvt_cross_s,lvt_cross_s,delta_signed_ps,xor_width_proxy_ps,lead_path
1.08,12,1.312637212e-09,1.168407707e-09,144.229505,144.229505,LVT
1.08,13,1.33274882e-09,1.181571841e-09,151.176979,151.176979,LVT
1.08,14,1.352821511e-09,1.194705864e-09,158.115647,158.115647,LVT
1.08,15,1.372905998e-09,1.207819208e-09,165.08679,165.08679,LVT
1.08,16,1.392953301e-09,1.220870781e-09,172.08252,172.08252,LVT
1.08,17,1.413059623e-09,1.234023132e-09,179.036491,179.036491,LVT
1.08,18,1.433094378e-09,1.247118376e-09,185.976002,185.976002,LVT
1.08,19,1.453070481e-09,1.26023777e-09,192.832711,192.832711,LVT
1.08,20,1.473165426e-09,1.273337316e-09,199.82811,199.82811,LVT
1.08,21,1.4931938e-09,1.286471095e-09,206.722705,206.722705,LVT
1.08,22,1.513392259e-09,1.299624307e-09,213.767952,213.767952,LVT
1.08,23,1.533455971e-09,1.312706282e-09,220.749689,220.749689,LVT
1.08,24,1.553508446e-09,1.325814739e-09,227.693707,227.693707,LVT
1.08,25,1.57352684e-09,1.338954487e-09,234.572353,234.572353,LVT
1.08,26,1.593606638e-09,1.352139912e-09,241.466726,241.466726,LVT
1.08,27,1.613709233e-09,1.36524472e-09,248.464513,248.464513,LVT
1.08,28,1.633792592e-09,1.378371451e-09,255.421141,255.421141,LVT
1.08,29,1.652487858e-09,1.390204117e-09,262.283741,262.283741,LVT
1.07,0,1.072924712e-09,1.010950753e-09,61.973959,61.973959,LVT
1.07,1,1.093340568e-09,1.024271188e-09,69.06938,69.06938,LVT
1.07,2,1.113825957e-09,1.037622331e-09,76.203626,76.203626,LVT
1.07,3,1.134330479e-09,1.050990673e-09,83.339806,83.339806,LVT
1.07,4,1.154837346e-09,1.064352867e-09,90.484479,90.484479,LVT
1.07,5,1.175331244e-09,1.077699027e-09,97.632217,97.632217,LVT
1.07,6,1.195780146e-09,1.091034369e-09,104.745777,104.745777,LVT
1.07,7,1.216282196e-09,1.104376329e-09,111.905867,111.905867,LVT
1.07,8,1.236815723e-09,1.117705576e-09,119.110147,119.110147,LVT
1.07,9,1.257353121e-09,1.13102647e-09,126.326651,126.326651,LVT
1.07,10,1.277849596e-09,1.144384948e-09,133.464648,133.464648,LVT
1.07,11,1.298346363e-09,1.157721086e-09,140.625277,140.625277,LVT
1.07,12,1.318841561e-09,1.171037742e-09,147.803819,147.803819,LVT
1.07,13,1.339324346e-09,1.184356693e-09,154.967653,154.967653,LVT
1.07,14,1.359838999e-09,1.197677273e-09,162.161726,162.161726,LVT
1.07,15,1.380310582e-09,1.21105945e-09,169.251132,169.251132,LVT
1.07,16,1.400747045e-09,1.224407806e-09,176.339239,176.339239,LVT
1.07,17,1.421234144e-09,1.237666165e-09,183.567979,183.567979,LVT
1.07,18,1.441747099e-09,1.251045958e-09,190.701141,190.701141,LVT
1.07,19,1.462091186e-09,1.264419951e-09,197.671235,197.671235,LVT
1.07,20,1.482607441e-09,1.277682414e-09,204.925027,204.925027,LVT
1.07,21,1.503001081e-09,1.291033062e-09,211.968019,211.968019,LVT
1.07,22,1.523603034e-09,1.304228217e-09,219.374817,219.374817,LVT
1.07,23,1.544006559e-09,1.31762958e-09,226.376979,226.376979,LVT
1.07,24,1.564528897e-09,1.33097304e-09,233.555857,233.555857,LVT
1.07,25,1.585016853e-09,1.344299677e-09,240.717176,240.717176,LVT
1.07,26,1.605519624e-09,1.357657292e-09,247.862332,247.862332,LVT
1.07,27,1.626009105e-09,1.371003427e-09,255.005678,255.005678,LVT
1.07,28,1.646530588e-09,1.384297036e-09,262.233552,262.233552,LVT
1.07,29,1.665709901e-09,1.396282911e-09,269.42699,269.42699,LVT
1.06,0,1.074335714e-09,1.011079005e-09,63.256709,63.256709,LVT
1.06,1,1.095208302e-09,1.024607429e-09,70.600873,70.600873,LVT
1.06,2,1.116058725e-09,1.038175524e-09,77.883201,77.883201,LVT
1.06,3,1.137010612e-09,1.051755753e-09,85.254859,85.254859,LVT
1.06,4,1.157877372e-09,1.065332507e-09,92.544865,92.544865,LVT
1.06,5,1.17881903e-09,1.078890755e-09,99.928275,99.928275,LVT
1.06,6,1.1996957e-09,1.09243645e-09,107.25925,107.25925,LVT
1.06,7,1.220620902e-09,1.106003285e-09,114.617617,114.617617,LVT
1.06,8,1.241568575e-09,1.119553479e-09,122.015096,122.015096,LVT
1.06,9,1.26246051e-09,1.133099725e-09,129.360785,129.360785,LVT
1.06,10,1.283340606e-09,1.146676395e-09,136.664211,136.664211,LVT
1.06,11,1.304205781e-09,1.160210782e-09,143.994999,143.994999,LVT
1.06,12,1.325182381e-09,1.173725202e-09,151.457179,151.457179,LVT
1.06,13,1.34609475e-09,1.187208681e-09,158.886069,158.886069,LVT
1.06,14,1.367042894e-09,1.200737428e-09,166.305466,166.305466,LVT
1.06,15,1.387961537e-09,1.214316693e-09,173.644844,173.644844,LVT
1.06,16,1.408833229e-09,1.227854225e-09,180.979004,180.979004,LVT
1.06,17,1.4298289e-09,1.241365361e-09,188.463539,188.463539,LVT
1.06,18,1.450782678e-09,1.254950267e-09,195.832411,195.832411,LVT
1.06,19,1.471719499e-09,1.268466208e-09,203.253291,203.253291,LVT
1.06,20,1.492630315e-09,1.281929319e-09,210.700996,210.700996,LVT
1.06,21,1.513637064e-09,1.295513666e-09,218.123398,218.123398,LVT
1.06,22,1.534514013e-09,1.308990852e-09,225.523161,225.523161,LVT
1.06,23,1.555408249e-09,1.322595579e-09,232.81267,232.81267,LVT
1.06,24,1.57633799e-09,1.336130502e-09,240.207488,240.207488,LVT
1.06,25,1.597259062e-09,1.349690328e-09,247.568734,247.568734,LVT
1.06,26,1.618074958e-09,1.363247966e-09,254.826992,254.826992,LVT
1.06,27,1.638867951e-09,1.376789175e-09,262.078776,262.078776,LVT
1.06,28,1.659692352e-09,1.390281774e-09,269.410578,269.410578,LVT
1.06,29,1.67929996e-09,1.402564743e-09,276.735217,276.735217,LVT
1.05,0,1.075868526e-09,1.011240238e-09,64.628288,64.628288,LVT
