operation_index,probe_index,operation_type,M,F,q_read_v,q_read_late_v,q_state,expected_q_state,active_ck_edge_count,recovery_guard_s,recovery_ok,status
1,0,coarse_probe_a,0,0,1.099999663,1.0999996636,stable_high,stable_high,1,2.7e-09,True,PASS
2,1,coarse_probe_b,0,0,1.0999996643,1.0999996655,stable_high,stable_high,1,2.7e-09,True,PASS
4,2,coarse_probe_a,1,0,1.0999996651,1.0999996682,stable_high,stable_high,1,2.7e-09,True,PASS
5,3,coarse_probe_b,1,0,1.099999664,1.0999996645,stable_high,stable_high,1,2.7e-09,True,PASS
7,4,coarse_probe_a,2,0,1.0999996631,1.0999996617,stable_high,stable_high,1,2.7e-09,True,PASS
8,5,coarse_probe_b,2,0,1.0999996596,1.099999665,stable_high,stable_high,1,2.7e-09,True,PASS
10,6,coarse_probe_a,3,0,1.0999996973,1.0999996488,stable_high,stable_high,1,2.7e-09,True,PASS
11,7,coarse_probe_b,3,0,1.0999996627,1.0999996631,stable_high,stable_high,1,2.7e-09,True,PASS
13,8,coarse_probe_a,4,0,-7.06128687e-07,-7.086831263e-07,stable_low,stable_low,1,2.7e-09,True,PASS
14,9,coarse_probe_b,4,0,6.437410835e-08,2.652310382e-07,stable_low,stable_low,1,2.7e-09,True,PASS
17,10,fine_probe,2,0,1.0999996652,1.0999996666,stable_high,stable_high,1,2.7e-09,True,PASS
19,11,fine_probe,2,1,1.0999996677,1.0999996613,stable_high,stable_high,1,2.7e-09,True,PASS
21,12,fine_probe,2,2,1.0999996303,1.099999635,stable_high,stable_high,1,2.7e-09,True,PASS
23,13,fine_probe,2,3,1.0999996525,1.0999996561,stable_high,stable_high,1,2.7e-09,True,PASS
25,14,fine_probe,2,4,1.0999996867,1.0999996676,stable_high,stable_high,1,2.7e-09,True,PASS
27,15,fine_probe,2,5,1.0999996665,1.0999996642,stable_high,stable_high,1,2.7e-09,True,PASS
29,16,fine_probe,2,6,1.09999967,1.0999996546,stable_high,stable_high,1,2.7e-09,True,PASS
31,17,fine_probe,2,7,1.0999996412,1.0999996535,stable_high,stable_high,1,2.7e-09,True,PASS
33,18,fine_probe,2,8,1.47850821e-07,1.43730924e-07,stable_low,stable_low,1,2.7e-09,True,PASS
35,19,guard_probe,2,9,1.791299495e-07,1.60199334e-07,stable_low,stable_low,1,2.7e-09,True,PASS
36,20,lock_hold_probe,2,9,8.309349984e-08,1.193309224e-07,stable_low,stable_low,1,2.7e-09,True,PASS
