seed,mc_random_signature,M_REF_i,M_NORMAL_i,M_DROOP_i,DeltaM_NORMAL_i,DeltaM_DROOP_i,q_ff_normal,q_ff_droop,normal_q_ff_rail_resolved,droop_q_ff_rail_resolved,M_CAL_0,M_CAL_1,M_CAL_2,M_CAL_3
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,220,220,198,0,22,000011111111111000000000000000,000000111111111110000000000000,True,True,220,220,220,220
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,330,330,287,0,43,111111111111111000000000000000,001111111111111100000000000000,True,True,330,330,330,330
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,286,286,246,0,40,011111111111110000000000000000,000111111111111000000000000000,True,True,286,286,286,286
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,330,330,344,0,-14,111111111111111000000000000000,111111111111111100000000000000,True,True,330,330,330,330
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,330,330,300,0,30,111111111111111000000000000000,001111111111111110000000000000,True,True,330,330,330,330
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,171,171,162,0,9,000000111111111000000000000000,000000011111111100000000000000,True,True,171,171,171,171
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,330,330,300,0,30,111111111111111000000000000000,001111111111111110000000000000,True,True,330,330,330,330
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,301,301,260,0,41,011111111111111000000000000000,000111111111111100000000000000,True,True,301,301,301,301
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,330,330,328,0,2,111111111111111000000000000000,011111111111111110000000000000,True,True,330,330,330,330
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,330,330,315,0,15,111111111111111000000000000000,011111111111111100000000000000,True,True,330,330,330,330
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,315,315,287,0,28,111111111111110000000000000000,001111111111111100000000000000,True,True,315,315,315,315
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,273,273,273,0,0,001111111111111000000000000000,000111111111111110000000000000,True,True,273,273,273,273
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,273,273,234,0,39,000111111111111110000000000000,000001111111111111000000000000,True,True,273,273,273,273
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,330,330,357,0,-27,111111111111111000000000000000,111111111111111110000000000000,True,True,330,330,330,330
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,301,301,273,0,28,011111111111111000000000000000,000111111111111110000000000000,True,True,301,301,301,301
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,286,286,260,0,26,011111111111110000000000000000,000111111111111100000000000000,True,True,286,286,286,286
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,273,273,234,0,39,001111111111111000000000000000,000011111111111100000000000000,True,True,273,273,273,273
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,344,344,357,0,-13,111111111111111100000000000000,111111111111111110000000000000,True,True,344,344,344,344
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,330,330,287,0,43,111111111111111000000000000000,001111111111111100000000000000,True,True,330,330,330,330
