scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,Delta_D_ref_ps,Delta_R_ps
m0_probe__b0p95__v0p95__m04__f05__37bc95cde8661a02a023,0.95,0.95,4,5,2.02223944e-09,2.403537883e-09,2.372951916e-09,5.4086132e-09,381.298443,350.71247600000004,30.585966999999982,1.396336072e-07,2.637037183e-07,0,stable_low,1,1.9234728505263156e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f05__37bc95cde8661a02a023,dfdde26f2cb79ee1e047617632fa201e60aafc7209773e7577963396e550d64e,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-7.775226000000032,7.770482999999956
m0_probe__b0p95__v0p95__m04__f06__f634ed4930967cb98a2d,0.95,0.95,4,6,2.02223944e-09,2.403542626e-09,2.380727142e-09,5.416536645e-09,381.3031860000001,358.48770200000007,22.815484000000026,3.676478378e-08,-1.238317167e-08,0,stable_low,1,1.6080378536842106e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f06__f634ed4930967cb98a2d,c11f4596d04ffde34965481289078f4252c9e43af4185bea172c1e20bd888ede,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,0.0,0.0
m0_probe__b0p95__v0p95__m04__f07__4ccf674b0c52a3e3ae4e,0.95,0.95,4,7,2.02223944e-09,2.403545962e-09,2.38870946e-09,5.424528706e-09,381.3065220000003,366.4700200000004,14.836501999999939,1.843298909e-07,6.627481832e-08,0,stable_low,1,1.3296363789473684e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f07__4ccf674b0c52a3e3ae4e,a46305bef0f90ecb9167da6f06933539e0da8b040297672ddd0fc9cccf97368e,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,7.982318000000305,-7.978982000000087
m0_probe__b0p95__v0p95__m04__f08__323ba601d584d2a46afd,0.95,0.95,4,8,2.02223944e-09,2.403548404e-09,2.396831509e-09,5.43254265e-09,381.3089640000003,374.5920690000002,6.716895000000079,7.651022411e-08,-3.99685415e-09,0,stable_low,1,1.6639910989473684e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f08__323ba601d584d2a46afd,b20a3b0a240422f0aad7c35b7fcc17e5da97d8aeb686ab80232aa6c7c8568c3d,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,16.10436700000014,-16.098588999999947
m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,0.95,0.95,4,9,2.02223944e-09,2.403550248e-09,2.405032501e-09,5.440725397e-09,381.310808,382.7930610000002,-1.4822530000001848,-1.729146219e-07,-3.027015705e-07,0,stable_low,1,1.9509414557894736e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,69993a30cdc18a2708225921503060621edf01922f49635e2724b9346cb973d1,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,24.305359000000124,-24.29773700000021
m0_probe__b0p95__v0p95__m05__f03__e5cae9dc810e8a3db582,0.95,0.95,5,3,2.02223944e-09,2.403652364e-09,2.402321544e-09,5.437985287e-09,381.4129240000002,380.08210400000024,1.3308199999999601,-8.806967021e-08,-5.490603385e-07,0,stable_low,1,2.022004485263158e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f03__e5cae9dc810e8a3db582,2ec1b071eb638688909eae1b9fdb3511b499f12fea27e8101f4f275784175a01,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,21.594402000000173,-21.484664000000066
m0_probe__b0p95__v0p95__m05__f04__07a58c63ac92252acf89,0.95,0.95,5,4,2.02223944e-09,2.40365472e-09,2.409363729e-09,5.445029851e-09,381.41528000000017,387.1242890000004,-5.709009000000208,-6.312563574e-07,-5.544010257e-07,0,stable_low,1,2.2742384084210526e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f04__07a58c63ac92252acf89,70e76a437be8765115aaef226626e2bfe2b5d9d21a6cb3cd3b01b4b781ef2ad6,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,28.636587000000304,-28.524493000000234
m0_probe__b0p95__v0p95__m05__f05__f0aef984ef52c06e4e18,0.95,0.95,5,5,2.02223944e-09,2.403656362e-09,2.416782779e-09,5.452359437e-09,381.41692200000034,394.543339,-13.126416999999662,-2.565607276e-07,-1.035066913e-06,0,stable_low,1,1.997131308421053e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f05__f0aef984ef52c06e4e18,41241960ece63d25a3c401687c72c8a5357d881f149254d1c4824a6ef3ef97b6,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,36.05563699999993,-35.94190099999969
m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,0.95,0.95,5,6,2.02223944e-09,2.403657567e-09,2.424512925e-09,5.46000342e-09,381.41812700000025,402.2734850000002,-20.855357999999967,2.122490955e-07,-4.817658767e-07,0,stable_low,1,2.745143234736842e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,6752adf242e4a3ca18e656ed93657925f5714c3243336e7b2309cfdb094ff256,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,43.78578300000015,-43.67084199999999
m0_probe__b0p95__v0p95__m05__f07__7ac712dd34f0d7af40f9,0.95,0.95,5,7,2.02223944e-09,2.403658493e-09,2.432480237e-09,5.467992403e-09,381.41905300000025,410.24079700000027,-28.821744000000024,2.766251541e-08,-4.878406729e-07,0,stable_low,1,3.0486492063157895e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f07__7ac712dd34f0d7af40f9,01730920f0617356054cf48061ed4b979b6abb36f1f15b77a302fffcea93ca0b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,51.7530950000002,-51.63722800000005
m0_probe__b0p95__v0p95__m05__f08__248bbc83eb36fa40e66a,0.95,0.95,5,8,2.02223944e-09,2.403659227e-09,2.440598857e-09,5.476108843e-09,381.41978700000016,418.35941700000006,-36.93962999999991,-2.443411012e-07,-1.586395252e-07,0,stable_low,1,2.779345094736842e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f08__248bbc83eb36fa40e66a,eaf10a86d2bdbc2b9fea98f7ed5f7553d0e0a5555bea8feba9a1e673c897c23b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,59.871714999999995,-59.755113999999935
m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,0.95,0.95,5,9,2.02223944e-09,2.403659815e-09,2.448830271e-09,5.484321565e-09,381.42037500000026,426.5908310000002,-45.170455999999945,-4.75975775e-07,3.883881569e-08,0,stable_low,1,2.085702907368421e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,fec0d4952b5b6396feb5bdbfcbe35433aa65af78f29783abf8714eb4eb20a62a,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,68.10312900000014,-67.98593999999997
m0_probe__b1p10__v1p10__m01__f06__bb4181e4d0dd953aaa79,1.1,1.1,1,6,1.896564865e-09,2.136039827e-09,2.077588146e-09,5.100561143e-09,239.47496199999986,181.02328100000014,58.451680999999724,1.0999996648,1.0999996647,1,stable_high,1,1.8114008218181818e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m01__f06__bb4181e4d0dd953aaa79,7b47ac49b64d26420ee99fb5c10dafa8d4ebc83182b38787cb2ed2414d2645b4,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-54.28057099999995,54.29607599999986
m0_probe__b1p10__v1p10__m01__f07__bc0f79b3f28f0b01126b,1.1,1.1,1,7,1.896564865e-09,2.136042402e-09,2.084581943e-09,5.107804167e-09,239.47753699999984,188.01707799999986,51.460458999999986,1.0999996656,1.0999996669,1,stable_high,1,2.1402835281818178e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m01__f07__bc0f79b3f28f0b01126b,0c9c07e071a522635915076e9cebaa303a8a74738ee446ac11916c6d94d24e0c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-47.286774000000236,47.30485400000012
m0_probe__b1p10__v1p10__m01__f08__7c86bd79694d0bb52a12,1.1,1.1,1,8,1.896564865e-09,2.136038872e-09,2.091632363e-09,5.114799755e-09,239.47400700000006,195.06749799999997,44.406509000000085,1.0999996663,1.0999996667,1,stable_high,1,1.7854979045454544e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m01__f08__7c86bd79694d0bb52a12,e998d9d458a8c298263d126b3d412f77bdd74079bb6eed30390215a571b3b48d,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-40.23635400000012,40.25090400000022
m0_probe__b1p10__v1p10__m01__f09__51374369ff88bce32609,1.1,1.1,1,9,1.896564865e-09,2.136034714e-09,2.0987203e-09,5.12182653e-09,239.469849,202.1554350000001,37.314413999999914,1.0999996646,1.0999996661,1,stable_high,1,2.2477083027272726e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m01__f09__51374369ff88bce32609,c92dcae172afec0df0f0718f9104be31a0b807eda16e917a6c171db51161f779,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-33.148416999999995,33.15880900000005
m0_probe__b1p10__v1p10__m01__f10__8e33e27cd1f46e2813a6,1.1,1.1,1,10,1.896564865e-09,2.13603215e-09,2.105836774e-09,5.128881856e-09,239.467285,209.27190899999994,30.195376000000067,1.0999996634,1.0999996647,1,stable_high,1,2.502603159090909e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m01__f10__8e33e27cd1f46e2813a6,3c11056c6d71447dfce476ec647dc45db3abefc7d4568c2ca4927a952ecf80e1,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-26.031943000000155,26.0397710000002
m0_probe__b1p10__v1p10__m02__f06__07e823d9b246a59c91c2,1.1,1.1,2,6,1.896564865e-09,2.136025241e-09,2.110733674e-09,5.133643601e-09,239.4603760000002,214.16880900000004,25.291567000000157,1.0999996171,1.0999996145,1,stable_high,1,2.0191542727272725e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f06__07e823d9b246a59c91c2,2994164fa14a944cec6ad3502ca08065ce87a88dc805c32f863617b6abf49f8b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-21.135043000000053,21.13596200000029
m0_probe__b1p10__v1p10__m02__f07__ba7e666c322a4a87fc70,1.1,1.1,2,7,1.896564865e-09,2.136023601e-09,2.117729061e-09,5.140482312e-09,239.4587359999999,221.164196,18.2945399999999,1.0999997382,1.0999996145,1,stable_high,1,2.2037400209090905e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f07__ba7e666c322a4a87fc70,f5648192573250c623b4d946614f576bb619c854e8a57dbd4c8e4f11e727d589,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-14.139656000000087,14.138935000000032
m0_probe__b1p10__v1p10__m02__f08__2e9bf982a3998d97c722,1.1,1.1,2,8,1.896564865e-09,2.136023618e-09,2.124779876e-09,5.147583603e-09,239.45875299999997,228.21501099999992,11.243742000000054,1.185716319e-07,2.249247518e-07,0,stable_low,1,2.3871755654545454e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f08__2e9bf982a3998d97c722,67870ab01148ff5a9e19f65bccc33b9267ad30f714b48f59975d376623f68564,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-7.088841000000173,7.088137000000188
m0_probe__b1p10__v1p10__m02__f09__274b8794097df4af5965,1.1,1.1,2,9,1.896564865e-09,2.136024322e-09,2.131868717e-09,5.154739354e-09,239.45945699999996,235.3038520000001,4.155604999999866,1.445564225e-07,1.442346307e-07,0,stable_low,1,2.213062195454545e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f09__274b8794097df4af5965,cb510303b652795aa681805203da11dfcf0166ae4fa38da9d6310bc6d4c739ac,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,0.0,0.0
m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,1.1,1.1,2,10,1.896564865e-09,2.13602518e-09,2.138980399e-09,5.161868858e-09,239.46031500000018,242.415534,-2.955218999999829,1.109787209e-07,1.3438539e-07,0,stable_low,1,2.915727718181818e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,6eec423619479ffa8a0df1ad4db5f9d0254149b3f2b32917562462f819d2fa9b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,7.111681999999917,-7.110823999999695
m0_probe__b1p10__v1p10__m03__f06__0036127275397508c080,1.1,1.1,3,6,1.896564865e-09,2.136045892e-09,2.143670166e-09,5.166879897e-09,239.4810269999999,247.10530099999988,-7.624273999999986,-1.167151053e-06,-1.161615983e-06,0,stable_low,1,1.7321816854545453e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f06__0036127275397508c080,f13560dea63a89898b68e17460071cb5fa4036c77a0a6df3507b376ddbbde6f0,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,11.801448999999792,-11.779878999999852
m0_probe__b1p10__v1p10__m03__f07__8ff16ee89b2d0e2e970d,1.1,1.1,3,7,1.896564865e-09,2.136047218e-09,2.150631488e-09,5.173741498e-09,239.48235300000005,254.066623,-14.584269999999947,-1.820638425e-07,-1.840359672e-07,0,stable_low,1,2.0208045554545453e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f07__8ff16ee89b2d0e2e970d,d8660e5e66340eb581ba1356f562c9d3b32cded48b1609553d15f661cefb9c28,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,18.7627709999999,-18.739874999999813
m0_probe__b1p10__v1p10__m03__f08__3d4c6e61ae61d8fa30d1,1.1,1.1,3,8,1.896564865e-09,2.1360482e-09,2.157671645e-09,5.180798665e-09,239.48333500000015,261.10677999999984,-21.62344499999969,4.935793211e-08,4.99135898e-08,0,stable_low,1,1.846061439090909e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f08__3d4c6e61ae61d8fa30d1,18c426611c00ce4868e950d8fa64a03f2fcb63450b71b9b558599dc5c1554e88,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,25.802927999999753,-25.779049999999557
m0_probe__b1p10__v1p10__m03__f09__daba31837ad4c50c6a09,1.1,1.1,3,9,1.896564865e-09,2.136048936e-09,2.164772128e-09,5.188190601e-09,239.48407099999997,268.20726300000007,-28.723192000000097,-1.912910237e-06,7.287655975e-07,0,stable_low,1,2.297496445454545e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f09__daba31837ad4c50c6a09,922a5e5319ee1d6b6fa464c4663939a2e240c9d48ee6e70af61eb48634122949,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,32.90341099999998,-32.87879699999996
m0_probe__b1p10__v1p10__m03__f10__ab94cf51af4fc10777d8,1.1,1.1,3,10,1.896564865e-09,2.136049511e-09,2.17191501e-09,5.194857561e-09,239.48464600000014,275.350145,-35.86549899999986,-8.043631789e-07,-8.107009822e-07,0,stable_low,1,3.231216297272727e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f10__ab94cf51af4fc10777d8,a9098d1c555da2aa3869c1d520895104c39f1a41b25b87e71c868c08da4e3557,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,40.046292999999906,-40.021103999999724
