scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,Delta_D_ref_ps,Delta_R_ps
m0_probe__b0p80__v0p80__m07__f06__f45f1ca259eec5ded99a,0.8,0.8,7,6,2.291693126e-09,3.076721115e-09,3.016804566e-09,6.083020835e-09,785.0279889999999,725.11144,59.91654899999992,9.393407874e-07,-1.990963845e-06,0,stable_low,1,0.004789073014999999,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f06__f45f1ca259eec5ded99a,b518b10e2afb540bc8995feff188c4284951b487ae28d4ba45689326f80fabeb,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,0.0,0.0
m0_probe__b0p80__v0p80__m07__f07__fbe0fec2be7ff4fe6a8e,0.8,0.8,7,7,2.291693233e-09,3.076726452e-09,3.025559293e-09,6.091729481e-09,785.0332189999998,733.86606,51.167158999999856,8.651697822e-07,-1.059971644e-05,0,stable_low,1,0.006788339294999999,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f07__fbe0fec2be7ff4fe6a8e,7e6019cb6b6c007fffb32c01a0994f893a4326efd2ed135daed6e4db10853d5c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,8.754619999999932,-8.749390000000062
m0_probe__b0p80__v0p80__m07__f08__d74344112b1128d879e9,0.8,0.8,7,8,2.29169318e-09,3.076730437e-09,3.034922512e-09,6.101106758e-09,785.0372569999997,743.2293319999998,41.807924999999955,8.02233798e-07,-1.663881417e-05,0,stable_low,1,0.00976243387,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f08__d74344112b1128d879e9,b6c29dcadd9c866dcce3166b2557d5383f3ba9782c3b2ef52c94f7306798811c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,18.117891999999756,-18.108623999999963
m0_probe__b0p80__v0p80__m07__f09__a79067851729e3357a17,0.8,0.8,7,9,2.291693145e-09,3.076733328e-09,3.04475171e-09,6.110957995e-09,785.0401830000001,753.058565,31.981618000000026,7.451697015e-07,1.868387084e-05,0,stable_low,1,0.0135518921125,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f09__a79067851729e3357a17,01677e88cba2693ad92810a0f4c4d0d1ec6652b528de9b9eccd0b28d473d3c6b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,27.947125000000028,-27.934930999999892
m0_probe__b0p80__v0p80__m08__f03__7eb294a40cf2cd8dbda9,0.8,0.8,8,3,2.291693281e-09,3.076544665e-09,3.060851849e-09,6.12745817e-09,784.8513839999999,769.1585680000001,15.69281599999988,5.310962204e-07,2.668640516e-05,0,stable_low,1,0.012127480673749998,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f03__7eb294a40cf2cd8dbda9,6dc05e71b52ba34f7f935e6007a4ac3f4511cb98c85d64a01d56043dc6944b41,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,44.04712800000004,-44.22373300000004
m0_probe__b0p80__v0p80__m08__f04__a743cf5581e5899ed242,0.8,0.8,8,4,2.291693282e-09,3.076547645e-09,3.067856722e-09,6.134522109e-09,784.8543629999998,776.1634399999999,8.690922999999884,5.337060393e-07,-2.24480392e-05,0,stable_low,1,0.01806075055,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f04__a743cf5581e5899ed242,56cffbb8d452861f76d730870d8c9a97c3ef212340c8c6fb540a0ee8d61cd142,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,51.05199999999991,-51.225626000000034
m0_probe__b0p80__v0p80__m08__f05__d71d51e5eeb6f0616703,0.8,0.8,8,5,2.291693216e-09,3.076551183e-09,3.075477565e-09,6.142291626e-09,784.8579669999999,783.7843489999999,1.0736180000000104,5.060628344e-07,-5.385270365e-05,0,stable_low,1,0.026828910875,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f05__d71d51e5eeb6f0616703,27a579fe1d7290b05665932729c4495d7b24be099c2672be0edd771f02e198a5,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,58.67290899999989,-58.84293099999991
m0_probe__b0p80__v0p80__m08__f06__af2deab34038e06d6521,0.8,0.8,8,6,2.291693126e-09,3.076554708e-09,3.083598486e-09,6.150049049e-09,784.861582,791.90536,-7.043777999999975,5.236417333e-07,-3.789485228e-05,0,stable_low,1,0.035829590862499996,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f06__af2deab34038e06d6521,f29dcae66e0d18e08f3aaf31e8767a61fa4ddc6c86b856c170a265242f6191ad,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,66.79391999999996,-66.9603269999999
m0_probe__b0p80__v0p80__m08__f07__7207269deeddef626ed8,0.8,0.8,8,7,2.291693233e-09,3.076553641e-09,3.092364991e-09,6.15881623e-09,784.8604079999998,800.671758,-15.811350000000175,5.298983248e-07,-2.496524216e-05,0,stable_low,1,0.047434375599999995,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f07__7207269deeddef626ed8,1fcb6357fcba7c10aeaca9940e1537e2d93def5534198de2746b66997b3eba57,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,75.56031799999994,-75.7278990000001
m0_probe__b0p80__v0p80__m08__f08__806c9dc39808a4ebc36c,0.8,0.8,8,8,2.29169318e-09,3.07655578e-09,3.101693178e-09,6.168153283e-09,784.8626000000002,809.999998,-25.13739799999985,5.236232519e-07,-1.433669146e-05,0,stable_low,1,0.0626706255125,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f08__806c9dc39808a4ebc36c,29cab26a04c41a45ff43df5e6edaa51859081634c119cbac9818b16c2a242afd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,84.88855799999999,-85.05394699999977
