scenario,probe_index,medium_code,fine_code,protocol_phase,q_state,reachable,selected_path,counterfactual_only,counterfactual_reason,formal_gate,electrical_valid,reason
0p80_normal,66,8,5,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,67,8,5,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,68,8,6,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,69,8,6,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,70,8,7,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,71,8,7,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,72,8,8,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,73,8,8,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,74,8,9,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,75,8,9,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,76,8,10,fine_m8_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,77,8,10,fine_m8_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,78,8,9,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,79,8,8,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,80,8,7,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,81,8,6,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,82,8,5,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,83,8,4,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,84,8,3,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,85,8,2,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,86,8,1,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,87,8,0,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p80_normal,88,9,0,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,89,9,0,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,90,9,1,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
