scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,legacy_evidence_status,legacy_evidence_reason,reason,counted_operation
0p80_normal,45,lock_hold_probe,7,7,6,6,lock_hold_probe,True,True,probe:0p80_normal:37,,,replayed_frozen_protocol,True
0p95_normal,0,initial_state,0,0,0,0,,True,False,,,,frozen_controller_initial_state,False
0p95_normal,1,coarse_probe_a,0,0,0,0,coarse_probe_a,True,True,probe:0p95_normal:0,,,replayed_frozen_protocol,True
0p95_normal,2,coarse_probe_b,0,0,0,0,coarse_probe_b,True,True,probe:0p95_normal:1,,,replayed_frozen_protocol,True
0p95_normal,3,coarse_increment,0,1,0,0,,True,True,transition:0p95_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,4,coarse_probe_a,1,1,0,0,coarse_probe_a,True,True,probe:0p95_normal:2,,,replayed_frozen_protocol,True
0p95_normal,5,coarse_probe_b,1,1,0,0,coarse_probe_b,True,True,probe:0p95_normal:3,,,replayed_frozen_protocol,True
0p95_normal,6,coarse_increment,1,2,0,0,,True,True,transition:0p95_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,7,coarse_probe_a,2,2,0,0,coarse_probe_a,True,True,probe:0p95_normal:4,,,replayed_frozen_protocol,True
0p95_normal,8,coarse_probe_b,2,2,0,0,coarse_probe_b,True,True,probe:0p95_normal:5,,,replayed_frozen_protocol,True
0p95_normal,9,coarse_increment,2,3,0,0,,True,True,transition:0p95_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,10,coarse_probe_a,3,3,0,0,coarse_probe_a,True,True,probe:0p95_normal:6,,,replayed_frozen_protocol,True
0p95_normal,11,coarse_probe_b,3,3,0,0,coarse_probe_b,True,True,probe:0p95_normal:7,,,replayed_frozen_protocol,True
0p95_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p95_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,13,coarse_probe_a,4,4,0,0,coarse_probe_a,True,True,probe:0p95_normal:8,,,replayed_frozen_protocol,True
0p95_normal,14,coarse_probe_b,4,4,0,0,coarse_probe_b,True,True,probe:0p95_normal:9,,,replayed_frozen_protocol,True
0p95_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p95_normal:coarse_increment:4:5:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,16,coarse_probe_a,5,5,0,0,coarse_probe_a,True,True,probe:0p95_normal:10,,,replayed_frozen_protocol,True
0p95_normal,17,coarse_probe_b,5,5,0,0,coarse_probe_b,True,True,probe:0p95_normal:11,,,replayed_frozen_protocol,True
0p95_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p95_normal:coarse_increment:5:6:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,19,coarse_probe_a,6,6,0,0,coarse_probe_a,True,True,probe:0p95_normal:12,,,replayed_frozen_protocol,True
0p95_normal,20,coarse_probe_b,6,6,0,0,coarse_probe_b,True,True,probe:0p95_normal:13,,,replayed_frozen_protocol,True
0p95_normal,21,coarse_backoff_step_1,6,5,0,0,,True,True,transition:0p95_normal:coarse_backoff_step:6:5:0:0,PASS,,replayed_frozen_protocol,True
0p95_normal,22,coarse_backoff_step_2,5,4,0,0,,True,True,,REQUIRES_EXACT_PATH_HSPICE,no_legacy_row_with_matching_complete_transition_identity,replayed_frozen_protocol,True
0p95_normal,23,fine_probe,4,4,0,0,fine_probe,True,True,probe:0p95_normal:18,,,replayed_frozen_protocol,True
0p95_normal,24,fine_increment,4,4,0,1,,True,True,transition:0p95_normal:fine_increment:4:4:0:1,PASS,,replayed_frozen_protocol,True
0p95_normal,25,fine_probe,4,4,1,1,fine_probe,True,True,probe:0p95_normal:20,,,replayed_frozen_protocol,True
0p95_normal,26,fine_increment,4,4,1,2,,True,True,transition:0p95_normal:fine_increment:4:4:1:2,PASS,,replayed_frozen_protocol,True
0p95_normal,27,fine_probe,4,4,2,2,fine_probe,True,True,probe:0p95_normal:22,,,replayed_frozen_protocol,True
0p95_normal,28,fine_increment,4,4,2,3,,True,True,transition:0p95_normal:fine_increment:4:4:2:3,PASS,,replayed_frozen_protocol,True
0p95_normal,29,fine_probe,4,4,3,3,fine_probe,True,True,probe:0p95_normal:24,,,replayed_frozen_protocol,True
0p95_normal,30,fine_increment,4,4,3,4,,True,True,transition:0p95_normal:fine_increment:4:4:3:4,PASS,,replayed_frozen_protocol,True
0p95_normal,31,fine_probe,4,4,4,4,fine_probe,True,True,probe:0p95_normal:26,,,replayed_frozen_protocol,True
