episode_id,transition_index,old_M,new_M,update_time_s,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
E02,37,3,4,4.015e-08,4.016e-08,4.168999999999999e-08,8.245770834e-07,0.0001188508502,3.128702845e-07,0,PASS,
E02,38,4,5,4.016e-08,4.0169999999999995e-08,4.168999999999999e-08,8.245770834e-07,5.621541854e-05,3.128702845e-07,0,PASS,
E02,39,5,6,4.0169999999999995e-08,4.017999999999999e-08,4.168999999999999e-08,8.245770834e-07,2.707353532e-05,3.128702845e-07,0,PASS,
E02,40,6,7,4.017999999999999e-08,4.018999999999999e-08,4.168999999999999e-08,8.245770834e-07,1.321846537e-05,3.128702845e-07,0,PASS,
E02,41,7,8,4.018999999999999e-08,4.019999999999999e-08,4.168999999999999e-08,8.245770834e-07,6.665593068e-06,3.128702845e-07,0,PASS,
E02,42,8,7,5.5089999999999986e-08,5.5099999999999984e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,43,7,6,5.5099999999999984e-08,5.510999999999998e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,44,6,5,5.510999999999998e-08,5.511999999999998e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,45,5,4,5.511999999999998e-08,5.512999999999998e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,46,4,3,5.512999999999998e-08,5.5139999999999976e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,47,3,2,5.5139999999999976e-08,5.5149999999999974e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,48,2,1,5.5149999999999974e-08,5.515999999999997e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
E02,49,1,0,5.515999999999997e-08,5.516999999999997e-08,6.172999999999996e-08,3.102893539e-05,0.003580606165,6.458958032e-06,0,PASS,
