episode_id,condition,probe_index,node,rise50_s,fall50_s,quiet_max_v,quiet_min_v,valid,reason
E02,pred8_arm_0p0ns_pad_0p0ns,5,s,5.142284778e-08,5.190234554e-08,0.8209699226,-0.02228696842,1,
E02,pred8_arm_0p0ns_pad_0p0ns,5,ns,5.193340937e-08,5.149434594e-08,0.8148055413,-0.001852594371,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,nclk,6.459051011e-08,6.380885247e-08,0.8138172274,-0.01352187791,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,bclk,6.384364623e-08,6.462437528e-08,0.8296188148,-0.02973240314,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,nd,6.384545252e-08,6.307564343e-08,0.8262559008,-0.05162508386,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,nm,6.465131644e-08,6.30972212e-08,0.8239062486,-0.0252554522,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,m,6.314561274e-08,6.469110337e-08,0.8137693843,-0.02766630667,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,s,6.38695775e-08,6.474374038e-08,0.8263360109,-0.02536717906,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,6,ns,6.477558248e-08,6.391382043e-08,0.8318975885,-0.001738974022,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,nclk,7.236366378e-08,7.158243717e-08,0.8138686017,-0.009800500348,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,bclk,7.16153596e-08,7.239962978e-08,0.8285624353,-0.007658744779,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,nd,7.155191662e-08,7.077577087e-08,0.8264384949,-0.03217538106,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,nm,7.158768813e-08,7.079730768e-08,0.8232996661,-0.03072752703,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,m,7.084573392e-08,7.244227687e-08,0.8703349164,-0.02706643454,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,s,7.195910725e-08,7.24422453e-08,0.8274717643,-0.02075892613,1,
E03,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,ns,7.247323582e-08,7.203050611e-08,0.8148200383,-0.001205140671,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,nclk,8.529750352e-08,8.450598698e-08,0.8634689585,-0.01401292188,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,bclk,8.454107437e-08,8.533344149e-08,0.8391123083,-0.03800877829,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,nd,8.441476737e-08,8.363566056e-08,0.8264913371,-0.02717019719,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,nm,8.443551546e-08,8.365723905e-08,0.8432399794,-0.02594723757,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,m,8.370560494e-08,8.44780134e-08,0.8245270034,-0.02776922768,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,s,9.24371975e-08,9.300222433e-08,0.03218522129,-0.03693458906,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,8,ns,9.303329591e-08,9.250534785e-08,0.8059719554,0.7991811139,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,nclk,9.292259836e-08,9.214172479e-08,0.8138773378,-0.01401350371,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,bclk,9.217462181e-08,9.295781783e-08,0.833888561,-0.007649417462,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,nd,9.211175047e-08,9.133593896e-08,0.8264438245,-0.03229246491,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,nm,9.21474844e-08,9.135748386e-08,0.8239538825,-0.03081353081,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,m,9.14058893e-08,9.300167992e-08,0.8734793764,-0.02750196642,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,s,9.24371975e-08,9.300222433e-08,0.8290842358,-0.01974369196,1,
E04,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,ns,9.303329591e-08,9.250534785e-08,0.8151899371,-0.001750370304,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,nclk,1.057734906e-07,1.049916434e-07,0.8136839552,-0.01408166477,1,
