scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,7,coarse_repeat,3,0,dff_ck,6.902999999999999e-08,7.022466124e-08,7.106023727e-08,2030.237270000009,7.723541696e-08,False,2.649717729e-06,2.649717729e-06,1.298400357e-06,1,
recovery_v4_diagnostic_0p80,8,coarse_scan,4,0,xor_29,7.903999999999999e-08,7.986373225e-08,8.062811509e-08,1588.1150900000112,8.530584144e-08,False,-2.004829877e-07,-2.004829877e-07,-3.516013308e-07,1,
recovery_v4_diagnostic_0p80,8,coarse_scan,4,0,medium_out,7.903999999999999e-08,8.025487015e-08,8.097739293e-08,1937.392930000015,8.568861274e-08,False,8.565145581e-07,8.565145581e-07,8.137887781e-07,1,
recovery_v4_diagnostic_0p80,8,coarse_scan,4,0,dff_ck,7.903999999999999e-08,8.030144946e-08,8.114320203e-08,2103.2020300000086,8.573510627e-08,False,-3.400180029e-06,-2.167517795e-06,-3.400180029e-06,1,
recovery_v4_diagnostic_0p80,9,coarse_repeat,4,0,xor_29,8.753999999999999e-08,8.836311772e-08,8.91277466e-08,1587.7466000000159,9.531598147e-08,False,-1.030553517e-06,-1.004739116e-06,-1.030553517e-06,1,
recovery_v4_diagnostic_0p80,9,coarse_repeat,4,0,medium_out,8.753999999999999e-08,8.87541964e-08,8.947808879e-08,1938.0887900000107,9.576552469e-08,False,8.435316557e-07,8.435316557e-07,8.113485024e-07,1,
recovery_v4_diagnostic_0p80,9,coarse_repeat,4,0,dff_ck,8.753999999999999e-08,8.880080644e-08,8.964334439e-08,2103.344390000008,9.581227474e-08,False,-1.662869886e-06,-1.084616458e-06,-1.662869886e-06,1,
recovery_v4_diagnostic_0p80,10,coarse_scan,5,0,xor_29,9.754999999999998e-08,9.837406051e-08,9.913806078e-08,1588.0607800000105,1.038157279e-07,False,-1.966755233e-06,-1.966755233e-06,-2.845959308e-06,1,
recovery_v4_diagnostic_0p80,10,coarse_scan,5,0,medium_out,9.754999999999998e-08,9.883190313e-08,9.956226672e-08,2012.2667200000185,1.042653683e-07,False,9.061538905e-07,9.061538905e-07,8.517078614e-07,1,
recovery_v4_diagnostic_0p80,10,coarse_scan,5,0,dff_ck,9.754999999999998e-08,9.887842357e-08,9.972844981e-08,2178.4498100000137,1.043119826e-07,False,4.232892517e-06,4.232892517e-06,-2.706461077e-06,1,
