probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.799999659,0.7999996776,3.517409359e-09,1.358357967e-08,True,1.001e-08,1.25e-08,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,0.7999996606,0.7999996786,2.101687273e-08,3.108426681e-08,True,2.7510000000000003e-08,3.0000000000000004e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,0.7999996551,0.7999996773,4.108441714e-08,5.115136969e-08,True,4.751e-08,5e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,0.7999996548,0.7999996805,5.858430649e-08,6.865160469e-08,True,6.501e-08,6.75e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996962,0.7999996815,7.865102523e-08,8.87174446e-08,True,8.501e-08,8.75e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996451,0.7999996703,9.615102082e-08,1.06217473e-07,True,1.0251e-07,1.05e-07,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,0.7999993872,0.7999992116,1.162178389e-07,1.262851362e-07,True,1.2251e-07,1.25e-07,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,0.799999622,0.7999996669,1.337175242e-07,1.437842125e-07,True,1.4001000000000002e-07,1.425e-07,True,True,True,PASS
8,4,0,STABLE_HIGH,STABLE_HIGH,0.7999995271,0.7999996336,1.537848792e-07,1.638518455e-07,True,1.6001000000000001e-07,1.625e-07,True,True,True,PASS
9,4,0,STABLE_HIGH,STABLE_HIGH,0.7999996454,0.7999996782,1.712848694e-07,1.813518461e-07,True,1.7751e-07,1.8e-07,True,True,True,PASS
10,5,0,STABLE_HIGH,STABLE_HIGH,0.7999994752,0.7999996936,1.913515141e-07,2.014183753e-07,True,1.9751000000000003e-07,2e-07,True,True,True,PASS
11,5,0,STABLE_HIGH,STABLE_HIGH,0.7999991963,0.7999996376,2.088520422e-07,2.189179531e-07,True,2.1501000000000002e-07,2.175e-07,True,True,True,PASS
12,6,0,STABLE_HIGH,STABLE_HIGH,0.7999986756,0.7999994483,2.28918153e-07,2.389865541e-07,True,2.3501e-07,2.375e-07,True,True,True,PASS
13,6,0,STABLE_HIGH,STABLE_HIGH,0.7999986049,0.799999684,2.464186749e-07,2.564849096e-07,True,2.5251000000000003e-07,2.55e-07,True,True,True,PASS
14,7,0,STABLE_HIGH,STABLE_HIGH,0.7999777273,0.799999673,2.664857517e-07,2.765526979e-07,True,2.7251e-07,2.75e-07,True,True,True,PASS
15,7,0,STABLE_HIGH,STABLE_HIGH,0.79998848,0.7999996656,2.839852294e-07,2.940524098e-07,True,2.9001000000000004e-07,2.925e-07,True,True,True,PASS
16,8,0,STABLE_HIGH,STABLE_HIGH,0.8001229649,0.7999995624,3.040529923e-07,3.141194412e-07,True,3.1001e-07,3.125e-07,True,True,True,PASS
17,8,0,STABLE_HIGH,STABLE_HIGH,0.800119327,0.7999995428,3.215531437e-07,3.316194611e-07,True,3.2751e-07,3.3e-07,True,True,True,PASS
18,9,0,STABLE_LOW,STABLE_LOW,-1.376265739e-06,1.257285414e-07,3.416201283e-07,3.516872146e-07,True,3.4751e-07,3.5e-07,True,True,True,PASS
19,9,0,STABLE_LOW,STABLE_LOW,3.025210388e-07,6.0250829e-07,3.591194643e-07,3.691870295e-07,True,3.6501e-07,3.6750000000000003e-07,True,True,True,PASS
20,7,0,STABLE_HIGH,STABLE_HIGH,0.7999894651,0.7999996806,3.814860762e-07,3.915526035e-07,True,3.8751e-07,3.9e-07,True,True,True,PASS
21,7,1,STABLE_HIGH,STABLE_HIGH,0.7999813336,0.7999995471,4.014913932e-07,4.115583494e-07,True,4.0751000000000003e-07,4.1e-07,True,True,True,PASS
22,7,2,STABLE_HIGH,STABLE_HIGH,0.799979733,0.7999996782,4.21497405e-07,4.315641833e-07,True,4.2751e-07,4.3e-07,True,True,True,PASS
23,7,3,STABLE_HIGH,STABLE_HIGH,0.7999924078,0.7999997622,4.415045547e-07,4.515702553e-07,True,4.4751e-07,4.5000000000000003e-07,True,True,True,PASS
24,7,4,STABLE_HIGH,STABLE_HIGH,0.7999914846,0.7999994481,4.6151102e-07,4.71577498e-07,True,4.6751000000000004e-07,4.7e-07,True,True,True,PASS
25,7,5,STABLE_LOW,STABLE_LOW,1.065987957e-06,-1.351815447e-07,4.815188825e-07,4.915863831e-07,True,4.8751e-07,4.9e-07,True,True,True,PASS
26,7,6,STABLE_LOW,STABLE_LOW,-9.776757015e-06,1.408630451e-07,5.015267532e-07,5.115944772e-07,True,5.0751e-07,5.1e-07,True,True,True,PASS
27,7,6,STABLE_LOW,STABLE_LOW,-9.180185636e-06,3.25402939e-07,5.190270654e-07,5.290933454e-07,True,5.2501e-07,5.275e-07,True,True,True,PASS
