episode_id,group,condition,probe_index,node,rise10_s,rise50_s,fall10_s,fall50_s,quiet_peak_v,valid
B2,B,m9_to_m8_2p7,5,x10,6.16417835e-08,6.16487594e-08,6.246133249e-08,6.245367053e-08,0.8402539011,1
B2,B,m9_to_m8_2p7,5,my6,6.180576319e-08,6.181440488e-08,6.264331713e-08,6.26343885e-08,0.8250781866,1
B2,B,m9_to_m8_2p7,5,my7,6.176452279e-08,6.177331529e-08,6.259786793e-08,6.258889234e-08,0.8249966752,1
B2,B,m9_to_m8_2p7,5,my8,6.172336043e-08,6.173222775e-08,6.255269659e-08,6.254326252e-08,0.8251008118,1
B2,B,m9_to_m8_2p7,5,my9,6.168214834e-08,6.16909937e-08,6.250684818e-08,6.249764459e-08,0.82641423,1
B2,B,m9_to_m8_2p7,5,medium_out,6.205263679e-08,6.206115686e-08,6.29176837e-08,6.290718405e-08,0.8241132399,1
B2,B,m9_to_m8_2p7,6,x7,6.926498114e-08,6.927193063e-08,7.007812399e-08,7.007038123e-08,0.8390589726,1
B2,B,m9_to_m8_2p7,6,x8,6.929066326e-08,6.929775692e-08,7.01060077e-08,7.009814431e-08,0.8358401031,1
B2,B,m9_to_m8_2p7,6,x9,6.931659144e-08,6.932375634e-08,7.013324161e-08,7.012559405e-08,0.8401795676,1
B2,B,m9_to_m8_2p7,6,x10,6.934220195e-08,6.934914193e-08,7.016092578e-08,7.015321681e-08,0.8385862438,1
B2,B,m9_to_m8_2p7,6,my6,6.943924225e-08,6.94479805e-08,7.026979175e-08,7.026081222e-08,0.8249998631,1
B2,B,m9_to_m8_2p7,6,my7,6.939802358e-08,6.94068453e-08,7.022461905e-08,7.02151825e-08,0.8251031646,1
B2,B,m9_to_m8_2p7,6,my8,6.935678553e-08,6.936576882e-08,7.017877002e-08,7.016956469e-08,0.8264164271,1
B2,B,m9_to_m8_2p7,6,my9,6.938238198e-08,6.939131137e-08,7.020664437e-08,7.019713157e-08,0.8264203265,1
B2,B,m9_to_m8_2p7,6,medium_out,6.968570252e-08,6.96943578e-08,7.054334804e-08,7.053419421e-08,0.8252817391,1
B3,B,m8_to_m8_2p7,7,x7,8.061514838e-08,8.062221169e-08,8.142820921e-08,8.141986882e-08,0.8442865474,1
B3,B,m8_to_m8_2p7,7,x8,8.064057389e-08,8.064791161e-08,8.145580933e-08,8.144777887e-08,0.8439010974,1
B3,B,m8_to_m8_2p7,7,x9,8.066654354e-08,8.067364829e-08,8.148369557e-08,8.147562618e-08,0.8436502688,1
B3,B,m8_to_m8_2p7,7,x10,8.069197654e-08,8.069913514e-08,8.151105689e-08,8.150348487e-08,0.8448166878,1
B3,B,m8_to_m8_2p7,7,my6,8.078933612e-08,8.079805945e-08,8.161981554e-08,8.161049895e-08,0.8250485994,1
B3,B,m8_to_m8_2p7,7,my7,8.074822796e-08,8.075687866e-08,8.157418491e-08,8.156510301e-08,0.8249102216,1
B3,B,m8_to_m8_2p7,7,my8,8.070694115e-08,8.071572118e-08,8.152865902e-08,8.151956799e-08,0.8263847082,1
B3,B,m8_to_m8_2p7,7,my9,8.073230251e-08,8.074125138e-08,8.155722301e-08,8.154714152e-08,0.8264483206,1
B3,B,m8_to_m8_2p7,7,medium_out,8.10359096e-08,8.104457189e-08,8.189447948e-08,8.188480972e-08,0.8240911628,1
B3,B,m8_to_m8_2p7,8,x7,8.830504621e-08,8.831208348e-08,8.911801681e-08,8.910991884e-08,0.8443207413,1
B3,B,m8_to_m8_2p7,8,x8,8.833074342e-08,8.833786805e-08,8.914595323e-08,8.913766979e-08,0.8440685731,1
B3,B,m8_to_m8_2p7,8,x9,8.835662174e-08,8.836386975e-08,8.917305603e-08,8.91655246e-08,0.8437234836,1
B3,B,m8_to_m8_2p7,8,x10,8.838216783e-08,8.838924744e-08,8.920141618e-08,8.919328471e-08,0.8357987626,1
B3,B,m8_to_m8_2p7,8,my6,8.847930059e-08,8.848813271e-08,8.930998428e-08,8.930069282e-08,0.8253428225,1
B3,B,m8_to_m8_2p7,8,my7,8.843828467e-08,8.84471285e-08,8.926430808e-08,8.925502027e-08,0.8245342789,1
B3,B,m8_to_m8_2p7,8,my8,8.839692669e-08,8.84059097e-08,8.921847412e-08,8.920940567e-08,0.8265352157,1
B3,B,m8_to_m8_2p7,8,my9,8.842251159e-08,8.843136444e-08,8.924639415e-08,8.923693547e-08,0.8257936194,1
B3,B,m8_to_m8_2p7,8,medium_out,8.87258124e-08,8.873463131e-08,8.958369958e-08,8.957367121e-08,0.8253316746,1
C1,C,m7to_m8_guard_2p5ns,9,x7,9.964491164e-08,9.96519242e-08,1.0045896e-07,1.004511953e-07,0.8386060436,1
C1,C,m7to_m8_guard_2p5ns,9,x8,9.967047404e-08,9.967761629e-08,1.00486711e-07,1.004789981e-07,0.8353440252,1
C1,C,m7to_m8_guard_2p5ns,9,x9,9.969617117e-08,9.970324074e-08,1.005140686e-07,1.005061618e-07,0.8412375679,1
C1,C,m7to_m8_guard_2p5ns,9,x10,9.972140604e-08,9.972875938e-08,1.005415434e-07,1.00533952e-07,0.841877934,1
C1,C,m7to_m8_guard_2p5ns,9,my6,9.975230429e-08,9.976114943e-08,1.005778159e-07,1.00568245e-07,0.8250956731,1
C1,C,m7to_m8_guard_2p5ns,9,my7,9.97108948e-08,9.971997344e-08,1.005318179e-07,1.005226651e-07,0.826482432,1
C1,C,m7to_m8_guard_2p5ns,9,my8,9.973646031e-08,9.974531161e-08,1.005600244e-07,1.005501075e-07,0.8264292314,1
C1,C,m7to_m8_guard_2p5ns,9,my9,9.976192773e-08,9.977066489e-08,1.005873717e-07,1.005777325e-07,0.8265085675,1
C1,C,m7to_m8_guard_2p5ns,9,medium_out,9.999900322e-08,1.000075948e-07,1.008514789e-07,1.008420599e-07,0.8248622617,1
C1,C,m7to_m8_guard_2p5ns,10,x7,1.071455631e-07,1.071526861e-07,1.079573562e-07,1.079494124e-07,0.8438520059,1
C1,C,m7to_m8_guard_2p5ns,10,x8,1.07171248e-07,1.071784002e-07,1.079850468e-07,1.07977252e-07,0.8339982444,1
C1,C,m7to_m8_guard_2p5ns,10,x9,1.071966861e-07,1.072041592e-07,1.080128829e-07,1.080047544e-07,0.8393179404,1
C1,C,m7to_m8_guard_2p5ns,10,x10,1.072223593e-07,1.072295307e-07,1.080404309e-07,1.080324612e-07,0.8462616488,1
C1,C,m7to_m8_guard_2p5ns,10,my6,1.073197248e-07,1.073284482e-07,1.08148887e-07,1.08139639e-07,0.8252196865,1
C1,C,m7to_m8_guard_2p5ns,10,my7,1.072785897e-07,1.072872589e-07,1.081032976e-07,1.080939879e-07,0.825157176,1
C1,C,m7to_m8_guard_2p5ns,10,my8,1.072373005e-07,1.07246097e-07,1.080577483e-07,1.080486496e-07,0.8260911493,1
C1,C,m7to_m8_guard_2p5ns,10,my9,1.072626966e-07,1.072716306e-07,1.080859851e-07,1.080763042e-07,0.8265512589,1
C1,C,m7to_m8_guard_2p5ns,10,medium_out,1.075663725e-07,1.07575106e-07,1.084222208e-07,1.084129606e-07,0.8252300831,1
C2,C,m7to_m8_guard_2p7ns,11,x7,1.182851886e-07,1.182922762e-07,1.190989812e-07,1.190911182e-07,0.8358831092,1
C2,C,m7to_m8_guard_2p7ns,11,x8,1.183109474e-07,1.183180131e-07,1.191262154e-07,1.191185693e-07,0.8401734466,1
C2,C,m7to_m8_guard_2p7ns,11,x9,1.183364531e-07,1.183434885e-07,1.191539008e-07,1.191461916e-07,0.8385690334,1
C2,C,m7to_m8_guard_2p7ns,11,x10,1.183618475e-07,1.183689507e-07,1.191814319e-07,1.191740295e-07,0.841543727,1
C2,C,m7to_m8_guard_2p7ns,11,my6,1.183922373e-07,1.184011416e-07,1.192175943e-07,1.192081574e-07,0.8251035272,1
C2,C,m7to_m8_guard_2p7ns,11,my7,1.183511836e-07,1.183600419e-07,1.191716494e-07,1.191625396e-07,0.8264166985,1
C2,C,m7to_m8_guard_2p7ns,11,my8,1.18376812e-07,1.183856065e-07,1.191996179e-07,1.191901063e-07,0.8264205797,1
C2,C,m7to_m8_guard_2p7ns,11,my9,1.184023992e-07,1.184110649e-07,1.192271867e-07,1.192177181e-07,0.8259898876,1
C2,C,m7to_m8_guard_2p7ns,11,medium_out,1.18638769e-07,1.186476882e-07,1.194912768e-07,1.194816087e-07,0.823876285,1
C2,C,m7to_m8_guard_2p7ns,12,x7,1.259853636e-07,1.259924006e-07,1.267975771e-07,1.267893215e-07,0.8440521606,1
C2,C,m7to_m8_guard_2p7ns,12,x8,1.260111539e-07,1.260181749e-07,1.268255299e-07,1.268172917e-07,0.8452566754,1
C2,C,m7to_m8_guard_2p7ns,12,x9,1.260365995e-07,1.26044065e-07,1.268530503e-07,1.268450288e-07,0.8431172595,1
C2,C,m7to_m8_guard_2p7ns,12,x10,1.260623291e-07,1.260694165e-07,1.268804898e-07,1.268727787e-07,0.8448085124,1
C2,C,m7to_m8_guard_2p7ns,12,my6,1.26159508e-07,1.261682844e-07,1.269896167e-07,1.269803166e-07,0.8253933017,1
C2,C,m7to_m8_guard_2p7ns,12,my7,1.261182512e-07,1.261271391e-07,1.269439717e-07,1.269346461e-07,0.8251455631,1
C2,C,m7to_m8_guard_2p7ns,12,my8,1.260771049e-07,1.260860127e-07,1.268980825e-07,1.268889946e-07,0.826402517,1
C2,C,m7to_m8_guard_2p7ns,12,my9,1.261027922e-07,1.261115561e-07,1.269260967e-07,1.269165405e-07,0.826129399,1
C2,C,m7to_m8_guard_2p7ns,12,medium_out,1.2640571e-07,1.264145306e-07,1.272622118e-07,1.27253319e-07,0.8253697256,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,x7,1.373248032e-07,1.373319296e-07,1.381388758e-07,1.381310072e-07,0.8353572753,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,x8,1.373504324e-07,1.373577078e-07,1.381663811e-07,1.381584949e-07,0.8402595966,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,x9,1.373762509e-07,1.373833106e-07,1.381943118e-07,1.381861053e-07,0.8428559983,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,x10,1.374014823e-07,1.374085246e-07,1.382218128e-07,1.382139777e-07,0.8428718431,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,my6,1.374321743e-07,1.374410397e-07,1.382574548e-07,1.382479505e-07,0.8245292249,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,my7,1.373908825e-07,1.373999483e-07,1.382114164e-07,1.38202373e-07,0.8264866705,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,my8,1.374165545e-07,1.374252843e-07,1.382397693e-07,1.382300413e-07,0.8261392598,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,my9,1.374419244e-07,1.374506727e-07,1.382674087e-07,1.382577295e-07,0.8265835731,1
C3,C,m7to_m8_guard_3p3000000000000003ns,13,medium_out,1.376791005e-07,1.376875398e-07,1.385308717e-07,1.385212071e-07,0.8238287068,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,x7,1.45625065e-07,1.456322304e-07,1.464380302e-07,1.464297403e-07,0.8457851745,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,x8,1.456510086e-07,1.456580823e-07,1.464657964e-07,1.464576815e-07,0.8438218119,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,x9,1.456766596e-07,1.456838025e-07,1.464933672e-07,1.464855844e-07,0.8424036526,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,x10,1.45702229e-07,1.457093219e-07,1.465212321e-07,1.465131154e-07,0.8436103238,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,my6,1.457997473e-07,1.458083164e-07,1.466295411e-07,1.466203445e-07,0.82517796,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,my7,1.457585235e-07,1.457671927e-07,1.465839589e-07,1.465746818e-07,0.8249750296,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,my8,1.457170746e-07,1.457261023e-07,1.465382835e-07,1.465291319e-07,0.8261795186,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,my9,1.457425558e-07,1.457515309e-07,1.465664555e-07,1.465568506e-07,0.8262631255,1
C3,C,m7to_m8_guard_3p3000000000000003ns,14,medium_out,1.460457984e-07,1.460547125e-07,1.469042908e-07,1.468938371e-07,0.8239861022,1
C4,C,m9to_m8_guard_2p5ns,15,x7,1.575846498e-07,1.575916518e-07,1.583978479e-07,1.583900328e-07,0.8402638065,1
C4,C,m9to_m8_guard_2p5ns,15,x8,1.576100184e-07,1.57617277e-07,1.584256631e-07,1.584178595e-07,0.8376466731,1
C4,C,m9to_m8_guard_2p5ns,15,x9,1.576360336e-07,1.576431145e-07,1.584537311e-07,1.584459668e-07,0.8385854241,1
C4,C,m9to_m8_guard_2p5ns,15,x10,1.576617045e-07,1.576688142e-07,1.584814819e-07,1.584737692e-07,0.8353555038,1
C4,C,m9to_m8_guard_2p5ns,15,my6,1.578258021e-07,1.578344565e-07,1.586632462e-07,1.5865404e-07,0.8252490667,1
C4,C,m9to_m8_guard_2p5ns,15,my7,1.577844915e-07,1.577933189e-07,1.586177862e-07,1.586086281e-07,0.8252610819,1
C4,C,m9to_m8_guard_2p5ns,15,my8,1.57743468e-07,1.577523137e-07,1.585723442e-07,1.585630537e-07,0.8250787844,1
C4,C,m9to_m8_guard_2p5ns,15,my9,1.577021115e-07,1.577110701e-07,1.585269758e-07,1.585174259e-07,0.8263211421,1
C4,C,m9to_m8_guard_2p5ns,15,medium_out,1.580727799e-07,1.580812478e-07,1.589375486e-07,1.589274852e-07,0.8253042109,1
C4,C,m9to_m8_guard_2p5ns,16,x7,1.650854908e-07,1.650925195e-07,1.658982735e-07,1.658899987e-07,0.8433878204,1
C4,C,m9to_m8_guard_2p5ns,16,x8,1.651111722e-07,1.651182622e-07,1.659260404e-07,1.659179502e-07,0.844254648,1
C4,C,m9to_m8_guard_2p5ns,16,x9,1.651370719e-07,1.651441741e-07,1.659538602e-07,1.659457641e-07,0.8440915979,1
C4,C,m9to_m8_guard_2p5ns,16,x10,1.651624802e-07,1.651696097e-07,1.659812316e-07,1.659736499e-07,0.8447032988,1
C4,C,m9to_m8_guard_2p5ns,16,my6,1.65259803e-07,1.652685324e-07,1.660899487e-07,1.660806372e-07,0.8250585534,1
C4,C,m9to_m8_guard_2p5ns,16,my7,1.652187467e-07,1.652273771e-07,1.660443308e-07,1.660352399e-07,0.8249202279,1
C4,C,m9to_m8_guard_2p5ns,16,my8,1.651775001e-07,1.651862463e-07,1.659988046e-07,1.659897058e-07,0.8263140928,1
C4,C,m9to_m8_guard_2p5ns,16,my9,1.652028153e-07,1.652117777e-07,1.660273409e-07,1.660172541e-07,0.8263920295,1
C4,C,m9to_m8_guard_2p5ns,16,medium_out,1.655064675e-07,1.655150172e-07,1.663643442e-07,1.663546759e-07,0.8236841791,1
C5,C,m9to_m8_guard_2p7ns,17,x7,1.762448e-07,1.762518444e-07,1.770583417e-07,1.770502114e-07,0.8362261242,1
C5,C,m9to_m8_guard_2p7ns,17,x8,1.762706456e-07,1.762777253e-07,1.770855389e-07,1.770777247e-07,0.8425855587,1
C5,C,m9to_m8_guard_2p7ns,17,x9,1.762964845e-07,1.763035639e-07,1.771134895e-07,1.771055011e-07,0.83929397,1
C5,C,m9to_m8_guard_2p7ns,17,x10,1.763218466e-07,1.763292172e-07,1.771410357e-07,1.771331669e-07,0.8412349513,1
C5,C,m9to_m8_guard_2p7ns,17,my6,1.764859212e-07,1.764947124e-07,1.773229481e-07,1.773138611e-07,0.8249324701,1
C5,C,m9to_m8_guard_2p7ns,17,my7,1.764449557e-07,1.764537059e-07,1.772776571e-07,1.772683698e-07,0.8256159204,1
C5,C,m9to_m8_guard_2p7ns,17,my8,1.764037146e-07,1.764125424e-07,1.772322313e-07,1.77222686e-07,0.8247654644,1
C5,C,m9to_m8_guard_2p7ns,17,my9,1.763624342e-07,1.763712894e-07,1.771861901e-07,1.771771116e-07,0.8265798866,1
C5,C,m9to_m8_guard_2p7ns,17,medium_out,1.767330391e-07,1.767415828e-07,1.775961062e-07,1.775870041e-07,0.8240588807,1
C5,C,m9to_m8_guard_2p7ns,18,x7,1.839448695e-07,1.839519487e-07,1.847577107e-07,1.847497862e-07,0.8428315236,1
C5,C,m9to_m8_guard_2p7ns,18,x8,1.839704609e-07,1.839776567e-07,1.847858827e-07,1.84777637e-07,0.8415680499,1
C5,C,m9to_m8_guard_2p7ns,18,x9,1.839962521e-07,1.840034031e-07,1.848130398e-07,1.848055261e-07,0.8431521485,1
C5,C,m9to_m8_guard_2p7ns,18,x10,1.840217303e-07,1.84028858e-07,1.84841042e-07,1.848330477e-07,0.8432456801,1
C5,C,m9to_m8_guard_2p7ns,18,my6,1.841190595e-07,1.841277871e-07,1.849497226e-07,1.849405025e-07,0.8250665482,1
C5,C,m9to_m8_guard_2p7ns,18,my7,1.840779953e-07,1.840866264e-07,1.849040651e-07,1.848950679e-07,0.8254059659,1
C5,C,m9to_m8_guard_2p7ns,18,my8,1.840367367e-07,1.840454936e-07,1.848589403e-07,1.848493842e-07,0.8262011711,1
C5,C,m9to_m8_guard_2p7ns,18,my9,1.840620654e-07,1.840710268e-07,1.848870486e-07,1.848769599e-07,0.8264308942,1
C5,C,m9to_m8_guard_2p7ns,18,medium_out,1.843653936e-07,1.843740849e-07,1.852230255e-07,1.852137988e-07,0.8252420494,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,x7,1.953047615e-07,1.953117711e-07,1.961177403e-07,1.961099258e-07,0.8402673066,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,x8,1.953302988e-07,1.953374114e-07,1.96145556e-07,1.961377523e-07,0.8376408171,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,x9,1.953562238e-07,1.953633079e-07,1.961736239e-07,1.961658596e-07,0.8385848097,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,x10,1.953819067e-07,1.953890762e-07,1.962013747e-07,1.96193662e-07,0.8353553459,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,my6,1.955460478e-07,1.955546744e-07,1.96383139e-07,1.963739329e-07,0.8252490685,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,my7,1.955047508e-07,1.955135199e-07,1.96337679e-07,1.963285209e-07,0.8252610808,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,my8,1.954635997e-07,1.954725153e-07,1.962922371e-07,1.962829466e-07,0.8250787987,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,my9,1.954224435e-07,1.954312886e-07,1.962468686e-07,1.962373188e-07,0.8263211462,1
C6,C,m9to_m8_guard_3p3000000000000003ns,19,medium_out,1.957930321e-07,1.958014455e-07,1.966574414e-07,1.966473781e-07,0.8253042161,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,x7,2.036054136e-07,2.036124187e-07,2.044177594e-07,2.044094594e-07,0.8437047461,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,x8,2.036308014e-07,2.03637999e-07,2.044454612e-07,2.044374083e-07,0.8441560132,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,x9,2.036568199e-07,2.03663926e-07,2.04473324e-07,2.044652444e-07,0.8438880377,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,x10,2.036822362e-07,2.036893763e-07,2.045006926e-07,2.044931201e-07,0.844799,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,my6,2.03779581e-07,2.037883057e-07,2.04609434e-07,2.046001201e-07,0.8250548611,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,my7,2.037385061e-07,2.037471358e-07,2.045638107e-07,2.045547233e-07,0.8249153146,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,my8,2.036972467e-07,2.037059954e-07,2.04518286e-07,2.045091899e-07,0.8263546596,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,my9,2.037225642e-07,2.037315255e-07,2.045468352e-07,2.045367513e-07,0.8264213214,1
C6,C,m9to_m8_guard_3p3000000000000003ns,20,medium_out,2.040262604e-07,2.040347991e-07,2.048838139e-07,2.048741459e-07,0.8236605665,1
D1,D,config_only_m7,22,x7,2.227548541e-07,2.227619376e-07,2.235673255e-07,2.235594633e-07,0.8359863022,1
D1,D,config_only_m7,22,x8,2.227805141e-07,2.227876472e-07,2.235946755e-07,2.235868846e-07,0.840165175,1
D1,D,config_only_m7,22,x9,2.228064556e-07,2.228134013e-07,2.236227979e-07,2.236149558e-07,0.8373953577,1
D1,D,config_only_m7,22,x10,2.228319109e-07,2.228389706e-07,2.236504616e-07,2.236423595e-07,0.8427230273,1
D1,D,config_only_m7,22,my6,2.229292022e-07,2.2293803e-07,2.237586168e-07,2.237495124e-07,0.8248799684,1
D1,D,config_only_m7,22,my7,2.228881355e-07,2.228968901e-07,2.237129272e-07,2.237038877e-07,0.8245935017,1
D1,D,config_only_m7,22,my8,2.228467093e-07,2.228556631e-07,2.236673996e-07,2.236583517e-07,0.8260351673,1
D1,D,config_only_m7,22,my9,2.228721185e-07,2.228810792e-07,2.236959531e-07,2.236859826e-07,0.825711127,1
D1,D,config_only_m7,22,medium_out,2.231759383e-07,2.231846407e-07,2.240331659e-07,2.240234377e-07,0.8247928411,1
D2,D,active_m7,23,x7,2.340949597e-07,2.341019465e-07,2.349089846e-07,2.34901116e-07,0.8353579507,1
D2,D,active_m7,23,x8,2.341204763e-07,2.341276844e-07,2.349362144e-07,2.3492855e-07,0.8402592498,1
