scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,search_stage,point_label,representative_phase_ps,anomaly
t0__b0p95__L2__dv110p0__h1312p0__pm450p0__60eed1effb4ffcbb8de2,0.95,L2,5,6,110.0,0.84,1.0,1312.0,1.0,-450.0,0.84,2.194829371e-09,2.673388755e-09,2.638276517e-09,5.460690596e-09,478.55938399999997,443.4471459999999,35.11223800000005,-4.421046455e-07,3.984744902e-07,0.95,0.95,-4.653733110526316e-07,4.1944683178947373e-07,0,stable_low,1,1.980594620238095e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r211/scenarios/t0__b0p95__L2__dv110p0__h1312p0__pm450p0__60eed1effb4ffcbb8de2,3ebe498aabe184f19a286837fb3dc1b6f8ee34444f7e1358b4f6fd9f4978b079,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_20mV,-450.0,
t0__b0p95__L2__dv110p0__h1344p0__pm450p0__f8568751da65773e4ea7,0.95,L2,5,6,110.0,0.84,1.0,1344.0,1.0,-450.0,0.84,2.194829371e-09,2.683098373e-09,2.646614456e-09,5.460592624e-09,488.269002,451.7850850000001,36.483916999999906,3.374185428e-07,8.199680399e-08,0.95,0.95,3.551774134736842e-07,8.631242525263158e-08,0,stable_low,1,2.7531745273809524e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r212/scenarios/t0__b0p95__L2__dv110p0__h1344p0__pm450p0__f8568751da65773e4ea7,74fd4c9c078a18c96f8d25e42593b1592006d11c982faaa63b2b2564aca002b2,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_20mV,-450.0,
t0__b0p95__L2__dv110p0__h1360p0__pm450p0__6fce3f837e6aa63d75b9,0.95,L2,5,6,110.0,0.84,1.0,1360.0,1.0,-450.0,0.84,2.194829371e-09,2.688247025e-09,2.650549817e-09,5.460439499e-09,493.41765399999997,455.7204460000001,37.697207999999875,0.9499996917,0.9499997096,0.95,0.95,0.9999996754736843,0.9999996943157895,1,stable_high,1,3.9278616607142855e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r213/scenarios/t0__b0p95__L2__dv110p0__h1360p0__pm450p0__6fce3f837e6aa63d75b9,aed4a73cbf084d740a6aaf3aba14463f26aee09c4ac607ce10989828132a0d9c,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_20mV,-450.0,
t0__b0p95__L3__dv110p0__h1p0__pm450p0__32054103441e0c7d405c,0.95,L3,5,9,110.0,0.84,1.0,1.0,1.0,-450.0,0.84,2.022108596e-09,2.403774663e-09,2.448918714e-09,5.485428106e-09,381.666067,426.81011799999993,-45.14405099999993,-7.440476353e-07,-7.086258603e-07,0.95,0.95,-7.832080371578948e-07,-7.459219582105263e-07,0,stable_low,1,2.373582123809524e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r214/scenarios/t0__b0p95__L3__dv110p0__h1p0__pm450p0__32054103441e0c7d405c,fe7a3b4fdc2211b0e7bc3aaeeb0faa18a39cf9fcbd6af0c99520ed048de0b2ae,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L3__dv110p0__h10p0__pm450p0__f0580c97ae75d1b01cd0,0.95,L3,5,9,110.0,0.84,1.0,10.0,1.0,-450.0,0.84,2.022302039e-09,2.40397135e-09,2.448971621e-09,5.485229939e-09,381.66931099999977,426.6695819999998,-45.000271000000055,-5.521244736e-07,-2.242433899e-07,0.95,0.95,-5.811836564210527e-07,-2.3604567357894736e-07,0,stable_low,1,2.599259667857143e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r215/scenarios/t0__b0p95__L3__dv110p0__h10p0__pm450p0__f0580c97ae75d1b01cd0,bbfeabe5cd64e0181508acfe722055186d7a73662ae1781dea508da8a8c3268f,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L3__dv110p0__h100p0__pm450p0__0dc108afc1bde12e6f46,0.95,L3,5,9,110.0,0.84,1.0,100.0,1.0,-450.0,0.84,2.022211945e-09,2.404010031e-09,2.448934204e-09,5.485210077e-09,381.79808599999984,426.72225899999995,-44.92417300000011,-5.756734954e-07,-2.680342261e-07,0.95,0.95,-6.059721004210527e-07,-2.82141290631579e-07,0,stable_low,1,2.5712784714285718e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r216/scenarios/t0__b0p95__L3__dv110p0__h100p0__pm450p0__0dc108afc1bde12e6f46,69c4b5cd6c74b514380f7f012ab34b35e282ee2b094567b987463b77d3de7b4f,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L3__dv110p0__h1000p0__pm450p0__739232e357f3ac906a72,0.95,L3,5,9,110.0,0.84,1.0,1000.0,1.0,-450.0,0.84,2.153778774e-09,2.575003608e-09,2.580403249e-09,5.485232826e-09,421.2248340000003,426.62447500000013,-5.399640999999804,3.049710539e-07,-6.576875587e-07,0.95,0.95,3.21022162e-07,-6.923026933684212e-07,0,stable_low,1,2.5571526880952384e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r217/scenarios/t0__b0p95__L3__dv110p0__h1000p0__pm450p0__739232e357f3ac906a72,67148f5010a53e5b43fce705f114f7be2392bd1fcf551e642aafc35c0ab9d151,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L3__dv110p0__h3000p0__pm450p0__050492f937763d8bdbfc,0.95,L3,5,9,110.0,0.84,1.0,3000.0,1.0,-450.0,0.84,2.194829368e-09,2.820532621e-09,2.745707161e-09,5.484999051e-09,625.7032529999999,550.877793,74.82545999999991,1.973548724e-07,-3.545266923e-07,0.84,0.84,2.3494627666666666e-07,-4.220555860714286e-07,0,stable_low,1,1.8483620464285713e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r218/scenarios/t0__b0p95__L3__dv110p0__h3000p0__pm450p0__050492f937763d8bdbfc,8035dbdf48314d0298fc4d5c3b4d8c05248cfa8f8cba6f494c0dea8f8045da29,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,last_q0_control,-450.0,
t0__b0p95__L3__dv120p0__h1p0__pm450p0__9cc306100becc7a4f786,0.95,L3,5,9,120.0,0.83,1.0,1.0,1.0,-450.0,0.83,2.022547394e-09,2.403812979e-09,2.44908034e-09,5.484822796e-09,381.26558499999993,426.5329459999997,-45.26736099999977,2.777499295e-08,3.01464748e-08,0.95,0.95,2.9236834684210526e-08,3.173313136842106e-08,0,stable_low,1,2.203392961445783e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r219/scenarios/t0__b0p95__L3__dv120p0__h1p0__pm450p0__9cc306100becc7a4f786,d736e4ab05f07965972a02b9e28353e3e4751642a755965303c3d2a2c3ef3aed,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h10p0__pm450p0__ba5310cb033cae696736,0.95,L3,5,9,120.0,0.83,1.0,10.0,1.0,-450.0,0.83,2.022531594e-09,2.404078811e-09,2.44931235e-09,5.485428193e-09,381.54721699999976,426.78075599999994,-45.23353900000018,6.417502877e-08,-8.852585912e-08,0.95,0.95,6.75526618631579e-08,-9.31851148631579e-08,0,stable_low,1,2.4006148746987953e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r220/scenarios/t0__b0p95__L3__dv120p0__h10p0__pm450p0__ba5310cb033cae696736,f1f139606835da52f3c34d8b1609b7249e2e919aad9709cac89d20ef44a7a3b6,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h100p0__pm450p0__7259f968c3141b3b17b1,0.95,L3,5,9,120.0,0.83,1.0,100.0,1.0,-450.0,0.83,2.022356414e-09,2.403700506e-09,2.44915433e-09,5.484457406e-09,381.34409199999993,426.7979159999999,-45.45382399999994,-1.415840514e-07,-8.688627824e-08,0.95,0.95,-1.490358435789474e-07,-9.145924025263158e-08,0,stable_low,1,5.136782984337349e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r221/scenarios/t0__b0p95__L3__dv120p0__h100p0__pm450p0__7259f968c3141b3b17b1,6480a0f115e700ef23bd37fec861bb0ad2b936d7e2442ad724f3fc675ce0fd86,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h1000p0__pm450p0__ae72d81ce74459c156e3,0.95,L3,5,9,120.0,0.83,1.0,1000.0,1.0,-450.0,0.83,2.165782477e-09,2.590654733e-09,2.592342312e-09,5.485148539e-09,424.87225599999994,426.5598349999996,-1.6875789999996869,9.976683316e-08,7.45947948e-08,0.95,0.95,1.0501771911578948e-07,7.852083663157894e-08,0,stable_low,1,2.0154332240963856e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r222/scenarios/t0__b0p95__L3__dv120p0__h1000p0__pm450p0__ae72d81ce74459c156e3,74ccd20b06e237bc9842a4ed01f7263e2504dacb24cadf1c1d695f586ebc26ea,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h3000p0__pm450p0__4bf71ec44bccb779e232,0.95,L3,5,9,120.0,0.83,1.0,3000.0,1.0,-450.0,0.83,2.216691092e-09,2.878060348e-09,2.782291266e-09,5.485407636e-09,661.369256,565.6001739999997,95.76908200000025,0.8299995572,0.8299996491,0.83,0.83,0.9999994665060241,0.9999995772289157,1,stable_high,1,2.1381145457831324e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r223/scenarios/t0__b0p95__L3__dv120p0__h3000p0__pm450p0__4bf71ec44bccb779e232,9935c308bd76bf329bd4c01ac78f5c67e5fb327edadb0604fdc1d96fa3011674,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h2000p0__pm450p0__3272856c2c5b9fa16ea7,0.95,L3,5,9,120.0,0.83,1.0,2000.0,1.0,-450.0,0.83,2.216691092e-09,2.878060348e-09,2.782291266e-09,5.48548939e-09,661.369256,565.6001739999997,95.76908200000025,0.949999724,0.9499997063,0.95,0.95,0.9999997094736842,0.9999996908421053,1,stable_high,1,2.229470121686747e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r224/scenarios/t0__b0p95__L3__dv120p0__h2000p0__pm450p0__3272856c2c5b9fa16ea7,ede56adcf71b0ef6fa43a4bd25341cdaa1ba4f05bc46ed46cd4edd4338b0d581,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h1500p0__pm450p0__3e6303c464c98018b9a2,0.95,L3,5,9,120.0,0.83,1.0,1500.0,1.0,-450.0,0.83,2.216691092e-09,2.761946429e-09,2.7300116e-09,5.484824003e-09,545.2553369999997,513.3205079999998,31.934828999999922,-2.574146365e-07,-3.052857421e-08,0.95,0.95,-2.7096277526315794e-07,-3.213534127368421e-08,0,stable_low,1,2.0406969361445785e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r225/scenarios/t0__b0p95__L3__dv120p0__h1500p0__pm450p0__3e6303c464c98018b9a2,85261899c2fb477d77602b75b538c4082c0df25717bf3837229a316a6d3674ca,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_anchor,-450.0,
t0__b0p95__L3__dv120p0__h1750p0__pm450p0__c2c8160f090a8f845ee7,0.95,L3,5,9,120.0,0.83,1.0,1750.0,1.0,-450.0,0.83,2.216691092e-09,2.847319004e-09,2.782291266e-09,2.791451298e-09,630.6279119999998,565.6001739999997,65.02773800000011,0.9499996802,0.9499996948,0.95,0.95,0.9999996633684212,0.9999996787368421,1,stable_high,2,1.8870087831325303e-06,0,active_ck_edge_count_not_one,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r226/scenarios/t0__b0p95__L3__dv120p0__h1750p0__pm450p0__c2c8160f090a8f845ee7,145b3f5ba7ed7387003d6b93926316f89bb9b2e48f0e73b77cac633da4a011b7,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_anchor,-450.0,ambiguous_duration_boundary
t0__b0p95__L3__dv130p0__h1p0__pm450p0__6553a4afa1ae924158c1,0.95,L3,5,9,130.0,0.82,1.0,1.0,1.0,-450.0,0.82,2.022546082e-09,2.403810589e-09,2.449078587e-09,5.484822796e-09,381.264507,426.53250500000007,-45.26799800000009,-1.280056634e-08,-9.904858562e-09,0.95,0.95,-1.3474280357894737e-08,-1.0426166907368423e-08,0,stable_low,1,2.2302403158536585e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r227/scenarios/t0__b0p95__L3__dv130p0__h1p0__pm450p0__6553a4afa1ae924158c1,5117df9c6fa5a2e9d623857c6697b00a238f3afb31de445bd2b2de3f19bf1b98,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h10p0__pm450p0__ab0f761adcfa88669f0d,0.95,L3,5,9,130.0,0.82,1.0,10.0,1.0,-450.0,0.82,2.022532233e-09,2.404079544e-09,2.449313053e-09,5.485428194e-09,381.54731100000015,426.78082,-45.233508999999856,6.417563611e-08,-8.85249819e-08,0.95,0.95,6.755330116842106e-08,-9.318419147368421e-08,0,stable_low,1,2.4297863195121954e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r228/scenarios/t0__b0p95__L3__dv130p0__h10p0__pm450p0__ab0f761adcfa88669f0d,6a1110104b73179a4d4b4c0e66609a465ff5780a6d748504f8afc5fed58c6169,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h100p0__pm450p0__43da89935d4ebfcb097e,0.95,L3,5,9,130.0,0.82,1.0,100.0,1.0,-450.0,0.82,2.022371248e-09,2.403983964e-09,2.449104594e-09,5.48490905e-09,381.6127159999998,426.73334599999987,-45.12063000000006,-6.467158378e-08,-3.561337227e-07,0.95,0.95,-6.807535134736842e-08,-3.748776028421053e-07,0,stable_low,1,2.4458234963414636e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r229/scenarios/t0__b0p95__L3__dv130p0__h100p0__pm450p0__43da89935d4ebfcb097e,628986f7a9f5da5d09d5124d4e80dcfe5e5e028430f59da42f7f1431b108f4bc,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1000p0__pm450p0__fb498da1f42efd931814,0.95,L3,5,9,130.0,0.82,1.0,1000.0,1.0,-450.0,0.82,2.178634089e-09,2.605941714e-09,2.605539182e-09,5.484889826e-09,427.3076249999999,426.905093,0.4025319999998942,-2.510102586e-07,3.383865798e-07,0.95,0.95,-2.6422132484210523e-07,3.561963997894737e-07,0,stable_low,1,1.5008128512195124e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r230/scenarios/t0__b0p95__L3__dv130p0__h1000p0__pm450p0__fb498da1f42efd931814,cd9bbbd60d81e27e1c9624906f57901bf0e8a0e2f1f1e8771e44c063611b3c57,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h3000p0__pm450p0__24338e22f81ca56155a7,0.95,L3,5,9,130.0,0.82,1.0,3000.0,1.0,-450.0,0.82,2.240752284e-09,2.938230123e-09,2.823292939e-09,5.485391998e-09,697.4778389999997,582.540655,114.93718399999966,0.8199988413,0.8199996786,0.82,0.82,0.9999985869512196,0.9999996080487805,1,stable_high,1,2.1657360585365856e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r231/scenarios/t0__b0p95__L3__dv130p0__h3000p0__pm450p0__24338e22f81ca56155a7,4cfbd40c22081ff5bd4ac09629f4147a5f8edc3c5bf79ad84b6ecb8eb4d983df,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h2000p0__pm450p0__c583ae9d859a51b6bba5,0.95,L3,5,9,130.0,0.82,1.0,2000.0,1.0,-450.0,0.82,2.240752284e-09,2.938230123e-09,2.823292939e-09,5.485230459e-09,697.4778389999997,582.540655,114.93718399999966,0.9499996625,0.949999667,0.95,0.95,0.9999996447368421,0.9999996494736844,1,stable_high,1,2.4366769097560975e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r232/scenarios/t0__b0p95__L3__dv130p0__h2000p0__pm450p0__c583ae9d859a51b6bba5,dd9b251d84c3e7b8c1df726d797b23ec976e5d0828e375485f65fde84f9ecd31,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1500p0__pm450p0__49776d894ad53db5fafa,0.95,L3,5,9,130.0,0.82,1.0,1500.0,1.0,-450.0,0.82,2.240752284e-09,2.790299981e-09,2.757132315e-09,5.485101927e-09,549.5476969999996,516.3800309999999,33.16766599999971,4.225916021e-07,2.125833709e-07,0.95,0.95,4.4483326536842104e-07,2.2377196936842105e-07,0,stable_low,1,2.1033099060975612e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r233/scenarios/t0__b0p95__L3__dv130p0__h1500p0__pm450p0__49776d894ad53db5fafa,65883f3a62bc519c831412c16ed2a234d3dad1cb3179e21a9a356ad85dfc0194,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1750p0__pm450p0__bfa2b5c0f2e345ff4303,0.95,L3,5,9,130.0,0.82,1.0,1750.0,1.0,-450.0,0.82,2.240752284e-09,2.882898914e-09,2.822542624e-09,5.484778487e-09,642.14663,581.7903399999998,60.35629000000017,0.94999971,0.949999712,0.95,0.95,0.9999996947368422,0.9999996968421053,1,stable_high,1,1.828686174390244e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r234/scenarios/t0__b0p95__L3__dv130p0__h1750p0__pm450p0__bfa2b5c0f2e345ff4303,13a9c985db5f7d3e38a24490edfd304c6972b849d8e1a853dc133997cf4573e1,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1625p0__pm450p0__b87dcf848b2a915a2a5a,0.95,L3,5,9,130.0,0.82,1.0,1625.0,1.0,-450.0,0.82,2.240752284e-09,2.836723581e-09,2.779626355e-09,5.485045708e-09,595.9712969999999,538.8740709999997,57.097226000000205,0.949999662,0.9499997809,0.95,0.95,0.9999996442105263,0.9999997693684212,1,stable_high,1,2.7124451902439026e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r235/scenarios/t0__b0p95__L3__dv130p0__h1625p0__pm450p0__b87dcf848b2a915a2a5a,f171ddf77bead0ab6b52986181ecdf9aed207ba0b0565f869c42e267ed7fe1ac,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1562p0__pm450p0__b4daebd64ce5466a6713,0.95,L3,5,9,130.0,0.82,1.0,1562.0,1.0,-450.0,0.82,2.240752284e-09,2.813541406e-09,2.769663495e-09,5.485123608e-09,572.7891219999997,528.911211,43.8779109999997,0.9499996707,0.9499997174,0.95,0.95,0.9999996533684211,0.9999997025263159,1,stable_high,1,3.1033251914634147e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r236/scenarios/t0__b0p95__L3__dv130p0__h1562p0__pm450p0__b4daebd64ce5466a6713,83474d6c4e0fc0d6a5b85eed76b7d5028299f29d933366237a2570b8a123c463,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1531p0__pm450p0__a3b9fd66e0862c065766,0.95,L3,5,9,130.0,0.82,1.0,1531.0,1.0,-450.0,0.82,2.240752284e-09,2.802260027e-09,2.764431893e-09,5.485101924e-09,561.507743,523.6796089999999,37.82813400000009,2.410090265e-07,2.94248633e-07,0.95,0.95,2.536937121052631e-07,3.0973540315789474e-07,0,stable_low,1,2.099849530487805e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r237/scenarios/t0__b0p95__L3__dv130p0__h1531p0__pm450p0__a3b9fd66e0862c065766,2681efc92f910f60e14fd58c2f9f6ca1534c0d5465286d73187a37593b93df23,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv130p0__h1546p0__pm450p0__1f1b18ffee878d82abcc,0.95,L3,5,9,130.0,0.82,1.0,1546.0,1.0,-450.0,0.82,2.240752284e-09,2.807732958e-09,2.76724108e-09,5.484652267e-09,566.9806739999997,526.4887959999998,40.49187799999993,-3.285088864e-07,-3.478573555e-07,0.95,0.95,-3.457988277894737e-07,-3.6616563736842106e-07,0,stable_low,1,1.9014122975609757e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r238/scenarios/t0__b0p95__L3__dv130p0__h1546p0__pm450p0__1f1b18ffee878d82abcc,7c91f0c1f0e9462ec3e81c7ca4f362ccb6522259038994a9cba82be65e887ac5,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,refine,first_q1_minus_10mV,-450.0,
t0__b0p95__L3__dv140p0__h1p0__pm450p0__aa45f590bb75470e0ba7,0.95,L3,5,9,140.0,0.81,1.0,1.0,1.0,-450.0,0.81,2.022546048e-09,2.403811533e-09,2.449079101e-09,5.484822797e-09,381.2654849999999,426.53305299999994,-45.26756800000004,2.811834427e-08,3.048421668e-08,0.95,0.95,2.959825712631579e-08,3.208864913684211e-08,0,stable_low,1,2.2577510395061727e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r239/scenarios/t0__b0p95__L3__dv140p0__h1p0__pm450p0__aa45f590bb75470e0ba7,e2ac6be273038cbddaa0173c81fc27eadd615718e7aba47c718cdd9d1a14a4eb,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_20mV,-450.0,
t0__b0p95__L3__dv140p0__h10p0__pm450p0__79b02714b2a321085d93,0.95,L3,5,9,140.0,0.81,1.0,10.0,1.0,-450.0,0.81,2.022532264e-09,2.404079586e-09,2.449313038e-09,5.4854282e-09,381.5473220000001,426.7807740000001,-45.233452,6.41757018e-08,-8.85247272e-08,0.95,0.95,6.755337031578949e-08,-9.318392336842105e-08,0,stable_low,1,2.4596987024691356e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r240/scenarios/t0__b0p95__L3__dv140p0__h10p0__pm450p0__79b02714b2a321085d93,8198d3b9ccbcbb73414280cc3b291c128a27daa5c4ad1e3a8db1fd2a88d7f0d7,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_20mV,-450.0,
t0__b0p95__L3__dv140p0__h100p0__pm450p0__7ee472a24907e2e92a9f,0.95,L3,5,9,140.0,0.81,1.0,100.0,1.0,-450.0,0.81,2.022459288e-09,2.403740398e-09,2.449312093e-09,5.485430394e-09,381.28110999999996,426.852805,-45.571695000000034,1.972769805e-07,2.004650261e-07,0.95,0.95,2.0765997947368422e-07,2.1101581694736843e-07,0,stable_low,1,2.4487642938271604e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r241/scenarios/t0__b0p95__L3__dv140p0__h100p0__pm450p0__7ee472a24907e2e92a9f,c4149df57afa26e82ae10def3125a3e6e43b89f740c687182f7915701d16315c,8990a002c0a888cec518799b3c75029b0536557fb43097a8ebf23117e094f1b3,coarse,first_q1_minus_20mV,-450.0,
