HD_vs_nominal,M_FF,N_FF,delta_M,designated,dff_mid_rail_taps,dff_rail_resolved,latq_mid_rail_taps,latq_rail_resolved_at_sample,nearest_system_edge_ps,q_ff_raw_29_to_0,q_ff_raw_tap0_to_tap29,sample_index,sample_time_ps,system_edge_polarity,time_from_nearest_system_edge_ps,voltage_v
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.86
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.86
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.86
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.86
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.86
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.86
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.83
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.83
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.83
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.83
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.83
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.83
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.83
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.83
12,174,12,-113,True,[],True,[],True,21000.0,000000000111111111111000000000,000000000111111111111000000000,8,22634.524618567,rise,1534.5246185670003,0.83
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.83
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.83
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.83
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.83
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.83
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.83
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.83
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.83
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.83
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.83
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.83
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.83
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.83
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.83
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.83
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.8
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.8
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.8
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.8
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.8
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.8
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.8
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.8
14,162,12,-125,True,[],True,[],True,21000.0,000000000011111111111100000000,000000001111111111110000000000,8,22634.524618567,rise,1534.5246185670003,0.8
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.8
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.8
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.8
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.8
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.8
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.8
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.8
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.8
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.8
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.8
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.8
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.8
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.8
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.8
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.8
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.77
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.77
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.77
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.77
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.77
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.77
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.77
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.77
17,132,11,-155,True,[],True,[],True,21000.0,000000000000111111111110000000,000000011111111111000000000000,8,22634.524618567,rise,1534.5246185670003,0.77
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.77
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.77
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.77
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.77
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.77
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.77
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.77
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.77
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.77
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.77
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.77
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.77
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.77
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.77
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.77
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.74
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.74
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.74
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.74
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.74
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.74
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.74
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.74
20,105,10,-182,True,[],True,[],True,21000.0,000000000000001111111111000000,000000111111111100000000000000,8,22634.524618567,rise,1534.5246185670003,0.74
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.74
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.74
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.74
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.74
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.74
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.74
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.74
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.74
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.74
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.74
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.74
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.74
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.74
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.74
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.74
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.71
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.71
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.71
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.71
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.71
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.71
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.71
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.71
23,81,9,-206,True,[],True,[],True,21000.0,000000000000000011111111100000,000001111111110000000000000000,8,22634.524618567,rise,1534.5246185670003,0.71
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.71
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.71
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.71
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.71
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.71
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.71
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.71
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.71
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.71
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.71
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.71
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.71
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.71
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.71
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.71
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.68
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.68
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.68
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.68
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.68
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.68
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.68
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.68
23,72,9,-215,True,[],True,[],True,21000.0,000000000000000001111111110000,000011111111100000000000000000,8,22634.524618567,rise,1534.5246185670003,0.68
,57,2,,False,[],True,[],True,21000.0,110000000000000000000000000000,000000000000000000000000000011,9,25134.524618567,rise,4034.5246185670003,0.68
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.68
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.68
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.68
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.68
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.68
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.68
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.68
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.68
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.68
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.68
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.68
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.68
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.68
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.68
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.65
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.65
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.65
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.65
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.65
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.65
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.65
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.65
22,52,8,-235,True,[],True,[],True,21000.0,000000000000000000011111111000,000111111110000000000000000000,8,22634.524618567,rise,1534.5246185670003,0.65
,204,8,,False,[],True,[],True,21000.0,111111110000000000000000000000,000000000000000000000011111111,9,25134.524618567,rise,4034.5246185670003,0.65
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.65
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.65
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.65
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.65
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.65
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.65
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.65
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.65
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.65
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.65
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.65
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.65
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.65
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.65
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.62
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.62
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.62
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.62
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.62
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.62
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.62
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.62
