scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier
scenarios/010_coarse_phi_m03_v1p000000000000,capture,1.0,4,0,2.58844695e-10,1.258844695e-09,"[1.084660275e-09,1.108516787e-09,1.132458804e-09,1.156349708e-09,1.180287342e-09,1.204271646e-09,1.228216928e-09,1.252088232e-09,1.276057512e-09,1.300027973e-09,1.323951654e-09,1.347979249e-09,1.371854609e-09,1.395795984e-09,1.419741966e-09,1.443684585e-09,1.467625217e-09,1.491598711e-09,1.515492172e-09,1.539395897e-09,1.563331255e-09,1.587282539e-09,1.611280202e-09,1.635116341e-09,1.659029823e-09,1.682825196e-09,1.706819973e-09,1.730804201e-09,1.754830563e-09,1.777238992e-09]","[1.012040152e-09,1.027044444e-09,1.042112193e-09,1.057192331e-09,1.072175549e-09,1.08726375e-09,1.102244142e-09,1.117253479e-09,1.132328949e-09,1.147320032e-09,1.162379614e-09,1.177393831e-09,1.192359897e-09,1.20729755e-09,1.222289442e-09,1.237360467e-09,1.25233087e-09,1.267309205e-09,1.282382694e-09,1.297412309e-09,1.312419677e-09,1.327470608e-09,1.342492091e-09,1.357496936e-09,1.372406981e-09,1.387452667e-09,1.402472199e-09,1.417450094e-09,1.432460178e-09,1.446173312e-09]",1.0,000000011111111000000000000000,000001111111000000000000000000,000000111111000000000000000000,000000111111000000000000000000,0,6,11,6,1,1,0,0,0,phi_m03,-3
scenarios/011_coarse_phi_m03_v0p950000000000,capture,0.95,4,0,2.58844695e-10,1.258844695e-09,"[1.095891858e-09,1.123069275e-09,1.150357289e-09,1.177683904e-09,1.205068462e-09,1.232319447e-09,1.259656647e-09,1.287056213e-09,1.31436805e-09,1.341730108e-09,1.369063993e-09,1.39632689e-09,1.423631943e-09,1.450970825e-09,1.478318173e-09,1.505611486e-09,1.533019725e-09,1.560290825e-09,1.587590293e-09,1.614926958e-09,1.642303241e-09,1.669662002e-09,1.697022335e-09,1.724262404e-09,1.751623103e-09,1.779037515e-09,1.806233463e-09,1.833393177e-09,1.860702495e-09,1.886525972e-09]","[1.012927351e-09,1.02949334e-09,1.04613312e-09,1.062772055e-09,1.07928958e-09,1.095930244e-09,1.112457602e-09,1.129084503e-09,1.145662485e-09,1.162261038e-09,1.178845723e-09,1.195429711e-09,1.211999758e-09,1.22861214e-09,1.245181608e-09,1.261674797e-09,1.27835782e-09,1.294928519e-09,1.311566708e-09,1.32812449e-09,1.344777318e-09,1.361293219e-09,1.377856118e-09,1.394369111e-09,1.410929652e-09,1.427555178e-09,1.444205484e-09,1.460677877e-09,1.477373144e-09,1.492506035e-09]",0.95,000000111111100000000000000000,000011111100000000000000000000,000011111110000000000000000000,000011111110000000000000000000,0,4,10,7,1,1,0,0,0,phi_m03,-3
scenarios/012_coarse_phi_m03_v0p900000000000,capture,0.9,4,0,2.58844695e-10,1.258844695e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270633054e-09,1.302535877e-09,1.334411137e-09,1.366323922e-09,1.39814652e-09,1.430017596e-09,1.461872092e-09,1.493849121e-09,1.525768114e-09,1.557521305e-09,1.589432665e-09,1.621211541e-09,1.653058874e-09,1.684906078e-09,1.71668952e-09,1.748698554e-09,1.780313983e-09,1.812033994e-09,1.843779153e-09,1.875674134e-09,1.907659883e-09,1.939531798e-09,1.971442772e-09,2.003344172e-09,2.033430793e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.255880044e-09,1.274402904e-09,1.292871157e-09,1.311534897e-09,1.330019386e-09,1.348677424e-09,1.36719923e-09,1.38585644e-09,1.404379501e-09,1.422966293e-09,1.441617218e-09,1.460015025e-09,1.478696195e-09,1.497351987e-09,1.515893317e-09,1.534523908e-09,1.551343754e-09]",0.9,000001111110000000000000000000,000111111000000000000000000000,000111111000000000000000000000,000111111000000000000000000000,0,3,8,6,1,1,0,0,0,phi_m03,-3
scenarios/013_coarse_phi_m03_v0p850000000000,capture,0.85,4,0,2.58844695e-10,1.258844695e-09,"[1.132526868e-09,1.170572635e-09,1.208741281e-09,1.247031898e-09,1.285164066e-09,1.323466148e-09,1.361631176e-09,1.399877315e-09,1.438133628e-09,1.476317271e-09,1.514655715e-09,1.552831734e-09,1.591054547e-09,1.629323432e-09,1.667509252e-09,1.705651969e-09,1.743637275e-09,1.781814e-09,1.820028142e-09,1.858053408e-09,1.896337891e-09,1.93458109e-09,1.972880228e-09,2.011095241e-09,2.049359472e-09,2.087466513e-09,2.125495211e-09,2.163632833e-09,2.201842422e-09,2.23776866e-09]","[1.015839442e-09,1.037023701e-09,1.058226633e-09,1.079433525e-09,1.100714365e-09,1.121896818e-09,1.143038213e-09,1.16431447e-09,1.185421857e-09,1.206696968e-09,1.227791375e-09,1.249030324e-09,1.270154307e-09,1.291434559e-09,1.312532382e-09,1.333792284e-09,1.354884856e-09,1.37613561e-09,1.397375554e-09,1.418420679e-09,1.439571804e-09,1.460701659e-09,1.482145646e-09,1.503232548e-09,1.524448753e-09,1.545579695e-09,1.566698363e-09,1.587931359e-09,1.609046782e-09,1.628544077e-09]",0.85,000111111100000000000000000000,011111000000000000000000000000,001111100000000000000000000000,001111100000000000000000000000,0,2,6,5,1,1,0,0,0,phi_m03,-3
scenarios/014_coarse_phi_m03_v0p800000000000,capture,0.8,4,0,2.58844695e-10,1.258844695e-09,"[1.163718349e-09,1.210954986e-09,1.258401647e-09,1.305932878e-09,1.353425522e-09,1.400918738e-09,1.448305931e-09,1.495628138e-09,1.543076869e-09,1.590584006e-09,1.638097841e-09,1.68565327e-09,1.732938951e-09,1.780655193e-09,1.828011696e-09,1.875412267e-09,1.923081033e-09,1.970576686e-09,2.01805593e-09,2.06551286e-09,2.112938684e-09,2.160394866e-09,2.207862629e-09,2.255308835e-09,2.302717899e-09,2.350332491e-09,2.397823673e-09,2.445247267e-09,2.492765198e-09,2.537718803e-09]","[1.01807628e-09,1.042782507e-09,1.067585437e-09,1.092388241e-09,1.117050189e-09,1.141865749e-09,1.166521305e-09,1.191340826e-09,1.215879905e-09,1.240705935e-09,1.265251914e-09,1.290175008e-09,1.314876944e-09,1.339698023e-09,1.364473209e-09,1.389083484e-09,1.41389897e-09,1.438438091e-09,1.463122172e-09,1.488066288e-09,1.51276303e-09,1.537584513e-09,1.562388373e-09,1.586941177e-09,1.611751903e-09,1.63628224e-09,1.661107851e-09,1.685912791e-09,1.710454668e-09,1.733196506e-09]",0.8,001111110000000000000000000000,111100000000000000000000000000,111110000000000000000000000000,111110000000000000000000000000,0,0,4,5,1,1,0,1,0,phi_m03,-3
scenarios/015_coarse_phi_m03_v0p750000000000,capture,0.75,4,0,2.58844695e-10,1.258844695e-09,"[1.211003633e-09,1.272303504e-09,1.333849135e-09,1.39548109e-09,1.457017849e-09,1.518654024e-09,1.58024207e-09,1.6418125e-09,1.703469414e-09,1.765084723e-09,1.826687197e-09,1.888315558e-09,1.949949458e-09,2.011768861e-09,2.073327421e-09,2.134883478e-09,2.196440959e-09,2.25775586e-09,2.319568892e-09,2.380947442e-09,2.442423389e-09,2.503963735e-09,2.565438701e-09,2.627058439e-09,2.68863218e-09,2.75019464e-09,2.811754e-09,2.873070697e-09,2.934882193e-09,2.993422499e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259149417e-09,1.288981041e-09,1.31882126e-09,1.348625895e-09,1.378433863e-09,1.408248051e-09,1.438064352e-09,1.467783571e-09,1.497613736e-09,1.527386653e-09,1.556824291e-09,1.586593178e-09,1.616345266e-09,1.646114042e-09,1.675586732e-09,1.705334385e-09,1.735349988e-09,1.764857019e-09,1.794640095e-09,1.824383288e-09,1.854066744e-09,1.88128903e-09]",0.75,011111000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m03,-3
scenarios/016_coarse_phi_m02_v1p100000000000,capture,1.1,4,0,2.7256313e-10,1.27256313e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26226352e-09,1.281549499e-09,1.300933238e-09,1.320271018e-09,1.339627999e-09,1.358978012e-09,1.378287307e-09,1.397681884e-09,1.417048187e-09,1.436324259e-09,1.455708271e-09,1.474993876e-09,1.49438885e-09,1.513771015e-09,1.533156889e-09,1.552486949e-09,1.57182801e-09,1.591121309e-09,1.610452095e-09,1.628423556e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265525025e-09,1.278131497e-09,1.290912056e-09,1.303691551e-09,1.316428159e-09,1.329160204e-09,1.341909104e-09,1.354637446e-09,1.367389312e-09,1.378818515e-09]",1.1,000000000011111111100000000000,000000000111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,phi_m02,-2
scenarios/017_coarse_phi_m02_v1p050000000000,capture,1.05,4,0,2.7256313e-10,1.27256313e-09,"[1.075868526e-09,1.097165857e-09,1.118497235e-09,1.139809695e-09,1.161137848e-09,1.18254774e-09,1.203894382e-09,1.225252597e-09,1.246577432e-09,1.267943566e-09,1.289326801e-09,1.310738317e-09,1.332113083e-09,1.353469707e-09,1.374810565e-09,1.396224805e-09,1.417562642e-09,1.43894256e-09,1.46028681e-09,1.481590421e-09,1.503014196e-09,1.524366878e-09,1.545717833e-09,1.567123977e-09,1.588544287e-09,1.609765731e-09,1.631169045e-09,1.652490585e-09,1.673894525e-09,1.693822248e-09]","[1.011240238e-09,1.025034756e-09,1.038826309e-09,1.052609537e-09,1.066376534e-09,1.080138951e-09,1.093925378e-09,1.107714814e-09,1.121469175e-09,1.135220696e-09,1.149037826e-09,1.162809486e-09,1.176534772e-09,1.190341015e-09,1.204142695e-09,1.217874061e-09,1.231673576e-09,1.245395716e-09,1.259204184e-09,1.27296766e-09,1.286688413e-09,1.300496826e-09,1.314264716e-09,1.328002751e-09,1.341796699e-09,1.355585503e-09,1.369319494e-09,1.383078919e-09,1.39686855e-09,1.409260833e-09]",1.05,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m02,-2
scenarios/018_coarse_phi_m02_v1p000000000000,capture,1.0,4,0,2.7256313e-10,1.27256313e-09,"[1.084660275e-09,1.108516787e-09,1.132458804e-09,1.156349708e-09,1.180287342e-09,1.204271646e-09,1.228216928e-09,1.252088232e-09,1.275969446e-09,1.299959423e-09,1.323957458e-09,1.347875669e-09,1.37185415e-09,1.395740967e-09,1.419675491e-09,1.443633832e-09,1.467646801e-09,1.491558669e-09,1.515513145e-09,1.539527679e-09,1.56335585e-09,1.587312689e-09,1.611304446e-09,1.635184009e-09,1.659127228e-09,1.683167171e-09,1.706959268e-09,1.730828334e-09,1.754836909e-09,1.777288526e-09]","[1.012040152e-09,1.027044444e-09,1.042112193e-09,1.057192331e-09,1.072175549e-09,1.08726375e-09,1.102244142e-09,1.117253479e-09,1.132328949e-09,1.147320032e-09,1.162379614e-09,1.177393831e-09,1.192359897e-09,1.20729755e-09,1.222289442e-09,1.237360467e-09,1.25233087e-09,1.267335499e-09,1.282382124e-09,1.297436907e-09,1.312483182e-09,1.327490502e-09,1.342515033e-09,1.357564257e-09,1.372549401e-09,1.38753182e-09,1.40254521e-09,1.417581573e-09,1.43254575e-09,1.446274988e-09]",1.0,000000001111111100000000000000,000000111111100000000000000000,000000111111100000000000000000,000000111111100000000000000000,0,6,12,7,1,1,0,0,0,phi_m02,-2
scenarios/019_coarse_phi_m02_v0p950000000000,capture,0.95,4,0,2.7256313e-10,1.27256313e-09,"[1.095891858e-09,1.123069275e-09,1.150357289e-09,1.177683904e-09,1.205068462e-09,1.232319447e-09,1.259646822e-09,1.287045906e-09,1.314388661e-09,1.341753357e-09,1.369049782e-09,1.39639792e-09,1.42362496e-09,1.451034249e-09,1.478286025e-09,1.505631491e-09,1.532994348e-09,1.560388656e-09,1.587421246e-09,1.614739958e-09,1.641916432e-09,1.669303502e-09,1.696669627e-09,1.723915804e-09,1.751263353e-09,1.778680072e-09,1.805906812e-09,1.833038342e-09,1.860359444e-09,1.886124578e-09]","[1.012927351e-09,1.02949334e-09,1.04613312e-09,1.062772055e-09,1.07928958e-09,1.095930244e-09,1.112457602e-09,1.129084503e-09,1.145662485e-09,1.162261038e-09,1.178845723e-09,1.195429711e-09,1.211999758e-09,1.22861214e-09,1.245181608e-09,1.261782358e-09,1.278217144e-09,1.294874368e-09,1.311498085e-09,1.328049408e-09,1.344705317e-09,1.361221906e-09,1.377809684e-09,1.394298209e-09,1.410940974e-09,1.427447939e-09,1.443939671e-09,1.460496353e-09,1.477037353e-09,1.492218031e-09]",0.95,000000111111110000000000000000,000011111110000000000000000000,000001111110000000000000000000,000001111110000000000000000000,0,5,10,6,1,1,0,0,0,phi_m02,-2
