driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,13,13,0.95,0,877.728911,828.8234469999999,337.32738000000023,190.29839699999994,0.9500074156,3.242843816e-06,0,True,scenarios/phase5_coupled_coverage__m15__k13__f13__v0p95__4e1ab8dd974fbc7e82cc
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,16,0,13,0.95,0,810.3033159999999,832.8060499999993,206.67310000000003,111.0604689999999,0.9500232795,5.209523636e-07,0,True,scenarios/phase5_coupled_coverage__m16__k13__f00__v0p95__0dea441192161233d501
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,0,13,0.8,0,198.327545,172.52467999999948,285.0654290000001,146.81738099999976,0.8000062873,3.784281678e-07,0,True,scenarios/phase5_coupled_coverage__m00__k13__f00__v0p80__5bd2e32ca3359852943c
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,13,13,0.8,0,289.29092199999997,183.24418400000008,468.674313,259.28308900000013,0.7999966733,1.569324632e-06,0,True,scenarios/phase5_coupled_coverage__m00__k13__f13__v0p80__2fabb4e4249213671526
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,1,0,13,0.8,0,265.0080319999999,245.94067100000012,285.0801599999999,146.76722099999967,0.8000065888,9.724767363e-09,0,True,scenarios/phase5_coupled_coverage__m01__k13__f00__v0p80__563adc7b64fe59199fda
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,0,13,0.8,0,667.283045,686.1177429999996,289.69704600000006,148.4220609999996,0.799978432,2.276246008e-07,0,True,scenarios/phase5_coupled_coverage__m07__k13__f00__v0p80__ba94c5d71bf29d4a53ee
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,13,13,0.8,0,756.2132750000001,698.8330719999999,466.97678899999977,260.07964299999986,0.799499523,1.372464942e-06,0,True,scenarios/phase5_coupled_coverage__m07__k13__f13__v0p80__c97f1580d406f5a68495
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,8,0,13,0.8,0,734.385891,760.2201049999996,293.62316800000025,148.96668899999952,0.7999507411,7.339762187e-07,0,True,scenarios/phase5_coupled_coverage__m08__k13__f00__v0p80__56ba7e8d447198b65131
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,0,13,0.8,0,1203.022589,1274.132309,285.73291099999966,148.1737259999996,0.7763985701,0.0004360160377,0,True,scenarios/phase5_coupled_coverage__m15__k13__f00__v0p80__e4cf4ae6507e134a26f5
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,13,13,0.8,0,1292.776415,1286.8605459999999,473.90194499999967,260.0919540000005,0.6343493771,0.04968455244,0,False,scenarios/phase5_coupled_coverage__m15__k13__f13__v0p80__0e78529447fe45632a1e
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,16,0,13,0.8,0,1223.867207,1301.3936,295.77777399999997,148.3409919999999,0.769850695,0.001761923839,0,True,scenarios/phase5_coupled_coverage__m16__k13__f00__v0p80__112ebecf8a1195d22f95
