probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,1.0999996634,1.0999996639,3.016755586e-09,1.303959537e-08,True,1.001e-08,1.25e-08,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,1.0999996642,1.0999996647,2.051665826e-08,3.05395658e-08,True,2.7510000000000003e-08,3.0000000000000004e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,1.0999996631,1.0999996636,4.054981229e-08,5.057268553e-08,True,4.751e-08,5e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,1.0999996664,1.0999996635,5.804973393e-08,6.807272338e-08,True,6.501e-08,6.75e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,1.0999996671,1.0999996669,7.80827991e-08,8.810573181e-08,True,8.501e-08,8.75e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,1.0999996625,1.0999996656,9.558285573e-08,1.056056724e-07,True,1.0251e-07,1.05e-07,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,1.0999996626,1.0999996649,1.156159531e-07,1.256388207e-07,True,1.2251e-07,1.25e-07,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,1.0999996085,1.0999997755,1.331159704e-07,1.431388618e-07,True,1.4001000000000002e-07,1.425e-07,True,True,True,PASS
8,4,0,STABLE_LOW,STABLE_LOW,1.858554035e-07,2.029650492e-07,1.531492389e-07,1.631719493e-07,True,1.6001000000000001e-07,1.625e-07,True,True,True,PASS
9,4,0,STABLE_LOW,STABLE_LOW,1.426007944e-07,1.403562208e-07,1.706489562e-07,1.806719328e-07,True,1.7751e-07,1.8e-07,True,True,True,PASS
10,2,0,STABLE_HIGH,STABLE_HIGH,1.0999996675,1.0999996671,1.930831113e-07,2.031057151e-07,True,2.0001e-07,2.025e-07,True,True,True,PASS
11,2,1,STABLE_HIGH,STABLE_HIGH,1.0999996543,1.0999996571,2.130884354e-07,2.231113965e-07,True,2.2001000000000002e-07,2.2250000000000001e-07,True,True,True,PASS
12,2,2,STABLE_HIGH,STABLE_HIGH,1.0999996391,1.099999669,2.330939927e-07,2.431169043e-07,True,2.4001000000000004e-07,2.425e-07,True,True,True,PASS
13,2,3,STABLE_HIGH,STABLE_HIGH,1.0999996546,1.0999996531,2.531006278e-07,2.631235366e-07,True,2.6001e-07,2.6250000000000003e-07,True,True,True,PASS
14,2,4,STABLE_HIGH,STABLE_HIGH,1.0999996569,1.0999996571,2.731072984e-07,2.831300232e-07,True,2.8001000000000003e-07,2.825e-07,True,True,True,PASS
15,2,5,STABLE_HIGH,STABLE_HIGH,1.0999996582,1.0999996582,2.931139983e-07,3.031366862e-07,True,3.0001e-07,3.025e-07,True,True,True,PASS
16,2,6,STABLE_HIGH,STABLE_HIGH,1.0999996804,1.0999996578,3.131209057e-07,3.231435651e-07,True,3.2001e-07,3.225e-07,True,True,True,PASS
17,2,7,STABLE_HIGH,STABLE_HIGH,1.0999998155,1.0999995679,3.331279711e-07,3.431504913e-07,True,3.4001000000000004e-07,3.425e-07,True,True,True,PASS
18,2,8,STABLE_LOW,STABLE_LOW,1.90357483e-07,1.40218314e-07,3.531347649e-07,3.63157633e-07,True,3.6001e-07,3.625e-07,True,True,True,PASS
19,2,9,STABLE_LOW,STABLE_LOW,1.451864074e-07,1.434233214e-07,3.731418232e-07,3.831648803e-07,True,3.8001e-07,3.825e-07,True,True,True,PASS
20,2,9,STABLE_LOW,STABLE_LOW,1.877081554e-07,1.282276933e-07,3.906419675e-07,4.006648965e-07,True,3.9751e-07,4e-07,True,True,True,PASS
