scenario_id,vdd_v,corner,temperature_c,t_rvt29_s,t_lvt29_s,t_xor29_rise_s,t_xor29_fall_s,W_proxy_ps,W_real_ps,start_shift_ps,end_shift_ps,width_error_ps,width_ratio,xor29_peak_v,xor29_peak_ratio,valid,source
tt_85c_v0p75,0.75,tt,85,2.7923736e-09,1.849578816e-09,1.912810274e-09,2.817779192e-09,942.794784,904.968918,63.231458,25.405592,-37.825866,0.959879003743,0.8186018663,1.09146915507,1,reused_temperature_screen
tt_125c_v0p75,0.75,tt,125,2.688881254e-09,1.827581647e-09,1.888144429e-09,2.712962059e-09,861.299607,824.81763,60.562782,24.080805,-36.481977,0.95764310502,0.8148471673,1.08646288973,1,reused_temperature_screen
ff_m40c_v0p75,0.75,ff,-40,2.339026189e-09,1.566770299e-09,1.605191374e-09,2.354805996e-09,772.25589,749.614622,38.421075,15.779807,-22.641268,0.970681650612,0.8362489483,1.11499859773,1,new_pvt_hspice
ff_25c_v0p75,0.75,ff,25,2.208304681e-09,1.558098483e-09,1.59458653e-09,2.222509947e-09,650.206198,627.923417,36.488047,14.205266,-22.282781,0.965729669959,0.8260981761,1.1014642348,1,reused_process_screen
ff_85c_v0p75,0.75,ff,85,2.129825059e-09,1.54688597e-09,1.582274093e-09,2.143319613e-09,582.939089,561.04552,35.388123,13.494554,-21.893569,0.962442784481,0.8037336394,1.07164485253,1,new_pvt_hspice
ff_125c_v0p75,0.75,ff,125,2.091979435e-09,1.538951394e-09,1.57373322e-09,2.105203436e-09,553.028041,531.470216,34.781826,13.224001,-21.557825,0.961018567954,0.8002606631,1.06701421747,1,new_pvt_hspice
ss_m40c_v0p75,0.75,ss,-40,5.940110177e-09,2.694469222e-09,2.873968839e-09,6.02106311e-09,3245.640955,3147.094271,179.499617,80.952933,-98.546684,0.969637219469,0.7499998694,0.999999825867,1,new_pvt_hspice
ss_25c_v0p75,0.75,ss,25,4.616911887e-09,2.563026153e-09,2.70260431e-09,4.676687815e-09,2053.885734,1974.083505,139.578157,59.775928,-79.802229,0.961145730905,0.7499996866,0.999999582133,1,reused_process_screen
ss_85c_v0p75,0.75,ss,85,4.006757643e-09,2.455229526e-09,2.574744807e-09,4.056787152e-09,1551.528117,1482.042345,119.515281,50.029509,-69.485772,0.955214622772,0.7950054406,1.06000725413,1,new_pvt_hspice
ss_125c_v0p75,0.75,ss,125,3.744222917e-09,2.390035077e-09,2.501281315e-09,3.789750156e-09,1354.18784,1288.468841,111.246238,45.527239,-65.718999,0.951469805695,0.812617368,1.083489824,1,new_pvt_hspice
