threshold_T,rule,healthy_rise_samples,healthy_rise_false_alarms,healthy_rise_false_alarm_rate,d01_samples,d01_detected,d01_coverage,simulator_calls,margin_selection
403,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
404,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
405,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
406,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
407,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
408,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
409,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
410,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
411,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
412,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
413,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
414,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
415,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
416,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
417,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
418,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
419,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
420,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
421,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
422,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
423,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
424,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
425,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
426,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
427,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
428,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
429,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
430,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
431,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
432,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
433,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
434,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
435,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
