probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,one_ck,recovery_ok,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.7999996729,0.7999986713,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,0.7999996758,0.7999985349,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,0.7999996721,0.7999986345,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,0.7999996752,0.7999989375,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996746,0.7999987537,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996838,0.7999987235,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,0.7999999698,0.7999985806,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,0.7999996803,0.7999988246,True,True,PASS
8,4,0,STABLE_HIGH,STABLE_HIGH,0.799999744,0.7999989001,True,True,PASS
9,4,0,STABLE_HIGH,STABLE_HIGH,0.7999996891,0.7999987559,True,True,PASS
10,5,0,STABLE_HIGH,STABLE_HIGH,0.7999996388,0.7999985749,True,True,PASS
11,5,0,STABLE_HIGH,STABLE_HIGH,0.7999994331,0.7999988025,True,True,PASS
12,6,0,STABLE_HIGH,STABLE_HIGH,0.7999983024,0.799999059,True,True,PASS
13,6,0,STABLE_HIGH,STABLE_HIGH,0.7999983464,0.7999991917,True,True,PASS
14,7,0,STABLE_HIGH,STABLE_HIGH,0.7999996472,0.7999987126,True,True,PASS
15,7,0,STABLE_HIGH,STABLE_HIGH,0.799999687,0.799998849,True,True,PASS
16,8,0,STABLE_HIGH,STABLE_HIGH,0.7999996733,0.799999044,True,True,PASS
17,8,0,STABLE_HIGH,STABLE_HIGH,0.7999996788,0.7999989906,True,True,PASS
18,9,0,STABLE_LOW,STABLE_LOW,3.070658728e-07,1.11326207e-06,True,True,PASS
19,9,0,STABLE_LOW,STABLE_LOW,-9.227971818e-08,3.002094141e-07,True,True,PASS
20,7,0,STABLE_HIGH,STABLE_HIGH,0.7999983561,0.7999991715,True,True,PASS
21,7,1,STABLE_HIGH,STABLE_HIGH,0.7999999832,0.7999990084,True,True,PASS
22,7,2,STABLE_HIGH,STABLE_HIGH,0.7999996328,0.799998554,True,True,PASS
23,7,3,STABLE_HIGH,STABLE_HIGH,0.7999998177,0.7999990138,True,True,PASS
24,7,4,STABLE_HIGH,STABLE_HIGH,0.7999997858,0.7999993385,True,True,PASS
25,7,5,STABLE_LOW,STABLE_LOW,1.489020179e-07,9.30331847e-07,True,True,PASS
26,7,6,STABLE_LOW,STABLE_LOW,6.801074601e-07,1.028063278e-06,True,True,PASS
27,7,6,STABLE_LOW,STABLE_LOW,1.728170549e-07,1.093362431e-06,True,True,PASS
