stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
single_driver_baseline,driver_only,8,0,0,1.1,,305.82145699999995,315.7270369999997,5.2793030000000245,5.172011000000101,1.0999977243,2.355100061e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v1p10__3ca5496c17bcef52b275
single_driver_baseline,driver_only,8,0,0,0.95,,403.99161599999996,429.05143299999986,6.398570999999878,6.334287999999908,0.9499930402,1.482465438e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v0p95__e9a22b80cfba60f92414
single_driver_baseline,driver_only,8,0,0,0.8,,615.682627,678.315678,9.325644,9.481569999999603,0.7999921009,1.019045905e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v0p80__226aecd1e63777823176
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,1.1,0,325.2009550000001,326.3975729999994,37.778377000000035,25.468129999999235,1.1000747641,-4.744423469e-08,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__946cbd3af490532c6adf
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,1.1,1,331.9229010000001,331.30682199999995,67.87440099999999,40.85960399999985,1.0999954389,2.058453914e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__8197ee070cbfe18bec29
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,0.95,0,427.9216409999999,442.81995100000006,47.64743400000004,30.293633999999507,0.9501089051,-2.495015974e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__33801b91eb5f6f13c199
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,0.95,1,434.362193,447.3659909999993,84.00442799999992,49.73695500000006,0.9499959592,1.563832207e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__1906ca51cb02aa593434
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,0.8,0,648.282216,695.4475809999998,67.95699699999987,42.2627800000002,0.8002058446,-3.37359745e-07,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__7f9dba4a6ff8ddcb5c68
single_load_screen,NAND2_X8M_A9TL40__signal_A,8,1,1,0.8,1,654.2539400000001,701.5193729999994,118.18501999999992,69.31562499999977,0.7999983234,2.136484489e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__22f1d30e2c3d24ce6621
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,1.1,0,328.17765700000007,330.67864599999933,54.08472899999992,29.80502900000017,1.0999946144,2.847786361e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__e3b03b79fe2a096d7fea
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,1.1,1,331.128138,330.6779209999995,67.13774000000011,39.63631400000016,1.0999941387,3.175323319e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__6a5901e348b7ceb1b5ec
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,0.95,0,431.0599289999999,447.374932,65.92590900000003,36.20615099999998,0.9499974144,3.04837657e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__85c261d45df86fc91c21
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,0.95,1,433.20726600000006,446.8983459999999,83.41167600000009,47.605845,0.949995112,4.754953853e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__4cdae7b66dcabe1ea63e
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,0.8,0,651.3422009999999,701.1447209999995,89.62099800000017,47.53261399999934,0.7999963071,3.659105878e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__2103d16d935107497686
single_load_screen,NAND2_X8M_A9TL40__signal_B,8,1,1,0.8,1,653.159113,701.3053309999993,117.88974399999995,64.81120400000006,0.7999962351,7.912743295e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__f61b8cc4963fab1f9648
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,1.1,0,331.2772570000001,329.272317,62.21312199999986,38.59364999999989,1.0999982385,1.249214251e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__280dc7296c3f8b825287
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,1.1,1,320.4970880000001,326.9162840000001,38.65162899999994,22.194541999999743,1.0999970156,1.41528282e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__adf46770dee63a70d59e
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,0.95,0,433.2553909999999,445.45710099999945,76.70039099999998,46.832551000000066,0.9499970762,1.382352784e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__5df3421ae2a1515514d7
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,0.95,1,422.226899,443.75289599999974,47.09164400000014,27.71675399999996,0.9499980242,1.298766075e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__2c25c9fa519985cff341
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,0.8,0,651.885854,698.1561129999994,109.25601100000004,65.6228319999999,0.799999131,4.873835933e-07,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__14758b02c564f8a75dc9
single_load_screen,NOR2_X8A_A9TL40__signal_A,8,1,1,0.8,1,641.045529,696.1474,66.1127150000001,37.587318000000245,0.7999974791,1.597252778e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__b9f295a0ac980cf8ab40
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,1.1,0,329.0942320000001,328.7694749999997,59.31027000000004,37.347954999999764,1.0999358649,1.695539485e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__58e9b7761719d439e226
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,1.1,1,326.669948,328.4187739999995,47.03190899999987,28.43348600000076,1.0999353188,2.01235275e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__c34d8c9cd026def80418
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,0.95,0,431.771728,445.6018689999995,73.04567100000017,45.39965600000065,0.9499156563,1.641781104e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__5302da865ec2ec9f8727
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,0.95,1,429.3685000000001,445.15779000000003,56.79228099999993,34.02537399999976,0.9499386293,1.456415452e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__cea66c023fd0ba506a18
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,0.8,0,650.7420339999999,698.214037,102.55559199999999,60.895999999999624,0.799842151,2.500027772e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__cfb60028fa61edf01492
single_load_screen,NOR2_X8A_A9TL40__signal_B,8,1,1,0.8,1,649.422659,698.6118319999995,78.18312800000002,45.06072699999996,0.7999332202,1.344324564e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__cdfac46a9a9c4cf6ef47
