scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash
t0__b0p95__L2__dv0p0__h1p0__pm490p0__20e2f1187816ce8d71a7,0.95,L2,5,6,0.0,0.95,1.0,1.0,1.0,-490.0,0.95,2.022239442e-09,2.403657555e-09,2.424512932e-09,5.460402341e-09,381.4181129999998,402.2734899999997,-20.85537699999992,2.720417303e-07,-3.400676811e-07,0,stable_low,1,2.2110205157894737e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r1/scenarios/t0__b0p95__L2__dv0p0__h1p0__pm490p0__20e2f1187816ce8d71a7,970a7651667564a4df940a47afd5bec74d2e048809d07be1ab37e77627c6d628,13c8fa5058e6e041ebfe88fd4be00105b4491b8ecad6df041b2727517b2e7219
t0__b0p95__L2__dv100p0__h3000p0__p0p0__3c3bb69c8845e1fa5a9d,0.95,L2,5,6,100.0,0.85,1.0,3000.0,1.0,0.0,0.85,2.178169651e-09,2.761506321e-09,2.712186927e-09,5.460107429e-09,583.33667,534.0172759999999,49.3193940000001,0.8499995598,0.8499996971,1,stable_high,1,2.8852772682352946e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r2/scenarios/t0__b0p95__L2__dv100p0__h3000p0__p0p0__3c3bb69c8845e1fa5a9d,19f9a22ba7be2a2e66b898f9bedf66afd912449f55913777c2f20e93e7dc42ce,13c8fa5058e6e041ebfe88fd4be00105b4491b8ecad6df041b2727517b2e7219
