dataset_code,seed,polarity,m_ff,m_ref,margin,arch0,sign0_off,sign0_18,sign0_19,abs_term_18,signed_term_18,signed_term_19
0,41017,0,204,198,0,0,0,0,0,0,0,0
0,41017,0,204,198,0,0,0,0,0,0,0,0
0,41017,0,182,198,0,0,0,0,0,0,0,0
0,41017,1,182,170,0,0,0,0,0,0,0,0
0,41017,1,159,170,0,0,0,0,0,0,0,0
0,41017,1,182,170,0,0,0,0,0,0,0,0
0,41017,1,159,170,0,0,0,0,0,0,0,0
1,41017,0,182,198,22,0,0,0,0,0,0,0
1,41017,1,182,170,24,0,0,0,0,0,0,0
1,41017,0,182,198,22,0,0,0,0,0,0,0
1,41017,1,159,170,24,0,0,0,0,0,0,0
1,41017,0,182,198,22,0,0,0,0,0,0,0
1,41017,1,159,170,24,0,0,0,0,0,0,0
1,41017,0,204,198,22,0,0,0,0,0,0,0
1,41017,1,159,170,24,0,0,0,0,0,0,0
2,41017,0,204,198,22,0,0,0,0,0,0,0
