dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41019,18,191.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,20,211.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,22,231.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41020,0,1.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,2,21.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,4,41.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,6,61.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,8,86.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,10,106.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,12,126.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,14,146.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,16,171.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,18,191.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,20,211.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41020,22,231.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41021,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41021,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
