probe_index,M,F,expected_q,observed_q,q_sample_1_v,q_sample_2_v,measured_first_ck_rise_s,measured_second_ck_rise_s,physical_active_ck_ok,reset_assert_end_s,sclk_fall_s,reset_assert_physically_precedes_sclk_fall,recovery_ok,mf_constant_during_probe,status
0,0,0,STABLE_HIGH,STABLE_HIGH,0.7999996732,0.7999996769,2.017185727e-09,8.083525825e-09,True,6.0100000000000005e-09,7.000000000000001e-09,True,True,True,PASS
1,0,0,STABLE_HIGH,STABLE_HIGH,0.7999996724,0.7999996763,1.201714457e-08,1.808393013e-08,True,1.6010000000000002e-08,1.7e-08,True,True,True,PASS
2,1,0,STABLE_HIGH,STABLE_HIGH,0.7999996748,0.799999681,2.408404189e-08,3.015056185e-08,True,2.8010000000000004e-08,2.9e-08,True,True,True,PASS
3,1,0,STABLE_HIGH,STABLE_HIGH,0.799999675,0.7999996796,3.408380662e-08,4.014929682e-08,True,3.801e-08,3.9000000000000005e-08,True,True,True,PASS
4,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996701,0.7999996771,4.61509314e-08,5.221752274e-08,True,5.001e-08,5.1e-08,True,True,True,PASS
5,2,0,STABLE_HIGH,STABLE_HIGH,0.7999996688,0.7999996743,5.615062334e-08,6.221729451e-08,True,6.001e-08,6.1e-08,True,True,True,PASS
6,3,0,STABLE_HIGH,STABLE_HIGH,0.7999995652,0.7999994356,6.821763284e-08,7.428374254e-08,True,7.201000000000001e-08,7.3e-08,True,True,True,PASS
7,3,0,STABLE_HIGH,STABLE_HIGH,0.7999995197,0.7999996124,7.821729169e-08,8.42842288e-08,True,8.201e-08,8.3e-08,True,True,True,PASS
8,4,0,STABLE_HIGH,STABLE_HIGH,0.7999996679,0.7999996817,9.028462544e-08,9.635136059e-08,True,9.401e-08,9.5e-08,True,True,True,PASS
9,4,0,STABLE_HIGH,STABLE_HIGH,0.7999996708,0.7999996751,1.002839987e-07,1.063514076e-07,True,1.0401e-07,1.05e-07,True,True,True,PASS
10,5,0,STABLE_HIGH,STABLE_HIGH,0.7999997824,0.7999994498,1.123519512e-07,1.184181796e-07,True,1.1601e-07,1.17e-07,True,True,True,PASS
11,5,0,STABLE_HIGH,STABLE_HIGH,0.7999995565,0.7999996894,1.223514945e-07,1.284174897e-07,True,1.2601000000000003e-07,1.27e-07,True,True,True,PASS
12,6,0,STABLE_HIGH,STABLE_HIGH,0.7999996697,0.7999996727,1.344187328e-07,1.404855008e-07,True,1.3801000000000003e-07,1.3900000000000001e-07,True,True,True,PASS
13,6,0,STABLE_HIGH,STABLE_HIGH,0.7999993127,0.7999998502,1.44418016e-07,1.504852388e-07,True,1.4801e-07,1.49e-07,True,True,True,PASS
14,7,0,STABLE_HIGH,STABLE_HIGH,0.7999995973,0.7999997538,1.564860799e-07,1.625516512e-07,True,1.6001000000000001e-07,1.61e-07,True,True,True,PASS
15,7,0,STABLE_HIGH,STABLE_HIGH,0.7999995484,0.7999997887,1.6648588e-07,1.725521452e-07,True,1.7001000000000002e-07,1.71e-07,True,True,True,PASS
16,8,0,STABLE_HIGH,STABLE_HIGH,0.7999996085,0.7999998287,1.785527758e-07,1.846192082e-07,True,1.8201000000000003e-07,1.83e-07,True,True,True,PASS
17,8,0,STABLE_HIGH,STABLE_HIGH,0.7999999742,0.7999995318,1.885521185e-07,1.946188563e-07,True,1.9201000000000004e-07,1.9300000000000002e-07,True,True,True,PASS
18,9,0,STABLE_LOW,STABLE_LOW,-9.721879919e-08,-1.035391237e-07,2.006194604e-07,2.066856802e-07,True,2.0401e-07,2.0500000000000002e-07,True,True,True,PASS
19,9,0,STABLE_LOW,STABLE_LOW,3.390417217e-07,1.884524769e-07,2.106197899e-07,2.16686064e-07,True,2.1401000000000002e-07,2.15e-07,True,True,True,PASS
20,7,0,STABLE_HIGH,STABLE_HIGH,0.7999996941,0.7999996389,2.24485697e-07,2.305521708e-07,True,2.2801000000000001e-07,2.2900000000000003e-07,True,True,True,PASS
21,7,1,STABLE_HIGH,STABLE_HIGH,0.7999997007,0.7999996635,2.364912038e-07,2.425579379e-07,True,2.4001000000000004e-07,2.41e-07,True,True,True,PASS
22,7,2,STABLE_HIGH,STABLE_HIGH,0.7999996712,0.7999996449,2.484981622e-07,2.545642463e-07,True,2.5201000000000004e-07,2.53e-07,True,True,True,PASS
23,7,3,STABLE_HIGH,STABLE_HIGH,0.7999996627,0.7999996522,2.605039116e-07,2.665706693e-07,True,2.6401000000000005e-07,2.65e-07,True,True,True,PASS
24,7,4,STABLE_HIGH,STABLE_HIGH,0.79999963,0.7999996661,2.725110305e-07,2.785778376e-07,True,2.7601000000000005e-07,2.77e-07,True,True,True,PASS
25,7,5,STABLE_LOW,STABLE_LOW,-5.644529715e-07,-4.491913653e-07,2.845188347e-07,2.905844186e-07,True,2.8801000000000005e-07,2.89e-07,True,True,True,PASS
26,7,6,STABLE_LOW,STABLE_LOW,1.156374586e-07,-1.929420946e-08,2.965263488e-07,3.0259344e-07,True,3.0001000000000005e-07,3.01e-07,True,True,True,PASS
27,7,6,STABLE_LOW,STABLE_LOW,-9.059618841e-08,-4.517714318e-08,3.065269363e-07,3.125937115e-07,True,3.1001e-07,3.11e-07,True,True,True,PASS
